,NGRN (51335)
ACH-000004,-0.309385642742
ACH-000007,-0.415555281885
ACH-000009,-0.267114546377
ACH-000011,-0.12271702480999999
ACH-000012,-0.229896443999
ACH-000013,-0.475726336179
ACH-000014,-0.47584988349299995
ACH-000015,-0.33734744735100003
ACH-000017,-0.204236390233
ACH-000018,-0.277156720822
ACH-000019,-0.418814238284
ACH-000021,-0.175856329284
ACH-000022,-0.450870304766
ACH-000025,-0.49621200363000006
ACH-000028,-0.32743445478100003
ACH-000030,-0.0535542208741
ACH-000035,-0.547728097538
ACH-000036,-0.0888058148305
ACH-000037,-0.431467999804
ACH-000039,-0.132284796461
ACH-000040,-0.124150176742
ACH-000041,-0.269505059178
ACH-000042,-0.296060276921
ACH-000045,-0.45371855978299996
ACH-000047,-0.421705136941
ACH-000052,-0.149515668735
ACH-000053,-0.151361530599
ACH-000054,-0.350753268427
ACH-000055,-0.138869442698
ACH-000060,-0.055669130206699995
ACH-000067,-0.217548066763
ACH-000070,-0.48343659853999993
ACH-000075,-0.165872897466
ACH-000078,-0.29405973647100003
ACH-000082,-0.48371572068199997
ACH-000085,-0.289969253858
ACH-000086,-0.36682095173100004
ACH-000087,-0.446918581405
ACH-000092,-0.35339073855400005
ACH-000095,-0.101614198248
ACH-000097,-0.09953639279030001
ACH-000098,-0.16745233447799998
ACH-000099,-0.210540867568
ACH-000108,-0.224911744968
ACH-000113,-0.7150694231360001
ACH-000115,-0.217515658162
ACH-000116,-0.30694160184
ACH-000118,-0.49909317506000006
ACH-000120,-0.36218541050399994
ACH-000123,-0.20189320683400003
ACH-000127,-0.26843778368099996
ACH-000128,-0.519906692355
ACH-000132,-0.386872168499
ACH-000133,-0.18168507190000002
ACH-000137,-0.305085970704
ACH-000138,-0.117974688754
ACH-000142,-0.0910962772067
ACH-000143,-0.66111314327
ACH-000146,-0.112661935763
ACH-000148,-0.405236339168
ACH-000150,-0.32098481182300004
ACH-000152,-0.243695669474
ACH-000153,-0.185524949975
ACH-000159,-0.206012281244
ACH-000160,-0.45115958651199994
ACH-000163,-0.35524603611
ACH-000167,-0.0298692333147
ACH-000168,-0.332609107427
ACH-000169,-0.45143008465400003
ACH-000178,-0.25923586108
ACH-000182,-0.314787719618
ACH-000183,-0.149222946062
ACH-000188,-0.237314564643
ACH-000189,-0.127086251162
ACH-000190,-0.469468756356
ACH-000198,-0.545539371084
ACH-000204,-0.49176770865
ACH-000206,-0.493732816042
ACH-000207,-0.607001552376
ACH-000211,-0.288724832927
ACH-000215,-0.344115900462
