,SNRPB (6628)
ACH-000004,-2.20550385259
ACH-000007,-1.8429890601700003
ACH-000009,-1.67323420615
ACH-000011,-1.83700332686
ACH-000012,-1.62724731363
ACH-000013,-2.1993490002900002
ACH-000014,-2.21127156411
ACH-000015,-1.86012945771
ACH-000017,-1.8285493382700002
ACH-000018,-1.4172033381
ACH-000019,-1.42332268222
ACH-000021,-1.5830601846899999
ACH-000022,-2.0124918105700003
ACH-000025,-1.76670716708
ACH-000028,-1.81114506227
ACH-000030,-1.8712579728999998
ACH-000035,-1.7087589157499998
ACH-000036,-1.46368824023
ACH-000037,-1.5183165287
ACH-000039,-1.97719994228
ACH-000040,-1.62570594669
ACH-000041,-1.82448283792
ACH-000042,-1.5720740422
ACH-000045,-2.10362422533
ACH-000047,-1.7737649816699999
ACH-000052,-1.35688683015
ACH-000053,-1.5811251331600003
ACH-000054,-1.72455095862
ACH-000055,-1.74807983392
ACH-000060,-1.7809926709700001
ACH-000067,-1.7231870818400001
ACH-000070,-2.04428968724
ACH-000075,-1.7827893972799997
ACH-000078,-2.0394787251
ACH-000082,-1.8545915275
ACH-000085,-1.47711837123
ACH-000086,-1.68649607922
ACH-000087,-1.67367674231
ACH-000092,-1.7941202095700002
ACH-000095,-2.00539920708
ACH-000097,-2.10405952223
ACH-000098,-1.57128727535
ACH-000099,-1.5956770768000001
ACH-000108,-1.79285229189
ACH-000113,-1.8584304811099996
ACH-000115,-2.2311499189700004
ACH-000116,-1.2679661930600001
ACH-000118,-1.67490410379
ACH-000120,-1.76248405061
ACH-000123,-1.9535020117400002
ACH-000127,-1.74505141651
ACH-000128,-2.01478507252
ACH-000132,-1.59018609617
ACH-000133,-1.7954118441299998
ACH-000137,-1.73951540462
ACH-000138,-1.71583967497
ACH-000142,-1.70312632518
ACH-000143,-1.96736428537
ACH-000146,-2.58480891523
ACH-000148,-2.03608818153
ACH-000150,-1.8850615449400001
ACH-000152,-1.54276346305
ACH-000153,-1.33122527169
ACH-000159,-1.5490876604
ACH-000160,-1.62062582935
ACH-000163,-1.92115576655
ACH-000167,-2.31855229625
ACH-000168,-1.79094333634
ACH-000169,-1.88664596134
ACH-000178,-1.80453016876
ACH-000182,-1.94531712779
ACH-000183,-1.7008389267100001
ACH-000188,-1.86123001681
ACH-000189,-1.28910157146
ACH-000190,-1.36060851966
ACH-000198,-1.9820935604499998
ACH-000204,-1.47319490167
ACH-000206,-2.36780397101
ACH-000207,-2.62248827693
ACH-000211,-1.58139419602
ACH-000215,-1.87871756678
ACH-000221,-1.8560906782700002
ACH-000222,-1.59711523891
ACH-000223,-1.6484744452200002
ACH-000226,-1.73499746616
ACH-000227,-2.22480966973
ACH-000228,-1.9129819410099997
ACH-000231,-1.8089515741799997
ACH-000232,-2.01881110316
ACH-000233,-1.7090325185600002
ACH-000234,-1.9000905688599998
ACH-000235,-1.80106857838
ACH-000237,-1.5787617877000002
ACH-000238,-1.6104071290600002
ACH-000243,-1.6666021747
ACH-000244,-1.5800239828799998
ACH-000246,-1.76324346431
ACH-000248,-1.31957749361
ACH-000250,-1.8657614442700001
ACH-000251,-1.67466410216
ACH-000253,-1.7591234600999999
ACH-000255,-1.55549275152
ACH-000256,-1.49291065192
ACH-000257,-1.66050808854
ACH-000258,-1.6425459900600001
ACH-000259,-1.9347741184799998
