,JUND (3727)
ACH-000004,-0.230128891205
ACH-000007,-0.30885245935600003
ACH-000009,-0.00267206724771
ACH-000011,-0.1172597915
ACH-000012,-0.164110299912
ACH-000013,-0.416640294538
ACH-000014,-0.161090680283
ACH-000015,-0.35329993360600004
ACH-000017,-0.40533137831
ACH-000018,-0.35692448974200003
ACH-000019,-0.5775129771940001
ACH-000021,-0.34348237978600005
ACH-000022,-0.177450112516
ACH-000025,-0.133603802785
ACH-000028,-0.5244664233349999
ACH-000030,-0.318168196972
ACH-000035,-0.0867820643806
ACH-000036,-0.333381749299
ACH-000037,-0.40339952076200003
ACH-000039,-0.217269080691
ACH-000040,-0.321725279157
ACH-000041,-0.346224709682
ACH-000042,-0.352594164539
ACH-000045,-0.173338769339
ACH-000047,-0.23188334087499998
ACH-000052,-0.43171033487899996
ACH-000053,-0.260276243639
ACH-000054,-0.287439961321
ACH-000055,-0.219233415896
ACH-000060,-0.27848396116
ACH-000067,-0.27981772172200003
ACH-000070,-0.173576739631
ACH-000075,-0.476966403772
ACH-000078,0.045249155185
ACH-000082,-0.228552139476
ACH-000085,-0.190365006408
ACH-000086,-0.296415230412
ACH-000087,-0.49966972302699997
ACH-000092,-0.21305138769
ACH-000095,-0.206273275528
ACH-000097,-0.155753729775
ACH-000098,-0.36967187251
ACH-000099,-0.33098282296799997
ACH-000108,-0.595087239485
ACH-000113,-0.0741374125292
ACH-000115,-0.32970515569200004
ACH-000116,-0.287220968434
ACH-000118,-0.291079484642
ACH-000120,-0.203290165724
ACH-000123,-0.25116772673300003
ACH-000127,-0.309995539179
ACH-000128,-0.477434030103
ACH-000132,-0.225220136732
ACH-000133,-0.00014917397209600003
ACH-000137,-0.31146416444499997
ACH-000138,-0.377363988786
ACH-000142,-0.205985548097
ACH-000143,-0.18944278995799999
ACH-000146,-0.20295168548099998
ACH-000148,0.000303025092907
ACH-000150,-0.313199711833
ACH-000152,-0.0991807438503
ACH-000153,-0.028202643109800002
ACH-000159,-0.218658816776
ACH-000160,-0.44346758369499995
ACH-000163,-0.10226263180600001
ACH-000167,-0.216456271536
ACH-000168,-0.0028750889510100004
ACH-000169,-0.377181501871
ACH-000178,-0.202324594441
ACH-000182,-0.21883332066999997
ACH-000183,-0.282626524753
ACH-000188,-0.125032328354
ACH-000189,0.021183149794700002
ACH-000190,-0.113040931975
ACH-000198,0.241302010832
ACH-000204,0.147922393363
ACH-000206,-0.414147791421
ACH-000207,-0.190585392619
ACH-000211,-0.225081972223
ACH-000215,-0.2630099022
ACH-000221,-0.265957792353
ACH-000222,-0.283761836416
ACH-000223,-0.25495539935899997
ACH-000226,-0.33051501517
ACH-000227,-0.223981256705
ACH-000228,-0.237065336375
ACH-000231,-0.128546166841
ACH-000232,-0.2166848223
ACH-000233,-0.44964342110399996
ACH-000234,-0.270021593769
ACH-000235,-0.202077311424
ACH-000237,-0.287583935878
ACH-000238,-0.144876421762
ACH-000243,-0.496526812603
ACH-000244,-0.12912406515900002
ACH-000246,-0.309476239572
ACH-000248,-0.24315390891600003
ACH-000250,-0.363467890501
