,PCGF2 (7703)
ACH-000004,-0.324935347658
ACH-000007,-0.371417031241
ACH-000009,-0.37157715594
ACH-000011,-0.41683767426299995
ACH-000012,-0.447802828641
ACH-000013,-0.387912877934
ACH-000014,-0.264031464399
ACH-000015,-0.0981691748543
ACH-000017,-0.323606784087
ACH-000018,-0.0578725634083
ACH-000019,-0.13859156086
ACH-000021,-0.0820344444517
ACH-000022,-0.27592747731
ACH-000025,-0.214451077015
ACH-000028,-0.451640105881
ACH-000030,-0.347659502457
ACH-000035,-0.337485367759
ACH-000036,-0.442093118453
ACH-000037,-0.252794794894
ACH-000039,-0.21543847743099998
ACH-000040,-0.365078166485
ACH-000041,-0.256948750021
ACH-000042,-0.142353267979
ACH-000045,-0.323890948148
ACH-000047,-0.250403286309
ACH-000052,-0.17063046466200002
ACH-000053,-0.23674404365600002
ACH-000054,-0.126722477121
ACH-000055,-0.174959538463
ACH-000060,-0.402567472067
ACH-000067,-0.45025209140100003
ACH-000070,-0.12200533098500001
ACH-000075,-0.42688870124899997
ACH-000078,-0.135009323533
ACH-000082,-0.18062200828699998
ACH-000085,-0.031351690161200006
ACH-000086,-0.303644257512
ACH-000087,0.0478566040993
ACH-000092,-0.246724474554
ACH-000095,-0.453429202652
ACH-000097,-0.155266000337
ACH-000098,-0.276840653268
ACH-000099,-0.24059508340500002
ACH-000108,-0.0656623286407
ACH-000113,-0.332520978682
ACH-000115,-0.0339301841433
ACH-000116,-0.31950293747499997
ACH-000118,-0.116120783929
ACH-000120,-0.563108989518
ACH-000123,-0.48825710737899997
ACH-000127,-0.255109975175
ACH-000128,-0.208639222314
ACH-000132,-0.246333097658
ACH-000133,-0.24884392144
ACH-000137,-0.23077049418499998
ACH-000138,-0.431688466891
ACH-000142,-0.40669701173100004
ACH-000143,-0.382480543018
ACH-000146,-0.215884769965
ACH-000148,-0.305903728439
ACH-000150,-0.208932992405
ACH-000152,-0.444736057649
ACH-000153,-0.106738232531
ACH-000159,-0.221431667513
ACH-000160,-0.0292092766244
ACH-000163,-0.116430123999
ACH-000167,0.19977618111499998
ACH-000168,-0.357333690664
ACH-000169,-0.260753243226
ACH-000178,-0.16784687153900002
ACH-000182,-0.23076910276999998
ACH-000183,-0.307886664345
ACH-000188,-0.44614720056100005
ACH-000189,-0.00894903131923
ACH-000190,0.00982748532379
ACH-000198,-0.242390365138
ACH-000204,-0.493351716898
ACH-000206,-0.21181545061299997
ACH-000207,-0.13507188030099998
ACH-000211,-0.274713674987
ACH-000215,-0.36544913422200004
ACH-000221,-0.170865760256
ACH-000222,-0.08816293354080001
ACH-000223,-0.250769049307
ACH-000226,-0.188012889194
ACH-000227,-0.39092964092699994
ACH-000228,-0.171041323992
ACH-000231,-0.408055198442
ACH-000232,-0.10246360012700001
ACH-000233,-0.35838146534599996
ACH-000234,-0.506901800498
ACH-000235,-0.401072037733
ACH-000237,-0.09273444022590001
ACH-000238,-0.478755313289
ACH-000243,-0.41548192136100004
ACH-000244,-0.571482181917
ACH-000246,-0.286978079151
ACH-000248,-0.36610924128399996
ACH-000250,-0.34791833291100005
ACH-000251,-0.359882703522
ACH-000253,-0.366486863358
ACH-000255,-0.255492343507
ACH-000256,-0.24099927395100001
ACH-000257,0.15308336597799999
ACH-000258,-0.46132313318999996
ACH-000259,-0.209984969727
ACH-000260,-0.27601017357200003
ACH-000261,-0.35154182880199997
ACH-000262,-0.21491985726799998
ACH-000263,-0.272091497748
ACH-000264,-0.394097463437
ACH-000265,-0.32479960444899997
ACH-000266,-0.0765530175143
ACH-000272,-0.283514795524
ACH-000273,-0.228466442192
ACH-000274,-0.381318757429
ACH-000277,-0.143235531911
ACH-000278,-0.11827367492999999
ACH-000279,-0.18051629509199998
ACH-000280,-0.199803839949
ACH-000281,-0.231997016551
ACH-000288,-0.341255603398
ACH-000291,-0.320366215126
ACH-000293,-0.170902257764
ACH-000294,-0.466603407834
ACH-000295,-0.46292840354500003
ACH-000296,-0.35435162357100003
ACH-000302,-0.293623563426
ACH-000304,-0.49446128061399997
ACH-000307,-0.30470793815499997
ACH-000308,-0.196531141175
