,EIF4E2 (9470)
ACH-000004,-0.702392561986
ACH-000007,0.09967809904510001
ACH-000009,-0.19777161000799998
ACH-000011,-0.292418408408
ACH-000012,-0.528643054824
ACH-000013,-0.305605989006
ACH-000014,-0.5221406245269999
ACH-000015,-0.575173675135
ACH-000017,-0.16593369449200002
ACH-000018,-0.134662700472
ACH-000019,-0.00435731035805
ACH-000021,-0.126585535044
ACH-000022,-0.15084524065899999
ACH-000025,0.113584947676
ACH-000028,-0.383011349243
ACH-000030,-0.258878958421
ACH-000035,-0.164464534264
ACH-000036,-0.486424323802
ACH-000037,-0.582304956188
ACH-000039,-0.5186086235140001
ACH-000040,-0.44298181402900005
ACH-000041,-0.162355070212
ACH-000042,-0.0977049229976
ACH-000045,0.109657452608
ACH-000047,-0.522455608026
ACH-000052,-0.08744087732560002
ACH-000053,-0.575813204413
ACH-000054,-0.160584079917
ACH-000055,0.0199936226758
ACH-000060,-0.12114965481
ACH-000067,-0.709284284244
ACH-000070,-0.533079871547
ACH-000075,-0.298257032231
ACH-000078,-0.139503808027
ACH-000082,-0.586611801171
ACH-000085,-0.36755950592799996
ACH-000086,-0.349917014325
ACH-000087,-0.150411692463
ACH-000092,-0.326820204065
ACH-000095,0.11524647622000002
ACH-000097,-0.0638584873592
ACH-000098,-0.403108342537
ACH-000099,-0.24999490691799997
ACH-000108,-0.5274339018590001
ACH-000113,-0.679990324234
ACH-000115,0.035588662437699994
ACH-000116,-0.203273998518
ACH-000118,-0.505582064244
ACH-000120,-0.187417052844
ACH-000123,-0.394899881817
ACH-000127,-0.11406876890900002
ACH-000128,-0.280959168301
ACH-000132,0.0866739151916
ACH-000133,-0.30749939990499997
ACH-000137,-0.18990636376699999
ACH-000138,-0.500281622752
ACH-000142,-0.40523649441299997
ACH-000143,0.0376563500614
ACH-000146,-0.12531186729
ACH-000148,-0.16994858330899998
ACH-000150,-0.6810013339059999
ACH-000152,-0.09963109987579999
ACH-000153,-0.160989346977
ACH-000159,-0.154157200621
ACH-000160,-0.20106681206399998
ACH-000163,-0.5587024476479999
ACH-000167,0.15194318341600002
ACH-000168,-0.761204800644
ACH-000169,-0.387348063223
ACH-000178,-0.572069011961
ACH-000182,-0.658054210558
ACH-000183,-0.677972249404
ACH-000188,-0.445806008011
ACH-000189,-0.189014557072
ACH-000190,-0.112092508257
ACH-000198,-0.692902907669
ACH-000204,-0.276687280044
ACH-000206,-0.6889165057800001
ACH-000207,-0.503085872304
ACH-000211,-0.838811588529
ACH-000215,-0.22828742758499998
ACH-000221,-0.215385330546
ACH-000222,-0.29351720925700003
ACH-000223,-0.39465159703
ACH-000226,-0.29643524558
ACH-000227,-0.14394416905
ACH-000228,-0.159553224728
ACH-000231,-0.20507557231600002
ACH-000232,-0.320344546349
ACH-000233,-0.554670072928
ACH-000234,-0.409606441735
ACH-000235,-0.38845876746299995
ACH-000237,-0.557066222797
ACH-000238,-0.551684619237
ACH-000243,-0.646405087109
ACH-000244,-0.420937104986
ACH-000246,-0.0253130043223
ACH-000248,-0.510550600404
ACH-000250,-0.416075741455
ACH-000251,-0.166043816369
ACH-000253,-0.3221221957
ACH-000255,-0.286875067704
ACH-000256,-0.47601326957699996
ACH-000257,-0.274406742815
ACH-000258,-0.5046487247160001
ACH-000259,-0.317605398848
ACH-000260,-0.247942196973
ACH-000261,-0.306668786184
ACH-000262,-0.132110402028
ACH-000263,-0.06133392719669999
ACH-000264,-0.379229966969
ACH-000265,-0.372132400103
ACH-000266,-0.37045139570200003
ACH-000272,-0.37640869630400003
ACH-000273,-0.252511678593
ACH-000274,-0.24720172776799998
ACH-000277,-0.39634385466399996
ACH-000278,-0.089268408102
ACH-000279,-0.217974857768
ACH-000280,-0.6293642896639999
ACH-000281,-0.522330606794
ACH-000288,-0.35006435045199996
ACH-000291,-0.28222600522
ACH-000293,-0.25957116835
ACH-000294,-0.162399685018
ACH-000295,0.029965694643
ACH-000296,-0.22033104721299998
ACH-000302,-0.0691067084087
ACH-000304,0.015591228765100001
ACH-000307,-0.604376063576
ACH-000308,-0.296551276229
ACH-000310,-0.16577081266
ACH-000311,-0.315063982132
ACH-000312,-0.16955403665999996
ACH-000315,-0.614297998218
ACH-000316,-0.11008281563200001
ACH-000317,-0.221783176902
ACH-000318,-0.499475102642
ACH-000319,-0.0699268859012
ACH-000320,-0.346390256321
ACH-000322,0.0199915656676
ACH-000323,-0.455600802878
ACH-000324,-0.473309967354
ACH-000329,-0.7380695019589999
ACH-000330,-0.533654276206
ACH-000331,-0.437617824887
ACH-000332,-0.289703270964
ACH-000334,-0.377465167926
ACH-000335,-0.23276621430599997
ACH-000336,-0.256526512587
ACH-000337,-0.491107126483
ACH-000339,-0.20910171098000002
ACH-000341,-0.220085411175
ACH-000348,-0.475587036432
ACH-000350,-0.100287653594
ACH-000352,-0.34521944166699997
ACH-000356,-0.222303335356
ACH-000361,-0.276443218951
ACH-000362,-0.24957404068000003
ACH-000363,0.00626871204144
ACH-000364,-0.0065046219022
ACH-000365,-0.67194613552
ACH-000366,0.00832271883349
ACH-000368,-0.5597634152009999
ACH-000374,-0.560203943015
ACH-000375,-0.263495015849
ACH-000376,-0.0151582049228
ACH-000381,-0.36341303650300005
ACH-000383,-0.494236532519
ACH-000387,-0.366490041589
ACH-000389,-0.215632065933
ACH-000390,-0.441552732345
ACH-000393,-0.27908698981400004
ACH-000395,-0.30220230443
ACH-000397,-0.110425099246
ACH-000401,-0.21770639227400002
ACH-000402,-0.708179903618
ACH-000403,-0.535474994139
ACH-000404,-0.313487272799
ACH-000406,-0.49179847022900003
ACH-000407,-0.148650483552
ACH-000408,-0.304967373419
ACH-000410,-0.195519425889
ACH-000411,-0.240253047409
ACH-000414,-0.17918873669500002
ACH-000415,-0.409602802764
ACH-000416,-0.363387717848
ACH-000420,-0.662583409016
ACH-000421,-0.328239091396
ACH-000424,-0.31138567118099997
ACH-000425,-0.5862602715649999
ACH-000426,-0.539445528816
ACH-000427,-0.526142609635
ACH-000433,-0.247641199159
ACH-000436,-0.5944768072309999
ACH-000444,-0.319730659882
ACH-000445,-0.438632380538
ACH-000448,-0.352928986943
ACH-000450,-0.449218067976
ACH-000452,-0.29633678813299996
ACH-000454,-0.265225275461
ACH-000458,-0.423741242101
ACH-000459,-0.36632185629600006
ACH-000460,-0.236080232129
ACH-000461,-0.366091803843
ACH-000463,-0.270317143743
ACH-000464,-0.5176755148809999
ACH-000466,-0.55782642081
