,SVIP (258010)
ACH-000004,-0.12262514811599999
ACH-000007,-0.0867908313939
ACH-000009,-0.08661654980830001
ACH-000011,-0.0891938092895
ACH-000012,-0.123893969772
ACH-000013,-0.06417434657719999
ACH-000014,-0.18744466344799998
ACH-000015,0.033079122130299995
ACH-000017,0.0786411675746
ACH-000018,-0.337274377095
ACH-000019,-0.590072838978
ACH-000021,-0.210825885576
ACH-000022,-0.08163363788910001
ACH-000025,-0.14422297759400002
ACH-000028,-0.274318889879
ACH-000030,-0.28417694326299997
ACH-000035,-0.0259059927121
ACH-000036,-0.211410827405
ACH-000037,0.11496465642100001
ACH-000039,-0.057794218603
ACH-000040,-0.134109518782
ACH-000041,-0.0683532516972
ACH-000042,-0.168572368986
ACH-000045,-0.0766305138261
ACH-000047,0.054266865143400005
ACH-000052,-0.38374337672
ACH-000053,-0.156286465743
ACH-000054,-0.152978957696
ACH-000055,-0.123835938225
ACH-000060,-0.07005673740410001
ACH-000067,-0.05212286167309999
ACH-000070,-0.11485991356599999
ACH-000075,-0.29594720215799997
ACH-000078,-0.186936389338
ACH-000082,0.0957345172769
ACH-000085,-0.18144981477400002
ACH-000086,-0.12625474082399998
ACH-000087,0.0173922963207
ACH-000092,-0.0486701793071
ACH-000095,-0.0781753628951
ACH-000097,-0.145587432134
ACH-000098,-0.303063324346
ACH-000099,-0.219164258686
ACH-000108,-0.21019371155400002
ACH-000113,-0.117436342698
ACH-000115,-0.220573464586
ACH-000116,-0.0873626660176
ACH-000118,-0.182666105353
ACH-000120,-0.13111915875
ACH-000123,-0.147226694065
ACH-000127,-0.14247351180099999
ACH-000128,-0.174649886529
ACH-000132,0.0368325506528
ACH-000133,-0.344557961702
ACH-000137,0.0671152167323
ACH-000138,-0.10480574426599999
ACH-000142,-0.216708599764
ACH-000143,-0.31437678906100003
ACH-000146,0.00813527997541
ACH-000148,-0.145604245314
ACH-000150,0.10877484558299999
ACH-000152,0.00127132414556
ACH-000153,-0.0848714913278
ACH-000159,-0.052490345
ACH-000160,0.00340628779989
ACH-000163,0.014191382955799999
ACH-000167,0.162780801235
ACH-000168,-0.185811821331
ACH-000169,0.106009270424
ACH-000178,-0.0631194586367
ACH-000182,0.0106011749624
ACH-000183,-0.167950093627
ACH-000188,-0.289260310197
ACH-000189,-0.141354017081
ACH-000190,-0.000244729960814
ACH-000198,0.0848229415725
ACH-000204,-0.139482982367
ACH-000206,0.18668798303
ACH-000207,-0.321058270857
ACH-000211,0.012468695395799999
ACH-000215,-0.21697498170600002
ACH-000221,-0.215067202125
ACH-000222,-0.31277016106
ACH-000223,-0.219271341078
ACH-000226,-0.14248800126
ACH-000227,-0.289272670061
ACH-000228,-0.262039293391
ACH-000231,-0.101515180175
ACH-000232,-0.10903542492599999
ACH-000233,-0.139345635079
ACH-000234,-0.259086277538
ACH-000235,-0.18324543355599998
ACH-000237,-0.20448532631900002
ACH-000238,0.069488273379
ACH-000243,-0.25192428170000003
ACH-000244,-0.24883044493
ACH-000246,-0.132836907508
ACH-000248,0.156992433168
