,TFAP2E (339488)
ACH-000004,0.0693672010787
ACH-000007,-0.22744495389699998
ACH-000009,-0.182279763721
ACH-000011,-0.207808544489
ACH-000012,-0.255955102074
ACH-000013,-0.327968384827
ACH-000014,-0.18901805322999998
ACH-000015,-0.211587361423
ACH-000017,-0.126938463753
ACH-000018,-0.23504824952
ACH-000019,0.020210941761300002
ACH-000021,-0.137338614005
ACH-000022,-0.259266482953
ACH-000025,-0.197753068662
ACH-000028,-0.22600144041700002
ACH-000030,-0.124720075033
ACH-000035,-0.145379926239
ACH-000036,-0.235678287797
ACH-000037,-0.0593229803726
ACH-000039,-0.508605814123
ACH-000040,-0.292143335431
ACH-000041,-0.186783771819
ACH-000042,0.019834567773799997
ACH-000045,-0.312610452057
ACH-000047,-0.14960889674699998
ACH-000052,-0.31476280079999996
ACH-000053,-0.169466682804
ACH-000054,-0.137740207809
ACH-000055,-0.268962637023
ACH-000060,-0.263583055587
ACH-000067,-0.224885442251
ACH-000070,-0.058331008719100005
ACH-000075,-0.51674375742
ACH-000078,-0.114506006191
ACH-000082,-0.17767498684
ACH-000085,-0.453430890228
ACH-000086,-0.15622188691
ACH-000087,-0.029067932941900004
ACH-000092,-0.333919841816
ACH-000095,-0.275576255776
ACH-000097,-0.200134602999
ACH-000098,-0.298243366379
ACH-000099,-0.20142346593600002
ACH-000108,-0.0650396214345
ACH-000113,-0.0664227974504
ACH-000115,-0.35709395520000003
ACH-000116,-0.12948213386600002
ACH-000118,0.037261580574300006
ACH-000120,-0.0052733119198800004
ACH-000123,-0.202630947325
ACH-000127,-0.192720565255
ACH-000128,-0.502076124848
ACH-000132,-0.341291807934
ACH-000133,-0.11569987972000001
ACH-000137,-0.446528931307
ACH-000138,-0.18730186595800002
ACH-000142,-0.254334122966
ACH-000143,-0.182421916886
ACH-000146,-0.0012601904368099999
ACH-000148,-0.20635376779
ACH-000150,-0.219504968715
ACH-000152,-0.271309638989
ACH-000153,-0.246013120278
ACH-000159,-0.0810858190967
ACH-000160,0.0455298592781
ACH-000163,-0.32197652811099997
ACH-000167,-0.034802540505699996
ACH-000168,-0.330445098284
ACH-000169,-0.337960250664
ACH-000178,-0.160865984791
ACH-000182,-0.0584831359159
ACH-000183,-0.213440505134
ACH-000188,-0.254178639107
ACH-000189,-0.22815334388500003
ACH-000190,-0.299165518928
ACH-000198,-0.161857744449
ACH-000204,-0.207703001627
ACH-000206,-0.0358144479123
ACH-000207,-0.18229411037999999
ACH-000211,-0.0942779847693
ACH-000215,-0.262001275309
ACH-000221,-0.174320056691
ACH-000222,0.135802320272
ACH-000223,-0.028395513125400004
ACH-000226,-0.11427574235099999
ACH-000227,-0.205209898695
ACH-000228,-0.279841243918
ACH-000231,-0.31431241098
ACH-000232,-0.15074728480900002
ACH-000233,-0.102137763266
ACH-000234,0.0142607680177
ACH-000235,-0.09961626441410001
ACH-000237,-0.300616360416
ACH-000238,-0.317592884087
ACH-000243,-0.104173036981
ACH-000244,0.050755484824000004
ACH-000246,-0.12811413516200001
ACH-000248,-0.299270077599
ACH-000250,-0.198106990627
ACH-000251,-0.153242753875
ACH-000253,-0.359917179532
ACH-000255,-0.213552172385
ACH-000256,-0.22459084714699998
ACH-000257,-0.339196406796
ACH-000258,0.004764697605159999
ACH-000259,-0.141729527916
ACH-000260,-0.180745039757
ACH-000261,-0.0670521582687
ACH-000262,-0.262468342575
ACH-000263,-0.10961304730799999
ACH-000264,-0.103205983376
ACH-000265,-0.0913970866371
ACH-000266,0.0867878816981
ACH-000272,-0.1098364524
ACH-000273,0.067378630299
ACH-000274,-0.220010282306
ACH-000277,-0.22849227042300002
ACH-000278,0.130059961502
ACH-000279,-0.23525242198600002
ACH-000280,-0.18784658291700002
ACH-000281,-0.0705836266609
ACH-000288,-0.29910459679900003
ACH-000291,-0.272896528199
ACH-000293,-0.353312804209
ACH-000294,-0.217841225253
ACH-000295,-0.09591648627910002
ACH-000296,-0.329075170632
ACH-000302,-0.238987890032
ACH-000304,0.12869142087000002
ACH-000307,-0.158413547367
ACH-000308,-0.12514728739800002
ACH-000310,-0.23376546290800002
ACH-000311,-0.062446088771199997
ACH-000312,-0.272669200255
ACH-000315,-0.365437087239
ACH-000316,-0.33961007180200004
ACH-000317,-0.355849427271
ACH-000318,-0.0632965589399
ACH-000319,-0.0332697240838
ACH-000320,-0.34659431007200003
ACH-000322,-0.255538575396
ACH-000323,-0.213314408746
ACH-000324,-0.261448745908
ACH-000329,-0.134417496069
ACH-000330,-0.37759377149800005
ACH-000331,-0.12283576467499999
ACH-000332,-0.18781454216
ACH-000334,-0.200369598222
ACH-000335,0.21580478586100002
ACH-000336,-0.0497656712376
ACH-000337,-0.0762777820732
ACH-000339,-0.0828552071414
ACH-000341,-0.069846533936
ACH-000348,-0.21917235497600002
ACH-000350,-0.238877243923
ACH-000352,-0.216039349493
ACH-000356,0.0669479232275
ACH-000361,-0.0992400277941
ACH-000362,-0.0728294414008
ACH-000363,-0.21550428203400002
ACH-000364,-0.152002111011
ACH-000365,-0.111088913297
ACH-000366,-0.205074043773
ACH-000368,-0.0635166980501
ACH-000374,-0.10495241658700001
ACH-000375,0.043874714931300005
ACH-000376,-0.282330035934
ACH-000381,-0.36182738649999996
ACH-000383,-0.35838678997400003
ACH-000387,-0.12182993360500001
ACH-000389,-0.264528766452
ACH-000390,-0.17395004569800002
ACH-000393,-0.213283533607
ACH-000395,-0.10963881431900001
ACH-000397,-0.184688261213
ACH-000401,-0.15455636402
ACH-000402,-0.34864161274899996
ACH-000403,-0.269311428575
ACH-000404,-0.0449751488392
ACH-000406,-0.194531872419
ACH-000407,-0.129503374668
ACH-000408,-0.14722241015
ACH-000410,-0.311884366294
ACH-000411,-0.35569140262500004
ACH-000414,0.00819057740371
ACH-000415,-0.240982149313
ACH-000416,-0.132000557577
ACH-000420,-0.290284036799
ACH-000421,-0.144182844662
ACH-000424,0.0018530540381199998
ACH-000425,-0.0692202921507
ACH-000426,-0.109864163409
ACH-000427,-0.198269238644
ACH-000433,-0.167499663093
ACH-000436,-0.11715466595799999
ACH-000444,-0.0917888930502
ACH-000445,-0.388026092228
ACH-000448,-0.170984331097
ACH-000450,-0.31623029141
ACH-000452,-0.0952195740736
ACH-000454,-0.31991277101599996
ACH-000458,-0.16782734029
ACH-000459,-0.411583830406
ACH-000460,-0.144739911918
ACH-000461,-0.6590526025150001
ACH-000463,-0.0981056428224
ACH-000464,-0.179679056885
ACH-000466,-0.04472360527
ACH-000467,-0.34993758308399997
ACH-000468,-0.3641984248
ACH-000469,-0.241770443655
ACH-000470,-0.0768354410335
