,CCND1 (595)
ACH-000004,-0.35312943226800003
ACH-000007,-1.32452292911
ACH-000009,-0.90421492222
ACH-000011,-0.615633833636
ACH-000012,-1.4691297253400002
ACH-000013,-0.377064381296
ACH-000014,-1.18912519843
ACH-000015,-0.43339957624799996
ACH-000017,-0.403056643345
ACH-000018,-1.0438818607200002
ACH-000019,-1.8477518754400002
ACH-000021,-1.1834344662
ACH-000022,-1.23306894936
ACH-000025,-1.4672086895200003
ACH-000028,-1.43780175597
ACH-000030,-1.3739275267200002
ACH-000035,-0.320129037313
ACH-000036,-1.04497132981
ACH-000037,-0.647191216344
ACH-000039,-0.46758942409500004
ACH-000040,-1.46661089331
ACH-000041,-1.59785077685
ACH-000042,-1.42483628821
ACH-000045,-0.59508179306
ACH-000047,-0.544347099814
ACH-000052,-1.39085940132
ACH-000053,-0.42623607970700006
ACH-000054,-1.2789748707
ACH-000055,-0.616719604749
ACH-000060,-1.43224869053
ACH-000067,-1.4226494779299999
ACH-000070,-0.595554880815
ACH-000075,-1.1990590654200002
ACH-000078,-1.62900777118
ACH-000082,-1.8871666786099996
ACH-000085,-0.897574244754
ACH-000086,-1.1035177411100001
ACH-000087,-1.5988175801700002
ACH-000092,-1.25252086273
ACH-000095,-0.635889258679
ACH-000097,-1.48973634761
ACH-000098,-0.9844283959260001
ACH-000099,-1.7544453326299998
ACH-000108,-1.32615115629
ACH-000113,-0.855553659034
ACH-000115,-2.52373129525
ACH-000116,-0.548899206427
ACH-000118,-1.4819155449
ACH-000120,-1.5361426599799999
ACH-000123,-0.674087014448
ACH-000127,-1.3929208415399998
ACH-000128,-0.160754081884
ACH-000132,-1.3675127014
ACH-000133,-0.471637719469
ACH-000137,-0.35094412620300003
ACH-000138,-1.2145887194299998
ACH-000142,-0.916377829357
ACH-000143,-1.7608584608000002
ACH-000146,-0.337171117855
ACH-000148,-1.50576541895
ACH-000150,-1.4231958044600002
ACH-000152,-0.23735765556999996
ACH-000153,-1.94365247176
ACH-000159,-1.75898231538
ACH-000160,-0.6380507292490001
ACH-000163,-1.6946967262900001
ACH-000167,-0.151940504422
ACH-000168,-0.42194066130999996
ACH-000169,-0.385922813062
ACH-000178,-1.12863895597
ACH-000182,-0.9248016303479999
ACH-000183,-0.609222842161
ACH-000188,-1.2571596896
ACH-000189,-1.83198870348
ACH-000190,-0.22439084636300002
ACH-000198,-0.7655227376029999
ACH-000204,-0.648326100578
ACH-000206,-0.57029812555
ACH-000207,-1.5520068919799999
ACH-000211,-0.77767967691
ACH-000215,-0.846520915534
ACH-000221,-0.815958955344
ACH-000222,-1.31362764386
ACH-000223,-0.46910481557800005
ACH-000226,-0.5726218379169999
ACH-000227,-1.9142411841
ACH-000228,-1.51581391597
ACH-000231,-0.260909161008
ACH-000232,-0.595738347707
ACH-000233,-0.520629549704
ACH-000234,-0.8505603070569999
ACH-000235,-1.1198671635
ACH-000237,-1.35236201438
ACH-000238,-0.634962675704
ACH-000243,-0.545166061829
ACH-000244,-1.41553119445
ACH-000246,-1.17814409001
ACH-000248,-0.6127646861689999
ACH-000250,-1.2891020324
ACH-000251,-1.9586395366999998
ACH-000253,-0.511967636782
ACH-000255,-1.15580994595
ACH-000256,-0.7146644351000001
ACH-000257,-0.342178236183
ACH-000258,-0.308389538661
ACH-000259,-1.58503126931
ACH-000260,-1.60361091397
ACH-000261,-0.7309965629590001
ACH-000262,-1.38859607778
ACH-000263,-0.272394123627
ACH-000264,-1.04317296362
ACH-000265,-1.2452660928100001
ACH-000266,-1.34329787877
ACH-000272,-1.00740260776
ACH-000273,-0.469776626408
ACH-000274,-0.467432765963
ACH-000277,-2.2569219781200003
ACH-000278,-0.311663858191
ACH-000279,-1.66858226896
ACH-000280,-1.1758922164499999
ACH-000281,-1.12588704839
ACH-000288,-0.390714265486
ACH-000291,-0.619039927056
ACH-000293,-0.41543817480899997
ACH-000294,-0.379094899911
ACH-000295,-0.494777979228
ACH-000296,-0.519988137408
ACH-000302,-0.20529162073600002
ACH-000304,-1.9957155858900002
ACH-000307,-0.8976952219140001
ACH-000308,-0.346150911583
ACH-000310,-1.49073063477
ACH-000311,-1.4965433280200002
ACH-000312,-1.2669823258
ACH-000315,-0.191534263151
ACH-000316,-1.11135013746
ACH-000317,-0.931625573639
ACH-000318,-1.75133330775
ACH-000319,-0.325468523642
ACH-000320,-1.06831981487
ACH-000322,-1.03605124089
ACH-000323,-0.492519494291
ACH-000324,-1.23950083896
ACH-000329,-0.139160785455
ACH-000330,-1.47338246308
ACH-000331,-1.3873713868700002
ACH-000332,-0.72674194864
ACH-000334,-0.204476389501
ACH-000335,-1.19776274748
ACH-000336,-0.788984100476
ACH-000337,-1.52035405486
ACH-000339,-1.4795946838999998
ACH-000341,-2.52548431509
ACH-000348,-0.8589769257269999
ACH-000350,-1.37232802134
ACH-000352,-1.7513525461400001
ACH-000356,-1.9188162845299999
ACH-000361,-1.75500940938
ACH-000362,-0.7711453716069999
ACH-000363,-1.8949505143099998
ACH-000364,-0.840307664173
ACH-000365,-0.592922369618
ACH-000366,-1.7995288420500002
ACH-000368,-1.1071604116399998
ACH-000374,-1.09226627441
ACH-000375,-1.38516250461
ACH-000376,-1.23211862108
ACH-000381,-0.82289350377
ACH-000383,-1.4020770199
ACH-000387,-0.351113735682
ACH-000389,-1.09855387385
ACH-000390,-0.593388877856
ACH-000393,-0.7945188371780001
ACH-000395,-1.2665544180700001
ACH-000397,-0.588782170382
ACH-000401,-1.75822146493
ACH-000402,-0.511454183737
ACH-000403,-1.66959678565
ACH-000404,-1.72707988537
ACH-000406,-0.310204981026
ACH-000407,-1.44854752854
ACH-000408,-0.9446320696770001
ACH-000410,-0.305321249256
ACH-000411,-1.49319853886
ACH-000414,-0.55543539217
ACH-000415,-0.948049670103
ACH-000416,-0.706374616013
ACH-000420,-1.13282267737
ACH-000421,-0.786773713466
ACH-000424,-1.80084450012
ACH-000425,-0.9775137851960001
ACH-000426,-0.13566640915
ACH-000427,-0.7423403393979999
ACH-000433,-1.18977170967
ACH-000436,-1.6134265172100002
ACH-000444,-0.621872353426
ACH-000445,-0.758190751795
ACH-000448,-0.982782166421
ACH-000450,-2.24176630831
ACH-000452,-1.3166067361700002
ACH-000454,-1.12893811169
ACH-000458,-0.690959793513
ACH-000459,-0.509507494323
ACH-000460,-0.535769269887
ACH-000461,-0.8197162041889999
ACH-000463,-0.9758135776989999
ACH-000464,-0.884517351129
ACH-000466,-2.28341274195
ACH-000467,-0.616597145122
ACH-000468,-1.6313308491999998
ACH-000469,-1.50952290139
ACH-000470,-0.668721823252
ACH-000471,-1.12575829709
ACH-000472,-0.507202887297
ACH-000473,-1.84563985227
ACH-000475,-1.66142940717
ACH-000476,-1.42206924309
ACH-000477,-2.7738110582899997
ACH-000480,-1.55693532461
ACH-000481,-1.7797570702400003
ACH-000483,-0.196911697613
ACH-000484,-0.5819093016269999
ACH-000485,-1.13795381228
ACH-000486,-1.30143851661
ACH-000487,-0.651207724367
ACH-000488,-1.25766631938
ACH-000490,-0.382945676928
ACH-000491,-1.41090024793
ACH-000495,-1.22031984864
ACH-000496,-1.48024951356
ACH-000499,-1.8752774321
ACH-000500,-1.48814940347
ACH-000502,-1.00842890884
ACH-000503,-1.42439320425
ACH-000505,-1.5053932565200001
ACH-000507,-1.4481009375
ACH-000510,-1.00121109569
ACH-000511,-1.5326839875
ACH-000512,-1.4384623447100002
ACH-000516,-0.237641119304
ACH-000517,-0.9993383241949999
ACH-000518,-1.5061213761899999
ACH-000520,-1.10293598438
ACH-000521,-0.484548137255
ACH-000522,-1.43310430123
ACH-000524,-0.310215756931
ACH-000527,-0.419438223693
