,PDCL (5082)
ACH-000004,-0.347418050576
ACH-000007,-0.320647399617
ACH-000009,-0.464017765117
ACH-000011,-0.8177658912100001
ACH-000012,0.126296796805
ACH-000013,-0.7338642567389999
ACH-000014,-0.8519583305249999
ACH-000015,-0.739730632431
ACH-000017,-0.659036062869
ACH-000018,-0.7006669292669999
ACH-000019,-0.194857106604
ACH-000021,-0.342327193781
ACH-000022,-0.11997994070199999
ACH-000025,-0.2372683053
ACH-000028,-0.257122552689
ACH-000030,-0.635582959797
ACH-000035,-0.778210992265
ACH-000036,-0.58518047669
ACH-000037,-0.42588765695
ACH-000039,-0.26939915560899996
ACH-000040,-0.455621967676
ACH-000041,-0.800900914586
ACH-000042,-0.59537507446
ACH-000045,-0.152268597005
ACH-000047,-0.583620525933
ACH-000052,-0.903639731058
ACH-000053,-0.365773471171
ACH-000054,-0.323845300873
ACH-000055,-0.278550118449
ACH-000060,-0.645268130787
ACH-000067,-0.034188280795
ACH-000070,-0.180894098132
ACH-000075,-0.398555341874
ACH-000078,-0.668112082187
ACH-000082,-1.00607471341
ACH-000085,-0.0644235979844
ACH-000086,-0.621722679274
ACH-000087,-0.912276077669
ACH-000092,-0.356618106675
ACH-000095,-0.45075458873499996
ACH-000097,-0.461250952412
ACH-000098,-0.333309930788
ACH-000099,-0.640708752104
ACH-000108,-0.59415337408
ACH-000113,-0.380227044183
ACH-000115,-0.505101043912
ACH-000116,-0.362994625643
ACH-000118,-0.8262498350859999
ACH-000120,-0.7022224890790001
ACH-000123,-0.314069097884
ACH-000127,-0.46224702213999996
ACH-000128,-0.434897613806
ACH-000132,-0.7866169159119999
ACH-000133,-0.42690446481399996
ACH-000137,-0.28773341839
ACH-000138,-0.435179362246
ACH-000142,-0.584178691964
ACH-000143,-0.659379826438
ACH-000146,-0.632142993331
ACH-000148,-0.455809306716
ACH-000150,-0.871323610195
ACH-000152,-0.684850633159
ACH-000153,-0.316410667905
ACH-000159,-0.827930506977
ACH-000160,-0.42231678137900003
ACH-000163,-0.51872630726
ACH-000167,-0.18699280677299998
ACH-000168,-0.660997936687
ACH-000169,-0.26108305757399997
ACH-000178,-0.7383577375720001
ACH-000182,-0.188581778335
ACH-000183,-0.723232511586
ACH-000188,-0.56377263301
ACH-000189,-0.435850064832
ACH-000190,-0.45388230098399995
ACH-000198,-0.306381256132
ACH-000204,-0.127192821552
ACH-000206,-1.0890232073700001
ACH-000207,-0.22876061667800002
ACH-000211,-0.446740009548
ACH-000215,-0.524972817982
ACH-000221,-0.297814139616
ACH-000222,-0.609085455733
ACH-000223,-0.421647660661
ACH-000226,-0.618748714531
ACH-000227,-0.47210085985100003
ACH-000228,-0.5812789832249999
ACH-000231,-0.502791886572
ACH-000232,-0.597677704797
ACH-000233,-0.255581491246
ACH-000234,-0.562769241287
ACH-000235,-0.786864065708
ACH-000237,-0.598609082843
ACH-000238,-0.624664323099
ACH-000243,-0.09986128052160001
ACH-000244,-0.802981749427
ACH-000246,-0.58919222844
