,CLSPN (63967)
ACH-000004,-0.44955943669
ACH-000007,-0.5639149026420001
ACH-000009,-0.9147918510709999
ACH-000011,-1.0433514878899999
ACH-000012,-0.755317235976
ACH-000013,-0.7420893875329999
ACH-000014,-0.715895527336
ACH-000015,-0.723505460571
ACH-000017,-0.809648589591
ACH-000018,-0.8204822588070001
ACH-000019,-0.880335273452
ACH-000021,-0.7973965762459999
ACH-000022,-1.11289873977
ACH-000025,-0.764943671787
ACH-000028,-0.7987034839659999
ACH-000030,-0.45812352125
ACH-000035,-0.8717380351
ACH-000036,-0.616537644434
ACH-000037,-1.01470795404
ACH-000039,-0.754872364253
ACH-000040,-0.9914898586149999
ACH-000041,-0.950019918981
ACH-000042,-0.8314240857430001
ACH-000045,-0.75454111535
ACH-000047,-0.697846732885
ACH-000052,-0.920494916758
ACH-000053,-0.906419941314
ACH-000054,-0.887003229887
ACH-000055,-1.21619517164
ACH-000060,-0.574128002103
ACH-000067,-0.725242737114
ACH-000070,-0.7942530018549999
ACH-000075,-0.9313353191760001
ACH-000078,-0.908191427123
ACH-000082,-0.89155528244
ACH-000085,-0.8725077438750001
ACH-000086,-1.11703663989
ACH-000087,-0.6471399774459999
ACH-000092,-0.6885305658480001
ACH-000095,-0.917622367526
ACH-000097,-0.572902771639
ACH-000098,-0.722300528593
ACH-000099,-1.11267723689
ACH-000108,-0.577065411943
ACH-000113,-0.869670410029
ACH-000115,-0.679988460595
ACH-000116,-0.75765186427
ACH-000118,-0.407542317659
ACH-000120,-1.06751941302
ACH-000123,-0.9074317436920001
ACH-000127,-0.988955572261
ACH-000128,-0.686438128301
ACH-000132,-0.277755803851
ACH-000133,-0.726275646706
ACH-000137,-0.700711131603
ACH-000138,-0.55826108127
ACH-000142,-0.6856661705600001
ACH-000143,-0.71777236918
ACH-000146,-0.593348519278
ACH-000148,-0.661422406708
ACH-000150,-0.699211126548
ACH-000152,-0.750407438901
ACH-000153,-0.862209600989
ACH-000159,-0.535293060686
ACH-000160,-0.49604958556900003
ACH-000163,-0.633897986266
ACH-000167,-0.523952939263
ACH-000168,-0.718037785607
ACH-000169,-0.559675384257
ACH-000178,-0.42896404444499997
ACH-000182,-0.31263173229400004
ACH-000183,-0.860508279549
ACH-000188,-0.755098917485
ACH-000189,-0.9509735560160001
ACH-000190,-0.9599326593340001
ACH-000198,-0.8695732795569999
ACH-000204,-1.03065568998
ACH-000206,-0.851353085005
ACH-000207,-0.47910421067500003
ACH-000211,-0.76460998637
ACH-000215,-0.826092374035
ACH-000221,-0.3670747453
ACH-000222,-0.47613758872199996
ACH-000223,-1.23017168705
ACH-000226,-0.385276795558
ACH-000227,-1.0989776130700002
ACH-000228,-0.822733407529
ACH-000231,-0.584500470294
ACH-000232,-0.7980718517300001
ACH-000233,-0.558233667448
ACH-000234,-0.843588729898
ACH-000235,-0.864995398847
ACH-000237,-0.734508795661
ACH-000238,-0.546918158631
ACH-000243,-0.69720149015
ACH-000244,-0.7323915204620001
ACH-000246,-0.9758797673399999
ACH-000248,-0.6978017522409999
ACH-000250,-0.6769580054369999
ACH-000251,-0.601864424938
ACH-000253,-0.632902567605
ACH-000255,-0.439302497566
ACH-000256,-0.722037832496
ACH-000257,-0.709874965318
ACH-000258,-0.7492665082529999
ACH-000259,-0.783481462093
ACH-000260,-0.617943479308
ACH-000261,-0.683379849117
ACH-000262,-0.47407904906099996
ACH-000263,-0.538033617273
ACH-000264,-0.784145815457
ACH-000265,-0.33757675983999996
ACH-000266,-0.563379377397
ACH-000272,-0.686293938383
ACH-000273,-0.687503868595
ACH-000274,-0.463452377852
ACH-000277,-0.759629623925
ACH-000278,-0.636085456198
ACH-000279,-0.635392639429
ACH-000280,-0.332247617171
ACH-000281,-0.24302147065299998
ACH-000288,-0.614822722802
ACH-000291,-0.584358484493
ACH-000293,-1.0259045258600001
ACH-000294,-0.720145526539
ACH-000295,-0.358445632196
ACH-000296,-0.386146470466
ACH-000302,-0.539879739432
ACH-000304,-0.880671812737
ACH-000307,-0.388232890738
ACH-000308,-0.848474556803
ACH-000310,-1.2649267894399998
ACH-000311,-0.316074868707
ACH-000312,-0.896698807416
ACH-000315,-1.28756599162
ACH-000316,-0.484829941202
ACH-000317,-0.391643404575
ACH-000318,-0.41124386725
ACH-000319,-0.73361639644
ACH-000320,-0.180249735264
ACH-000322,-0.926453719192
ACH-000323,-0.811286940931
ACH-000324,-0.52716024493
ACH-000329,-0.6753391729899999
ACH-000330,-0.736827573695
ACH-000331,-0.758404674178
ACH-000332,-0.430666354588
ACH-000334,-1.05385386176
ACH-000335,-0.8982049991709999
ACH-000336,-1.13009721829
ACH-000337,-0.6774089426980001
ACH-000339,-0.470996358199
ACH-000341,-0.346305017525
ACH-000348,-0.828675628249
ACH-000350,-0.49527910994400004
ACH-000352,-0.493524290612
ACH-000356,-0.5364201823610001
ACH-000361,-0.6873945448459999
ACH-000362,-0.493293200923
ACH-000363,-0.6731103003039999
ACH-000364,-0.592605515638
ACH-000365,-0.8223706273970001
ACH-000366,-0.733072726189
ACH-000368,-0.506314831937
ACH-000374,-0.673730454536
ACH-000375,-1.03413520962
ACH-000376,-0.6852679698749999
ACH-000381,-0.836758024219
ACH-000383,-1.1259775859999999
ACH-000387,-0.561403677098
ACH-000389,-0.872705197397
ACH-000390,-0.8512642933519999
ACH-000393,-0.46523128646399997
ACH-000395,-0.44494297327200005
ACH-000397,-0.480443092347
ACH-000401,-0.8343670292669999
ACH-000402,-0.642299802615
ACH-000403,-0.8839792945039999
ACH-000404,-0.727766506764
ACH-000406,-0.638881558962
ACH-000407,-0.349100995423
ACH-000408,-0.327027863357
ACH-000410,-0.7699071104240001
ACH-000411,-0.740075734777
ACH-000414,-0.598106122742
ACH-000415,-0.606758575521
ACH-000416,-0.811040415696
ACH-000420,-0.527512133398
ACH-000421,-0.595954054275
ACH-000424,-1.0553960952299999
ACH-000425,-0.938479166645
ACH-000426,-0.27887190346900004
ACH-000427,-0.587161877397
ACH-000433,-0.6333491991529999
ACH-000436,-0.8890274923029999
ACH-000444,-0.58737269463
ACH-000445,-0.506055142498
ACH-000448,-0.640044298349
ACH-000450,-0.15878703987099999
ACH-000452,-0.556930678377
ACH-000454,-0.895593182038
ACH-000458,-0.486669691583
ACH-000459,-0.765730987952
ACH-000460,-0.46616181967299997
ACH-000461,-0.661755596003
ACH-000463,-0.738495247616
ACH-000464,-0.647706545908
ACH-000466,-0.660260914045
ACH-000467,-0.559841071738
ACH-000468,-0.755325471663
ACH-000469,-0.670727691033
ACH-000470,-0.672334725618
ACH-000471,-0.9269934766519999
ACH-000472,-0.6192134854429999
ACH-000473,-0.7295552117730001
ACH-000475,-0.49076359368199995
ACH-000476,-0.363798808165
ACH-000477,-0.7412492901729999
ACH-000480,-0.531460223063
ACH-000481,-0.932536297715
ACH-000483,-0.5081392255030001
ACH-000484,-1.2168646199700002
ACH-000485,-0.493234604311
ACH-000486,-0.48882031411399995
ACH-000487,-0.651402654135
ACH-000488,-0.5154686648219999
ACH-000490,-0.8124571071269999
ACH-000491,-0.460925994458
ACH-000495,-0.46570705063
ACH-000496,-0.670987434935
ACH-000499,-0.751442615379
ACH-000500,-0.822035500009
ACH-000502,-0.523597285884
ACH-000503,-0.597143407283
ACH-000505,-0.660925301136
ACH-000507,-0.43729610731799995
ACH-000510,-0.995262539612
ACH-000511,-0.9467156689339999
ACH-000512,-0.5936486128390001
ACH-000516,-0.37894875615400003
ACH-000517,-0.648130976602
ACH-000518,-0.383517106698
ACH-000520,-0.537133321344
ACH-000521,-0.20651710167100001
ACH-000522,-0.656167049988
ACH-000524,-0.569492705219
ACH-000527,-0.645512745611
ACH-000528,-0.5876021273650001
ACH-000537,-0.516006852317
ACH-000541,-0.5250743200010001
ACH-000542,-0.94827943502
ACH-000544,-0.852698522923
ACH-000545,-0.827346854733
ACH-000547,-0.617756332103
ACH-000548,-0.43048104500699996
ACH-000549,-0.43571361373499995
ACH-000550,-0.8187408702079999
ACH-000552,-0.540767046964
ACH-000556,-0.615913222993
ACH-000557,-0.647454564695
ACH-000570,-0.462865117981
ACH-000571,-0.833228340566
ACH-000573,-0.450775263821
ACH-000576,-0.564937020809
ACH-000580,-0.84735408614
ACH-000584,-0.45692044980700003
ACH-000585,-0.8385068997059999
ACH-000588,-0.8610573584000001
ACH-000589,-0.8504921225669999
ACH-000591,-0.768651579482
ACH-000593,-0.774455942861
ACH-000600,-0.892139259721
ACH-000601,-0.622203037087
ACH-000604,-0.527337458716
ACH-000605,-0.5169404351510001
ACH-000606,-0.682679194698
ACH-000608,-1.05937477751
ACH-000614,-0.922583589181
ACH-000616,-0.369441355207
ACH-000618,-0.5285301734969999
ACH-000619,-0.60987392839
ACH-000620,-0.683872166416
ACH-000621,-0.572747824988
ACH-000622,-1.0828193597600002
ACH-000623,-0.65542070353
ACH-000624,-0.664369364388
ACH-000627,-1.01023187298
ACH-000630,-0.965809635528
ACH-000632,-0.630082579176
ACH-000633,-0.45086846413599996
ACH-000637,-0.578934899185
ACH-000638,-0.47466076426799997
ACH-000646,-0.712565828345
ACH-000647,-0.547299283604
ACH-000648,-0.149626194642
ACH-000649,-0.730926694852
ACH-000651,-0.903888241067
ACH-000652,-0.29537728726999996
ACH-000653,-0.630107554429
ACH-000657,-0.40689216964100006
ACH-000658,-0.548003332652
ACH-000661,-0.6812217084909999
ACH-000662,-0.46102646942000003
ACH-000663,-0.885410890408
ACH-000665,-0.488148547111
ACH-000671,-0.523464397973
ACH-000673,-0.8455333138860001
ACH-000676,-0.787004018867
ACH-000677,-0.943300994871
ACH-000681,-0.895937987739
ACH-000682,-0.584602426338
