,TYRP1 (7306)
ACH-000004,-1.16873997438
ACH-000007,-0.07869678140910001
ACH-000009,-0.10055157895500001
ACH-000011,-0.0120273391274
ACH-000012,0.0391185594507
ACH-000013,0.0590964048814
ACH-000014,0.0909130076575
ACH-000015,-0.07775410484260001
ACH-000017,0.109935095805
ACH-000018,0.055157018408399996
ACH-000019,0.115375699101
ACH-000021,-0.050054550596199995
ACH-000022,0.08654126972380001
ACH-000025,0.16723223715500002
ACH-000028,-0.0069018666729700005
ACH-000030,-0.0990976455192
ACH-000035,-0.017281219430499997
ACH-000036,-0.204486312003
ACH-000037,-0.192211471427
ACH-000039,0.139604690782
ACH-000040,0.0406568650643
ACH-000041,0.0979253096642
ACH-000042,0.0102024299965
ACH-000045,-0.0313817524308
ACH-000047,0.0418837319736
ACH-000052,-0.10471493063
ACH-000053,-0.0384234276926
ACH-000054,-0.20721892348999998
ACH-000055,0.15408212024700002
ACH-000060,0.10513187509199999
ACH-000067,-0.09332620385299999
ACH-000070,0.00779577180346
ACH-000075,0.024141299734099998
ACH-000078,-0.329742816127
ACH-000082,-0.0330760475337
ACH-000085,-0.07941900209580001
ACH-000086,-0.111425188183
ACH-000087,-0.28808709785500003
ACH-000092,0.0459184272691
ACH-000095,0.0062065547568199994
ACH-000097,0.0720928928902
ACH-000098,0.0614725552377
ACH-000099,-0.245760517161
ACH-000108,-0.0404942983363
ACH-000113,-0.00393398002585
ACH-000115,-0.13789261489399998
ACH-000116,-0.061802945146500005
ACH-000118,-0.14217571723300002
ACH-000120,-0.191537236745
ACH-000123,-0.157452729701
ACH-000127,0.0103453532529
ACH-000128,-0.0514530911262
ACH-000132,-0.0495274998474
ACH-000133,0.118443264169
ACH-000137,0.240932668096
ACH-000138,-0.118251288528
ACH-000142,0.0384438510578
ACH-000143,0.0459640458359
ACH-000146,0.09084555433739999
ACH-000148,-0.0404118450609
ACH-000150,-0.13161716754
ACH-000152,0.166819192534
ACH-000153,0.23600992776500002
ACH-000159,-0.132318510572
ACH-000160,0.131839330729
ACH-000163,-0.04717283940230001
ACH-000167,0.119471728826
ACH-000168,0.139645590947
ACH-000169,0.0918773061939
ACH-000178,0.011237994062600001
ACH-000182,-0.0502515577551
ACH-000183,-0.05462731487769999
ACH-000188,0.0918382719959
ACH-000189,-0.058879068990099995
ACH-000190,0.128348081013
ACH-000198,0.012600548323200001
ACH-000204,0.309390169135
ACH-000206,0.07787281767450001
ACH-000207,0.235253623079
ACH-000211,-0.170435007979
ACH-000215,-0.062133417726800005
ACH-000221,-0.033116584625
ACH-000222,0.0578501141889
ACH-000223,0.0753747487172
ACH-000226,0.0509356185502
ACH-000227,-0.0142633106724
ACH-000228,0.0772913752057
ACH-000231,-0.0275407840123
ACH-000232,-0.0393989774954
ACH-000233,0.042573386006399996
ACH-000234,0.0766537567217
ACH-000235,-0.0372187425811
ACH-000237,-0.028494000192400004
ACH-000238,-0.133819724892
ACH-000243,-0.107657775044
ACH-000244,-0.0845960553777
ACH-000246,-0.116573433396
ACH-000248,-0.23472910765000002
ACH-000250,0.0408118915659
ACH-000251,-0.0360312987163
ACH-000253,-0.013980023070600001
ACH-000255,-0.0739859624073
ACH-000256,0.000750665908776
ACH-000257,-0.22431965628699999
ACH-000258,0.11497872903100001
ACH-000259,0.021944392300299997
ACH-000260,-0.07378553010589999
ACH-000261,-0.027659165247400003
ACH-000262,0.0936259560259
ACH-000263,0.145598772223
ACH-000264,-0.057563685718199996
ACH-000265,-0.241778051248
ACH-000266,-0.0884811899844
ACH-000272,-0.165180749596
ACH-000273,0.0566894035739
ACH-000274,0.020446975791
ACH-000277,-0.039149959529900004
ACH-000278,0.013398276260599999
ACH-000279,-0.0185020131474
ACH-000280,-0.00046960903238899997
ACH-000281,0.043017548536599996
ACH-000288,-0.0257683516781
ACH-000291,0.0017397970120499998
ACH-000293,0.0963692871695
ACH-000294,-0.0719710282526
ACH-000295,0.139628980578
ACH-000296,-0.039396678183900004
ACH-000302,-0.017418934775200002
ACH-000304,0.059882032469899996
ACH-000307,-0.044553677238300005
ACH-000308,-0.07003541182739999
ACH-000310,-0.349668048169
ACH-000311,-0.270223977302
ACH-000312,-0.011654862005399998
ACH-000315,0.22403943909600002
ACH-000316,-0.104739188944
ACH-000317,-0.0041576131858999995
ACH-000318,0.111022801431
ACH-000319,0.15484299004899998
ACH-000320,-0.0324080225044
ACH-000322,-0.24683155286800001
ACH-000323,0.124353892296
ACH-000324,-0.051849377027199994
ACH-000329,0.13643322001
ACH-000330,-0.142914445005
ACH-000331,0.12434182071699999
ACH-000332,-0.034021039953700004
ACH-000334,0.057514127193999995
ACH-000335,-0.134136192678
ACH-000336,-0.300323422704
ACH-000337,0.145020405703
ACH-000339,-0.0272236744997
ACH-000341,0.0335833352249
ACH-000348,-0.0265810490705
ACH-000350,-0.150445866733
ACH-000352,-0.0687048388949
ACH-000356,0.21518091435699999
ACH-000361,0.106294856397
ACH-000362,0.055623090611899996
ACH-000363,0.0317099229525
ACH-000364,-0.133679876851
ACH-000365,0.0345186422063
ACH-000366,-0.129575654131
ACH-000368,0.060314448165800005
ACH-000374,-0.20438520916900002
ACH-000375,0.189050937416
ACH-000376,0.0149532196649
ACH-000381,-0.0015917279693800001
ACH-000383,-0.0294596167017
ACH-000387,-0.018673182207900003
ACH-000389,0.00741615563984
ACH-000390,-0.08503248671119999
ACH-000393,-0.0558771094113
ACH-000395,-0.0419554001399
