,DDX31 (64794)
ACH-000004,-0.0731768798675
ACH-000007,-0.017674360014799998
ACH-000009,-0.356251129018
ACH-000011,-0.391393745104
ACH-000012,-0.17602790559599998
ACH-000013,-0.287823144887
ACH-000014,0.150510368516
ACH-000015,-0.201969018883
ACH-000017,-0.0445820347284
ACH-000018,-0.14744134599199998
ACH-000019,-0.114052566328
ACH-000021,-0.197954118796
ACH-000022,-0.227639099165
ACH-000025,-0.203639617342
ACH-000028,-0.113565970021
ACH-000030,-0.0330538964561
ACH-000035,-0.256109047712
ACH-000036,-0.584678143644
ACH-000037,-0.16841003677400002
ACH-000039,-0.05480107103080001
ACH-000040,-0.184923117666
ACH-000041,-0.10721585769400001
ACH-000042,-0.36578526388800003
ACH-000045,-0.382865505607
ACH-000047,-0.0883208304792
ACH-000052,0.00992417874157
ACH-000053,-0.0642137140251
ACH-000054,-0.244291216878
ACH-000055,-0.19137392001200002
ACH-000060,-0.0451433449119
ACH-000067,-0.18600878106899998
ACH-000070,-0.44172234056299997
ACH-000075,-0.420063904778
ACH-000078,-0.250072589297
ACH-000082,-0.274234900435
ACH-000085,-0.124671469779
ACH-000086,-0.329666030336
ACH-000087,0.0636852316268
ACH-000092,-0.146255745331
ACH-000095,-0.267460884288
ACH-000097,-0.310356398587
ACH-000098,-0.0716188726029
ACH-000099,-0.365527043467
ACH-000108,-0.179883678922
ACH-000113,-0.128375769314
ACH-000115,-0.132695551621
ACH-000116,-0.0175542023528
ACH-000118,-0.08913856647780001
ACH-000120,-0.274830689813
ACH-000123,-0.288441334704
ACH-000127,-0.23848918965799998
ACH-000128,-0.12043948134000002
ACH-000132,-0.0858551244481
ACH-000133,-0.176283153213
ACH-000137,-0.173299989422
ACH-000138,-0.355807590841
ACH-000142,0.0691978893752
ACH-000143,0.014221286384799999
ACH-000146,-0.117523842084
ACH-000148,-0.189906038982
ACH-000150,-0.046992899799199996
ACH-000152,-0.271747883585
ACH-000153,-0.25331758273000005
ACH-000159,-0.319623742871
ACH-000160,-0.16645889250999998
ACH-000163,-0.228622822335
ACH-000167,0.0200600625881
ACH-000168,-0.166180530119
ACH-000169,-0.0819523188244
ACH-000178,-0.11160799181500002
ACH-000182,-0.28128874111200003
ACH-000183,-0.0934152260612
ACH-000188,-0.130187033673
ACH-000189,-0.32457980142799997
ACH-000190,-0.310039297842
ACH-000198,-0.520189183486
