,PRKCZ (5590)
ACH-000004,-0.13625526488700002
ACH-000007,-0.0983732508448
ACH-000009,-0.526919849372
ACH-000011,-0.0299835729629
ACH-000012,-0.17336357831000002
ACH-000013,-0.307180324839
ACH-000014,-0.018823811473400003
ACH-000015,-0.214519928259
ACH-000017,-0.308178276319
ACH-000018,-0.261618373644
ACH-000019,-0.152198335984
ACH-000021,-0.2591112029
ACH-000022,-0.0676431440574
ACH-000025,-0.357256372227
ACH-000028,-0.20617539944899999
ACH-000030,-0.263330098369
ACH-000035,-0.365831998371
ACH-000036,-0.398353502329
ACH-000037,-0.384800719347
ACH-000039,-0.426138964789
ACH-000040,-0.337601013658
ACH-000041,-0.385986295901
ACH-000042,-0.25829688498000003
ACH-000045,-0.396337727292
ACH-000047,-0.5261568607329999
ACH-000052,-0.291038231009
ACH-000053,-0.181984723833
ACH-000054,-0.314831183265
ACH-000055,-0.0141853705155
ACH-000060,-0.216637628748
ACH-000067,-0.228639865696
ACH-000070,-0.240920853904
ACH-000075,-0.143019904254
ACH-000078,-0.353480743711
ACH-000082,-0.0899018839793
ACH-000085,-0.31259987121
ACH-000086,-0.268637951217
ACH-000087,-0.38994075820600005
ACH-000092,-0.34229644303
ACH-000095,-0.30157015633400003
ACH-000097,-0.407384128634
ACH-000098,-0.297700982423
ACH-000099,-0.35561571169100004
ACH-000108,-0.519837336924
ACH-000113,-0.10792816329000002
ACH-000115,-0.7105693355
ACH-000116,-0.20532625375100003
ACH-000118,-0.108838331755
ACH-000120,-0.137849012529
ACH-000123,-0.34100206903
ACH-000127,-0.191824066952
ACH-000128,-0.38502187381499997
ACH-000132,-0.21356593912900002
ACH-000133,-0.332657133936
ACH-000137,-0.409967842924
ACH-000138,-0.486238085522
ACH-000142,-0.520343155351
ACH-000143,-0.317219213905
ACH-000146,-0.20900966836399998
ACH-000148,-0.347815066075
ACH-000150,-0.6593508063669999
ACH-000152,0.0254152423415
ACH-000153,-0.0709272017941
ACH-000159,-0.108543423774
ACH-000160,-0.18187717206
ACH-000163,-0.105422834543
ACH-000167,-0.304670442048
ACH-000168,-0.07263807505730001
ACH-000169,-0.06056035056609999
ACH-000178,-0.267562126623
ACH-000182,-0.193915306035
ACH-000183,-0.479781572514
ACH-000188,-0.47218855733099996
ACH-000189,-0.195757689476
ACH-000190,-0.169746827447
ACH-000198,-0.0787910632228
ACH-000204,-0.134740866849
ACH-000206,-0.234747812575
ACH-000207,-0.297099354001
