,HOXD11 (3237)
ACH-000004,-0.149983527184
ACH-000007,-0.13293990473099998
ACH-000009,-0.40873397232500003
ACH-000011,-0.17645896416499998
ACH-000012,-0.313863633252
ACH-000013,-0.211510972329
ACH-000014,-0.416279086826
ACH-000015,-0.158970537373
ACH-000017,-0.269115156732
ACH-000018,-0.63451113569
ACH-000019,-0.079543302017
ACH-000021,-0.291836808484
ACH-000022,-0.173892254131
ACH-000025,-0.201864552905
ACH-000028,-0.26428936635
ACH-000030,-0.486486133721
ACH-000035,-0.08835062159530001
ACH-000036,-0.40645409061899995
ACH-000037,-0.23097753132100002
ACH-000039,-0.36698189858900004
ACH-000040,-0.32315066639199996
ACH-000041,-0.037286471214
ACH-000042,-0.51633030543
ACH-000045,-0.211881053666
ACH-000047,-0.33265503987399997
ACH-000052,-0.432345468637
ACH-000053,-0.420429856448
ACH-000054,-0.359924611887
ACH-000055,-0.307972384411
ACH-000060,-0.29157870090300003
ACH-000067,-0.19762818533100002
ACH-000070,-0.155297276131
ACH-000075,-0.259347343369
ACH-000078,-0.7486020707250001
ACH-000082,-0.209845094915
ACH-000085,-0.400758265189
ACH-000086,-0.39904814045299997
ACH-000087,-0.477597478178
ACH-000092,-0.533227754898
ACH-000095,-0.396852646527
ACH-000097,-0.27566742848700004
ACH-000098,-0.638371346193
ACH-000099,-0.649518144015
ACH-000108,-0.43245123375600003
ACH-000113,-0.16294206326400001
ACH-000115,-0.326529817927
ACH-000116,-0.292833896826
ACH-000118,-0.348929212066
ACH-000120,-0.585741952578
ACH-000123,-0.526893751268
ACH-000127,-0.275221346518
ACH-000128,-0.253151456705
ACH-000132,-0.320290304038
ACH-000133,-0.08799719660250001
ACH-000137,-0.15445693656
ACH-000138,-0.311462454425
ACH-000142,-0.15430280810900002
ACH-000143,-0.524703018753
ACH-000146,-0.28746046327
ACH-000148,-0.223578839373
ACH-000150,0.051167077337100006
ACH-000152,-0.418731084893
ACH-000153,-0.16432162147600002
ACH-000159,-0.348568460232
ACH-000160,-0.525046884759
ACH-000163,-0.17337807101
ACH-000167,-0.30052328644299997
ACH-000168,-0.271388545516
ACH-000169,-0.239007191684
ACH-000178,-0.331631325783
ACH-000182,-0.310353499911
ACH-000183,-0.154070763257
ACH-000188,-0.153065064991
ACH-000189,0.103049157623
ACH-000190,-0.236582082463
ACH-000198,-0.07645126237319999
ACH-000204,-0.527367931656
ACH-000206,-0.16418071487299998
ACH-000207,-0.300205218613
