,OBP2A (29991)
ACH-000004,-0.388394851483
ACH-000007,-0.5666967937030001
ACH-000009,-0.56138695999
ACH-000011,-0.279513595048
ACH-000012,-0.385060866116
ACH-000013,-0.428369117503
ACH-000014,-0.35030154285
ACH-000015,-0.699267804973
ACH-000017,-0.176224227461
ACH-000018,-0.48923969623499997
ACH-000019,-0.0446253024203
ACH-000021,-0.54974583841
ACH-000022,-0.638358819203
ACH-000025,-0.313735815109
ACH-000028,-0.118270390517
ACH-000030,-0.233713792374
ACH-000035,-0.0644659462051
ACH-000036,-0.407831528862
ACH-000037,-0.43843615829800003
ACH-000039,-0.32914735321
ACH-000040,-0.372199304096
ACH-000041,-0.35373568875699996
ACH-000042,-0.41753267519000004
ACH-000045,-0.308858028932
ACH-000047,-0.218468088998
ACH-000052,-0.261059341958
ACH-000053,-0.28003793112799996
ACH-000054,-0.400068299063
ACH-000055,-0.336857288508
ACH-000060,-0.222252497871
ACH-000067,-0.273604451671
ACH-000070,-0.289775758167
ACH-000075,-0.245035954188
ACH-000078,-0.501096565611
ACH-000082,-0.233296265565
ACH-000085,-0.107742137278
ACH-000086,-0.27773078382
ACH-000087,-0.517228478525
ACH-000092,-0.452561790856
ACH-000095,-0.358611696515
ACH-000097,-0.375643791176
ACH-000098,-0.288358382003
ACH-000099,-0.355294972226
ACH-000108,-0.556191762472
ACH-000113,-0.41157229187100003
ACH-000115,-0.433212151712
ACH-000116,-0.297125753131
ACH-000118,-0.240434386225
ACH-000120,-0.41599219612300004
ACH-000123,-0.382022406589
ACH-000127,-0.23722298394400002
ACH-000128,-0.26914533192699996
ACH-000132,-0.343196144906
ACH-000133,-0.271436020158
ACH-000137,-0.5053543403840001
ACH-000138,-0.623910613043
ACH-000142,-0.43257750864699995
ACH-000143,-0.187461529842
ACH-000146,-0.408335050071
ACH-000148,-0.46151216419600005
ACH-000150,-0.260443755795
ACH-000152,-0.320093985399
ACH-000153,-0.216933707622
ACH-000159,-0.38235691672899996
ACH-000160,-0.45583267524300003
ACH-000163,-0.389221687107
ACH-000167,-0.254846307838
ACH-000168,-0.476804380557
ACH-000169,-0.450412232509
ACH-000178,-0.361945858076
ACH-000182,-0.326378118261
ACH-000183,-0.41688957486699996
ACH-000188,-0.370888810507
ACH-000189,-0.0738554206458
ACH-000190,-0.396101540322
ACH-000198,-0.38440070276199995
ACH-000204,-0.159565182668
ACH-000206,-0.507161401345
ACH-000207,-0.789711241215
ACH-000211,-0.146218306886
ACH-000215,-0.49807408075099996
ACH-000221,-0.485705093604
ACH-000222,-0.619990803451
ACH-000223,-0.340289827494
ACH-000226,-0.162729625747
ACH-000227,-0.798069641893
ACH-000228,-0.239353613371
ACH-000231,-0.285363068544
ACH-000232,-0.362470968403
ACH-000233,-0.219518095104
ACH-000234,-0.376114592135
ACH-000235,-0.47152173802599995
ACH-000237,-0.43083855345399996
ACH-000238,-0.42558463633500004
ACH-000243,-0.19329620778700002
ACH-000244,-0.22711401199900003
ACH-000246,-0.27018275285300003
ACH-000248,-0.286992354183
ACH-000250,-0.318587661802
ACH-000251,-0.512704397877
ACH-000253,-0.432113131804
ACH-000255,-0.372479206708
ACH-000256,-0.410031040417
ACH-000257,-0.305446444948
ACH-000258,-0.299215225465
ACH-000259,-0.48482608638700003
ACH-000260,-0.374149823299
ACH-000261,-0.17419680929499998
ACH-000262,-0.29194267885200004
ACH-000263,-0.6675103655479999
ACH-000264,-0.320019067251
ACH-000265,-0.210399723983
ACH-000266,-0.318782752767
ACH-000272,-0.426894287629
ACH-000273,-0.358438611257
ACH-000274,-0.31981074914200003
ACH-000277,-0.350430445406
ACH-000278,-0.315008548889
ACH-000279,-0.11868974619200001
ACH-000280,-0.42257098802500004
ACH-000281,-0.370760072043
ACH-000288,-0.147216563699
ACH-000291,-0.363056674415
ACH-000293,-0.361266345079
ACH-000294,-0.44607768240400003
ACH-000295,-0.509044834284
ACH-000296,-0.40658661367
ACH-000302,-0.134092510371
ACH-000304,-0.2271867639
ACH-000307,-0.232034202837
ACH-000308,-0.321476241512
ACH-000310,-0.37097544723000003
ACH-000311,-0.369753771765
ACH-000312,-0.480983546272
ACH-000315,-0.309756603163
ACH-000316,-0.364889860513
ACH-000317,-0.34957078642399997
ACH-000318,-0.556660636827
ACH-000319,-0.18816472293900002
ACH-000320,-0.44993158776500003
ACH-000322,-0.28174934321
ACH-000323,-0.6201027093
ACH-000324,-0.464220624011
ACH-000329,-0.512138359986
ACH-000330,-0.23451510750399998
ACH-000331,-0.311314991793
ACH-000332,-0.334854333808
ACH-000334,-0.53385608483
ACH-000335,-0.295554618943
ACH-000336,0.107400849295
ACH-000337,-0.306043415731
ACH-000339,-0.333829333233
ACH-000341,-0.240121622153
ACH-000348,-0.475194473266
ACH-000350,-0.316360861111
ACH-000352,-0.380359006273
ACH-000356,-0.26204255896699996
ACH-000361,-0.184543880825
ACH-000362,-0.382308759806
ACH-000363,-0.453040052873
ACH-000364,-0.140943830251
ACH-000365,-0.24874781268100002
ACH-000366,-0.47880283835
ACH-000368,-0.21759186824
ACH-000374,-0.27404608312199996
ACH-000375,-0.503999922401
ACH-000376,-0.513093644791
ACH-000381,-0.569292811606
ACH-000383,-0.43034222160499996
ACH-000387,-0.37219329891099995
ACH-000389,-0.271195074576
ACH-000390,-0.15671790127000002
ACH-000393,-0.455964039016
ACH-000395,-0.623770987831
ACH-000397,-0.34212393795199997
ACH-000401,-0.267948859195
ACH-000402,-0.14402942766
ACH-000403,-0.35614474280999997
ACH-000404,-0.528345804812
ACH-000406,-0.433926114805
ACH-000407,-0.420820620111
ACH-000408,-0.306640691252
ACH-000410,-0.332082371662
ACH-000411,-0.39961968309
ACH-000414,-0.343546917812
ACH-000415,0.0568351623862
ACH-000416,-0.472441877518
ACH-000420,-0.543928874528
ACH-000421,-0.16846920098
ACH-000424,0.0112132680608
ACH-000425,-0.20070959284499998
ACH-000426,-0.269764776457
ACH-000427,-0.367462782595
ACH-000433,-0.346933938165
ACH-000436,-0.338075751267
ACH-000444,-0.222912374047
ACH-000445,-0.44468060625699996
ACH-000448,-0.190670046171
ACH-000450,-0.296846819533
ACH-000452,-0.309412936331
ACH-000454,-0.330619571386
ACH-000458,-0.435482464161
ACH-000459,-0.371116830568
ACH-000460,-0.23023068669100002
ACH-000461,-0.444724182416
ACH-000463,-0.26544510619399997
ACH-000464,-0.289684680227
ACH-000466,-0.266608034742
ACH-000467,-0.33703769594899996
ACH-000468,-0.331344044811
ACH-000469,-0.400758354983
ACH-000470,-0.326524772982
ACH-000471,-0.28958997708900003
ACH-000472,-0.276230657871
ACH-000473,-0.27903625063799997
ACH-000475,-0.343521690589
ACH-000476,-0.275026134435
ACH-000477,-0.22940529907200002
ACH-000480,-0.271436282282
ACH-000481,-0.47419526076000007
ACH-000483,-0.389144490493
ACH-000484,-0.23365097819400002
ACH-000485,-0.441615411935
ACH-000486,-0.179278703416
ACH-000487,-0.408760915008
ACH-000488,-0.41319447502800005
ACH-000490,-0.245265901506
ACH-000491,-0.287229323129
ACH-000495,-0.697538170443
ACH-000496,-0.405372454804
ACH-000499,-0.469328955005
ACH-000500,-0.248315390386
ACH-000502,-0.364931293652
ACH-000503,-0.20277928260800002
ACH-000505,-0.165623654611
ACH-000507,-0.30870080617400003
ACH-000510,-0.07837893113250001
ACH-000511,-0.36966948198399996
ACH-000512,-0.280455164048
ACH-000516,-0.388377051242
ACH-000517,-0.36724450998499997
ACH-000518,-0.221197349582
ACH-000520,-0.321603514954
ACH-000521,-0.673457102613
ACH-000522,-0.122976000667
ACH-000524,-0.374283968626
ACH-000527,-0.34464950887199997
ACH-000528,-0.243084126609
ACH-000537,-0.25231525402800004
ACH-000541,-0.574111724325
ACH-000542,-0.236167079866
ACH-000544,-0.422627428376
ACH-000545,-0.154083692456
ACH-000547,-0.331544590666
ACH-000548,-0.16112411653300002
ACH-000549,-0.317485880063
ACH-000550,-0.374370670369
ACH-000552,-0.35525648476599997
ACH-000556,-0.223379658481
ACH-000557,-0.480570450717
ACH-000570,-0.5128046778149999
ACH-000571,-0.403948025252
ACH-000573,-0.206320792506
ACH-000576,-0.37061556121100003
ACH-000580,-0.390614162717
ACH-000584,-0.314181991367
ACH-000585,-0.195207905837
ACH-000588,-0.342503010956
ACH-000589,-0.279878975194
ACH-000591,-0.357750442004
ACH-000593,-0.49260996676299995
ACH-000600,-0.28361881798099997
ACH-000601,-0.332504536472
ACH-000604,-0.352788594354
ACH-000605,-0.500524694195
ACH-000606,-0.06700199416910001
ACH-000608,-0.5692792210000001
ACH-000614,-0.511296153709
ACH-000616,-0.307171770859
ACH-000618,-0.223499594564
ACH-000619,-0.787407706097
ACH-000620,-0.19769417173
ACH-000621,-0.570543396222
ACH-000622,-0.719942778185
ACH-000623,-0.159561067344
ACH-000624,-0.219470554945
ACH-000627,-0.332327664601
ACH-000630,-0.190789238683
ACH-000632,-0.354271078535
ACH-000633,0.0356340839257
ACH-000637,-0.398413298198
ACH-000638,-0.169897664721
ACH-000646,-0.255344784137
ACH-000647,-0.255399455539
ACH-000648,-0.40017171755099995
ACH-000649,-0.382853002885
ACH-000651,-0.32663801794799996
ACH-000652,-0.541110747141
ACH-000653,-0.0847183749785
ACH-000657,-0.37724683376100004
ACH-000658,-0.486013700009
ACH-000661,-0.20308937006799999
ACH-000662,-0.133675369811
ACH-000663,-0.395604025188
ACH-000665,-0.32392388433499997
ACH-000671,-0.327465463671
ACH-000673,-0.21778173120799998
ACH-000676,-0.39717523670599997
ACH-000677,-0.09449875187699999
ACH-000681,-0.5043217614050001
ACH-000682,-0.434383240493
ACH-000683,-0.44472305117
ACH-000684,-0.249326275817
ACH-000688,-0.38302540298199994
ACH-000693,-0.172915667839
ACH-000694,-0.307683588405
ACH-000695,-0.317282799414
ACH-000696,-0.383009902772
ACH-000697,-0.258141795071
ACH-000699,-0.341643660395
ACH-000701,-0.262866506761
ACH-000706,-0.443769939871
ACH-000711,-0.173554160134
ACH-000713,-0.155147059269
ACH-000714,-0.11791364136
ACH-000718,-0.41675253957099995
ACH-000720,-0.383906834671
ACH-000721,-0.45542165943999996
ACH-000724,-0.336594130511
ACH-000725,0.04560397561480001
ACH-000732,-0.14244064497
ACH-000734,-0.267490045203
ACH-000735,-0.349922541905
ACH-000736,-0.254584662716
ACH-000738,-0.378171510819
ACH-000746,-0.484870211153
ACH-000747,-0.36479125604999996
ACH-000748,-0.407860694006
ACH-000753,-0.286079110109
ACH-000756,-0.379355731625
ACH-000757,-0.607364383468
ACH-000758,-0.119167423605
ACH-000760,-0.320038067325
ACH-000763,-0.0334258099966
ACH-000764,-0.413184514029
ACH-000765,-0.408981271889
ACH-000766,-0.168634255235
ACH-000767,-0.451819848234
ACH-000768,-0.271932467103
ACH-000769,-0.375743305544
ACH-000770,-0.31093550514400004
ACH-000771,-0.348734733265
ACH-000773,-0.235665999458
ACH-000776,-0.274231719607
ACH-000777,-0.318781616413
ACH-000778,-0.14922616232799998
ACH-000781,-0.41874256382299996
