,HIST1H2AM (8336)
ACH-000004,-0.342690171557
ACH-000007,-0.48878948407
ACH-000009,-0.103015079098
ACH-000011,-0.406517553609
ACH-000012,-0.23062877266399998
ACH-000013,-0.334402951929
ACH-000014,-0.293296509845
ACH-000015,-0.271275119284
ACH-000017,-0.487384913856
ACH-000018,-0.29237799604000003
ACH-000019,-0.329884556265
ACH-000021,-0.351999743041
ACH-000022,-0.218771628391
ACH-000025,-0.20226713829300003
ACH-000028,-0.322657525776
ACH-000030,-0.324723970942
ACH-000035,-0.37872132750200005
ACH-000036,-0.32302897117699997
ACH-000037,-0.34854767755800004
ACH-000039,-0.306228899663
ACH-000040,-0.24919448617400003
ACH-000041,-0.38269442831699996
ACH-000042,-0.150005285196
ACH-000045,-0.456711512667
ACH-000047,-0.513911109142
ACH-000052,-0.403405718099
ACH-000053,-0.331905064693
ACH-000054,-0.18908725971299997
ACH-000055,-0.364977191867
ACH-000060,-0.425119819517
ACH-000067,-0.38278227134900006
ACH-000070,-0.31698748359900003
ACH-000075,-0.327993683473
ACH-000078,-0.253102544505
ACH-000082,-0.065190590295
ACH-000085,-0.41619218959200005
ACH-000086,-0.409055915187
ACH-000087,-0.330359749624
ACH-000092,-0.191905138275
ACH-000095,-0.413831290319
ACH-000097,-0.356220944029
ACH-000098,-0.272359669022
ACH-000099,-0.32627859653999997
ACH-000108,-0.09425203231139999
ACH-000113,-0.325472709779
ACH-000115,-0.723411817467
ACH-000116,-0.267058791741
ACH-000118,-0.328547181537
ACH-000120,-0.362614572016
ACH-000123,-0.33007842157
ACH-000127,-0.40762464563100004
ACH-000128,-0.515510857352
ACH-000132,-0.40290076723499996
ACH-000133,-0.33008085707
ACH-000137,-0.33443412028299996
ACH-000138,-0.304409583818
ACH-000142,-0.380083168791
ACH-000143,-0.39587811562299996
ACH-000146,-0.166671859718
ACH-000148,-0.153830069455
ACH-000150,-0.15635785514
ACH-000152,-0.413976130176
ACH-000153,-0.27304357897500003
ACH-000159,-0.32330528261999997
ACH-000160,-0.321946553114
ACH-000163,-0.389410687031
ACH-000167,-0.443540410113
ACH-000168,-0.578044643048
ACH-000169,-0.464759793423
ACH-000178,-0.150969898524
