,TMCO6 (55374)
ACH-000004,-0.411755122267
ACH-000007,-0.0266676882744
ACH-000009,-0.20585048218600002
ACH-000011,-0.129220733438
ACH-000012,-0.250078089326
ACH-000013,-0.048389946150500004
ACH-000014,-0.32223992527199996
ACH-000015,-0.28138073482
ACH-000017,-0.202824714461
ACH-000018,-0.22406368651900002
ACH-000019,0.039020840633699996
ACH-000021,-0.31061669286800003
ACH-000022,-0.08485196923260001
ACH-000025,-0.178723098129
ACH-000028,-0.40071435822800006
ACH-000030,-0.19108194052299998
ACH-000035,-0.41872468308
ACH-000036,-0.6836177376029999
ACH-000037,-0.145048876976
ACH-000039,-0.222345154016
ACH-000040,-0.437068590915
ACH-000041,-0.291465516583
ACH-000042,-0.427629671137
ACH-000045,-0.24882530489
ACH-000047,-0.491890575809
ACH-000052,-0.256992671316
ACH-000053,-0.211652637196
ACH-000054,-0.252859922204
ACH-000055,-0.721635109965
ACH-000060,-0.13844658199999998
ACH-000067,-0.0810735381951
ACH-000070,-0.18714097625999998
ACH-000075,-0.335048685403
ACH-000078,-0.316900036713
ACH-000082,-0.25592429493700003
ACH-000085,-0.465149983122
ACH-000086,-0.5274665320499999
ACH-000087,-0.12182654847999999
ACH-000092,-0.498425956417
ACH-000095,-0.142596795414
ACH-000097,-0.7230959085140001
ACH-000098,-0.139396885389
ACH-000099,-0.113748651353
ACH-000108,-0.367973437351
ACH-000113,-0.438725424133
ACH-000115,-0.38628431670999996
ACH-000116,-0.221824063358
ACH-000118,-0.24878275260699997
ACH-000120,-0.327416362646
ACH-000123,-0.46721304276000003
ACH-000127,-0.675294159999
ACH-000128,-0.574982340702
ACH-000132,-0.168605864575
ACH-000133,-0.466055805177
ACH-000137,-0.18494782963
ACH-000138,-0.278007420532
ACH-000142,-0.186917123455
ACH-000143,-0.22818367370700002
ACH-000146,-0.130161974107
ACH-000148,-0.411402785037
ACH-000150,-0.6084540488579999
ACH-000152,-0.229207024162
ACH-000153,-0.858250436358
ACH-000159,-0.139619321137
ACH-000160,-0.218076406771
ACH-000163,-0.18725052103
ACH-000167,-0.133348286904
ACH-000168,-0.137123320631
ACH-000169,-0.21564602895999999
ACH-000178,-0.433808319526
ACH-000182,-0.315339936705
ACH-000183,-0.197989145335
ACH-000188,-0.470897711562
ACH-000189,-0.106619879306
ACH-000190,-0.599100692023
ACH-000198,-0.12237749139000001
ACH-000204,-0.254297549897
ACH-000206,-0.596640108648
ACH-000207,-0.129096994981
ACH-000211,-0.450207135448
ACH-000215,-0.401087988459
ACH-000221,-0.295183695909
ACH-000222,-0.0657031522594
ACH-000223,-0.522793367639
ACH-000226,-0.444039293603
ACH-000227,-0.102283323203
ACH-000228,-0.363911976069
ACH-000231,-0.712803580207
ACH-000232,-0.145229858386
ACH-000233,-0.24440551559300003
ACH-000234,-0.315284406523
ACH-000235,-0.280409039883
ACH-000237,-0.554849896655
ACH-000238,-0.453184619854
ACH-000243,-0.720100247239
ACH-000244,-0.727925078709
ACH-000246,-0.5694274215089999
ACH-000248,-0.574305755404
ACH-000250,-0.23544985116300002
ACH-000251,-0.250158182859
ACH-000253,-0.129905444458
ACH-000255,-0.218395111956
ACH-000256,-0.206114538545
ACH-000257,-0.28583621437
ACH-000258,-0.48056285741000004
ACH-000259,-0.488421680694
ACH-000260,-0.282231373726
ACH-000261,-0.21195065740400001
ACH-000262,-0.66715791855
ACH-000263,-0.5308968531189999
ACH-000264,-0.345821371197
ACH-000265,-0.397008426849
ACH-000266,-0.355081712418
ACH-000272,-0.276881627546
ACH-000273,-0.5063501426829999
ACH-000274,-0.226116224828
