,RIOK2 (55781)
ACH-000004,-0.989596001829
ACH-000007,-0.956094198142
ACH-000009,-0.7860209388189999
ACH-000011,-1.2169074284
ACH-000012,-1.1265864152399998
ACH-000013,-1.0830480162
ACH-000014,-1.26430038389
ACH-000015,-1.21873155857
ACH-000017,-0.883029756927
ACH-000018,-0.948695637454
ACH-000019,-1.20667307206
ACH-000021,-0.89350453044
ACH-000022,-1.1215129535100001
ACH-000025,-1.17331807093
ACH-000028,-1.0213040985200001
ACH-000030,-1.21258827418
ACH-000035,-0.847785039813
ACH-000036,-1.01600043925
ACH-000037,-0.707454891123
ACH-000039,-0.679995718008
ACH-000040,-1.00846052785
ACH-000041,-1.07068794305
ACH-000042,-0.870846967478
ACH-000045,-0.952185124191
ACH-000047,-1.1756858399299999
ACH-000052,-1.16575772443
ACH-000053,-1.1438916923
ACH-000054,-1.05150684279
ACH-000055,-0.520563955135
ACH-000060,-0.851619942703
ACH-000067,-1.14013631211
ACH-000070,-1.1244299572799998
ACH-000075,-1.24410807984
ACH-000078,-1.01516459238
ACH-000082,-1.02285651235
ACH-000085,-0.9756775369490001
ACH-000086,-1.17739466964
ACH-000087,-1.0419409798100001
ACH-000092,-1.06784811177
ACH-000095,-1.27318636948
ACH-000097,-1.03755159985
ACH-000098,-0.772821643364
ACH-000099,-1.1217185939299998
ACH-000108,-1.08616880256
ACH-000113,-1.09460666351
ACH-000115,-1.00336580105
ACH-000116,-1.2179286948399999
ACH-000118,-1.09396349264
ACH-000120,-0.987175910891
ACH-000123,-0.977874452437
ACH-000127,-1.20399610862
ACH-000128,-1.00046310166
ACH-000132,-1.17279319371
ACH-000133,-0.866348533379
ACH-000137,-0.930734894727
ACH-000138,-0.881747702203
ACH-000142,-0.933048674179
ACH-000143,-0.9836610042209999
ACH-000146,-1.24738342978
ACH-000148,-1.01533602479
ACH-000150,-1.3475949842700001
ACH-000152,-0.908741372282
ACH-000153,-0.9328464151929999
ACH-000159,-1.30833690494
ACH-000160,-1.4636456889899998
ACH-000163,-1.5444851572
ACH-000167,-1.36665130892
