,SSC4D (136853)
ACH-000004,-0.0774173063766
ACH-000007,-0.27932971488
ACH-000009,-0.0268415698795
ACH-000011,-0.225594076153
ACH-000012,-0.26352396167500003
ACH-000013,-0.12167092076099999
ACH-000014,-0.377981336039
ACH-000015,-0.0249150644531
ACH-000017,-0.216762207447
ACH-000018,-0.15205683638
ACH-000019,0.0215297443268
ACH-000021,-0.332633295782
ACH-000022,-0.282453368913
ACH-000025,-0.187289124335
ACH-000028,-0.32172563318
ACH-000030,0.015691396498100002
ACH-000035,-0.058602318017699995
ACH-000036,-0.239950773677
ACH-000037,-0.318986437355
ACH-000039,-0.154442225219
ACH-000040,-0.251878251567
ACH-000041,-0.189796457967
ACH-000042,-0.200923010499
ACH-000045,-0.0431261098049
ACH-000047,-0.217874427082
ACH-000052,-0.321965231727
ACH-000053,-0.13400688312
ACH-000054,-0.21581132278499998
ACH-000055,-0.17343205073800003
ACH-000060,-0.324762609375
ACH-000067,-0.18140689760899997
ACH-000070,-0.143291943713
ACH-000075,-0.104780766625
ACH-000078,-0.0592525544233
ACH-000082,-0.203581443039
ACH-000085,-0.11356130347999999
ACH-000086,0.0627088170907
ACH-000087,-0.16719599116699999
ACH-000092,-0.08955535765660001
ACH-000095,-0.013668458142699999
ACH-000097,-0.20811066023299998
ACH-000098,-0.14176352053
ACH-000099,-0.0377037441448
ACH-000108,-0.19411887664799998
ACH-000113,-0.010581200822600001
ACH-000115,-0.14019000615399999
ACH-000116,-0.046561985137900004
ACH-000118,-0.07465107889539999
ACH-000120,-0.261733437588
ACH-000123,-0.147642076091
ACH-000127,-0.243029571663
ACH-000128,-0.0595942941065
ACH-000132,0.0638502365085
ACH-000133,-0.17207331551
ACH-000137,-0.10239988353900001
ACH-000138,-0.0420886849095
ACH-000142,-0.358151977444
ACH-000143,-0.133966710177
ACH-000146,-0.147618488399
ACH-000148,0.024804252710299998
ACH-000150,-0.137963803183
ACH-000152,-0.0315339184044
ACH-000153,0.29946342837699996
ACH-000159,-0.325608998229
ACH-000160,-0.163005207633
ACH-000163,-0.40879038585
ACH-000167,-0.28556824964899996
ACH-000168,-0.132372605174
ACH-000169,-0.191549084892
ACH-000178,-0.0526369010063
ACH-000182,-0.14616452988
ACH-000183,-0.251582235915
ACH-000188,-0.276284518689
ACH-000189,-0.053314151331599995
ACH-000190,0.131500416707
ACH-000198,-0.187179539179
ACH-000204,-0.0176010200459
ACH-000206,-0.08666462355249999
ACH-000207,-0.210239695656
ACH-000211,-0.0950487223557
ACH-000215,-0.0176639684483
ACH-000221,-0.216459358474
ACH-000222,-0.345199807567
ACH-000223,-0.0795830153338
ACH-000226,-0.09287522863530001
ACH-000227,-0.0661782041998
ACH-000228,-0.27990923976300003
ACH-000231,-0.23600653242
ACH-000232,-0.268055439868
ACH-000233,0.0181506661123
ACH-000234,0.138664093332
ACH-000235,-0.212022329755
ACH-000237,-0.12450694079399999
ACH-000238,-0.23523864953600002
ACH-000243,-0.0410194734108
ACH-000244,-0.103047237679
ACH-000246,-0.170546264687
ACH-000248,0.0345789451735
ACH-000250,-0.136363121293
ACH-000251,0.21798281354000001
ACH-000253,-0.0639945140194
ACH-000255,-0.42020040193400005
ACH-000256,-0.32498756680999996
ACH-000257,-0.15156107470799998
ACH-000258,-0.16061106876599998
ACH-000259,-0.0671108641235
ACH-000260,-0.120715375909
ACH-000261,-0.169860299835
ACH-000262,-0.304819155471
ACH-000263,-0.253939871224
ACH-000264,-0.165835993905
ACH-000265,-0.10723163260600001
ACH-000266,-0.211174855369
ACH-000272,-0.0144640773074
ACH-000273,-0.21648209577599997
ACH-000274,-0.172993829534
ACH-000277,-0.0232742584223
ACH-000278,-0.07543360352999999
ACH-000279,-0.274631730425
ACH-000280,-0.0489493159564
ACH-000281,-0.0943046894334
ACH-000288,-0.199844934791
ACH-000291,-0.0547326767353
ACH-000293,-0.15168216502100001
ACH-000294,-0.150597928115
ACH-000295,-0.25831095936099996
ACH-000296,-0.0427743218434
ACH-000302,-0.227611737269
ACH-000304,-0.573134903882
ACH-000307,-0.07560771123889999
ACH-000308,-0.10401286068900001
ACH-000310,0.160585279607
ACH-000311,-0.371295035017
ACH-000312,-0.149933512174
ACH-000315,-0.0257953822224
ACH-000316,-0.272328164508
ACH-000317,0.05017683270190001
ACH-000318,-0.274462332483
