,WHSC1 (7468)
ACH-000004,-0.0373064633359
ACH-000007,-0.144901106853
ACH-000009,-0.235522973607
ACH-000011,-0.361717453966
ACH-000012,-0.216911186051
ACH-000013,0.138068850148
ACH-000014,-0.243053333374
ACH-000015,-0.12043615464000001
ACH-000017,-0.130285745777
ACH-000018,0.0652882947881
ACH-000019,-0.401799805018
ACH-000021,-0.08007461304119999
ACH-000022,-0.13526400094000002
ACH-000025,-0.102914383866
ACH-000028,-0.0419232876495
ACH-000030,-0.0675098869553
ACH-000035,0.16130874528300002
ACH-000036,-0.0532319863248
ACH-000037,-0.306410617601
ACH-000039,-0.219745640766
ACH-000040,-0.0651102072974
ACH-000041,-0.179245706756
ACH-000042,-0.130541882596
ACH-000045,-0.286179951671
ACH-000047,-0.10745606113299999
ACH-000052,-0.147326050514
ACH-000053,-0.0026167234091300003
ACH-000054,-0.0489289384282
ACH-000055,-0.38656208354500005
ACH-000060,-0.313909966429
ACH-000067,-0.23079017102699997
ACH-000070,-0.0523138642492
ACH-000075,-0.265336439128
ACH-000078,-0.340061512096
ACH-000082,-0.171657912704
ACH-000085,-0.254222568706
ACH-000086,0.012919376322399999
ACH-000087,-0.22452703726
ACH-000092,-0.106845326872
ACH-000095,-0.310279157467
ACH-000097,-0.0126852556739
ACH-000098,-0.018677481071099997
ACH-000099,-0.17776529335799998
ACH-000108,-0.48933921415
ACH-000113,-0.072295970616
ACH-000115,-0.279494921499
ACH-000116,-0.056503832090400004
ACH-000118,-0.0921589227753
ACH-000120,-0.060860502086199995
ACH-000123,-0.300779955556
ACH-000127,-0.0988345720225
ACH-000128,-0.13240688876599999
ACH-000132,-0.026907201992599997
ACH-000133,-0.12215912569199999
ACH-000137,-0.0341179715949
ACH-000138,-0.168333827978
ACH-000142,-0.0043821455638800005
ACH-000143,-0.365435253927
ACH-000146,-0.1463481486
ACH-000148,-0.31334915081500003
ACH-000150,-0.051259012611699996
ACH-000152,-0.0869547234855
ACH-000153,0.166261858752
ACH-000159,-0.08707255521719999
ACH-000160,0.436767067526
ACH-000163,0.0417265305867
ACH-000167,0.765900357288
ACH-000168,-0.277453181058
ACH-000169,-0.212543275093
ACH-000178,-0.0676018245049
ACH-000182,-0.016530280056399997
ACH-000183,-0.242957214178
ACH-000188,0.0320180194759
ACH-000189,-0.0501781599364
ACH-000190,0.26390011609999997
ACH-000198,-0.11495302750999999
ACH-000204,-0.32098003611299997
ACH-000206,0.119346510229
ACH-000207,-0.47239500630599995
ACH-000211,-0.204003224483
ACH-000215,-0.059063804711
ACH-000221,-0.129136453835
ACH-000222,-0.15957553027000002
ACH-000223,-0.203834105809
ACH-000226,-0.189302690537
ACH-000227,-0.173388844405
ACH-000228,-0.157260138923
ACH-000231,-0.0777687597163
ACH-000232,0.017865700103
ACH-000233,-0.210884723022
ACH-000234,-0.33701328150300003
ACH-000235,-0.217217837522
ACH-000237,-0.0195436811815
ACH-000238,-0.038017373492
ACH-000243,-0.14241106193800002
ACH-000244,-0.0666416784965
ACH-000246,-0.0338233107514
ACH-000248,0.116722584419
ACH-000250,-0.145128983185
ACH-000251,0.223967007532
ACH-000253,-0.110331161676
ACH-000255,-0.0831237659378
ACH-000256,-0.08731966226849999
ACH-000257,-0.48069708605300004
ACH-000258,-0.319693537352
ACH-000259,-0.021853627825899998
ACH-000260,-0.260678292513
ACH-000261,-0.105175392023
ACH-000262,0.0660761859671
ACH-000263,-0.310869815996
ACH-000264,-0.29605750999200003
ACH-000265,-0.10248108591
ACH-000266,-0.23877895994399997
ACH-000272,0.012368333430399999
ACH-000273,-0.10504063480900001
ACH-000274,-0.44171521021300003
ACH-000277,0.0067871091203
ACH-000278,0.04632169913840001
ACH-000279,-0.283623494128
ACH-000280,-0.11915504543500001
ACH-000281,-0.44682403991400005
ACH-000288,-0.127848218936
ACH-000291,-0.058525084095400005
ACH-000293,0.03799940642230001
ACH-000294,-0.021720691861099997
ACH-000295,-0.529856911405
ACH-000296,-0.124988339504
ACH-000302,-0.125171904272
ACH-000304,-0.040556615548900006
ACH-000307,0.0310300977386
ACH-000308,-0.178930407905
ACH-000310,-0.33024959246999996
ACH-000311,-0.18399553820700001
