,UQCRFS1 (7386)
ACH-000004,-0.984355997967
ACH-000007,-0.756130966652
ACH-000009,-0.639213815395
ACH-000011,-0.8102967942839999
ACH-000012,-0.880268565629
ACH-000013,-0.983737697087
ACH-000014,-0.8450576286560001
ACH-000015,-1.16709194234
ACH-000017,-0.5978688847779999
ACH-000018,-0.515748645953
ACH-000019,-0.975108138434
ACH-000021,-1.02456808158
ACH-000022,-0.877853293178
ACH-000025,-0.5745077687569999
ACH-000028,-0.7762378975220001
ACH-000030,-1.14589136347
ACH-000035,-0.910439253817
ACH-000036,-0.131030548399
ACH-000037,-0.464991992096
ACH-000039,-0.721233336697
ACH-000040,-0.274798701727
ACH-000041,-0.994020866082
ACH-000042,-0.7029809368459999
ACH-000045,-0.456091904433
ACH-000047,-0.683683025527
ACH-000052,-0.820016686901
ACH-000053,-0.9483542351090001
ACH-000054,-0.9747333651100001
ACH-000055,-0.71407441244
ACH-000060,-0.723718922808
ACH-000067,-0.6198353443819999
ACH-000070,-0.973363814598
ACH-000075,-0.49111641225599995
ACH-000078,-0.648972409288
ACH-000082,-0.32881749544
ACH-000085,-0.7780060848520001
ACH-000086,-0.68294010656
ACH-000087,-0.9777711541609999
ACH-000092,-0.669571736203
ACH-000095,-0.49142510958
ACH-000097,-0.638892616872
ACH-000098,-0.768541150449
ACH-000099,-0.6931661932240001
ACH-000108,-0.871703558025
ACH-000113,-0.6806902403890001
ACH-000115,-0.31947520627799997
ACH-000116,-0.72820424738
ACH-000118,-1.0474028500399999
ACH-000120,-0.7005699011130001
ACH-000123,-0.698394889291
ACH-000127,-0.885124130377
ACH-000128,-0.730283871949
ACH-000132,-0.7512673696369999
ACH-000133,-0.641243231926
ACH-000137,-0.658301923068
ACH-000138,-0.899506401426
ACH-000142,-0.38719271154600005
ACH-000143,-0.7057624017990001
ACH-000146,-1.12569467037
ACH-000148,-0.500881806882
ACH-000150,-0.8510854339659999
ACH-000152,-0.39995405961400005
ACH-000153,-0.905684901858
ACH-000159,-0.6701458746069999
ACH-000160,-1.5898232519799997
ACH-000163,-0.370853585206
ACH-000167,-0.704490245636
ACH-000168,-0.7487993744600001
ACH-000169,-0.577427423269
ACH-000178,-0.72591167784
ACH-000182,-1.10093492481
ACH-000183,-0.9735456160320001
ACH-000188,-0.531307231459
ACH-000189,-0.143129018936
ACH-000190,-0.7506938087080001
ACH-000198,-0.605620221331
ACH-000204,-0.704149143541
ACH-000206,-0.762579287862
ACH-000207,-0.563160907476
ACH-000211,-0.636031609845
ACH-000215,-0.685129669048
ACH-000221,-1.12818697975
ACH-000222,-0.845913460371
