,U2AF2 (11338)
ACH-000004,-1.66812890088
ACH-000007,-1.07286707207
ACH-000009,-1.3426649887600002
ACH-000011,-1.4584961757600001
ACH-000012,-1.6159913864700002
ACH-000013,-1.67153229783
ACH-000014,-1.22259046954
ACH-000015,-1.5679696446899998
ACH-000017,-1.2760573623
ACH-000018,-1.4494803666299998
ACH-000019,-1.3699184581900001
ACH-000021,-1.32296312748
ACH-000022,-1.5104492919299999
ACH-000025,-1.33728117838
ACH-000028,-1.272044771
ACH-000030,-1.4529816013999999
ACH-000035,-1.1665063782
ACH-000036,-1.25138273657
ACH-000037,-1.84742200747
ACH-000039,-1.39187188628
ACH-000040,-1.41297700825
ACH-000041,-1.41434377878
ACH-000042,-1.46641478769
ACH-000045,-1.59003400592
ACH-000047,-1.22569661513
ACH-000052,-1.16050017394
ACH-000053,-1.4571035629
ACH-000054,-1.41417900935
ACH-000055,-1.19066039201
ACH-000060,-1.25357748096
ACH-000067,-1.41967768498
ACH-000070,-1.3926313061700002
ACH-000075,-1.30918870744
ACH-000078,-1.5725433046000001
ACH-000082,-1.60869159729
ACH-000085,-1.36722733622
ACH-000086,-1.22021417789
ACH-000087,-1.29413156943
ACH-000092,-1.42562547234
ACH-000095,-1.45934635361
ACH-000097,-1.44200355655
ACH-000098,-1.21736451835
ACH-000099,-1.54055993563
ACH-000108,-1.33777308767
ACH-000113,-1.48204999145
ACH-000115,-1.8120525557499998
ACH-000116,-1.35905703984
ACH-000118,-1.21644520395
ACH-000120,-1.33961926108
ACH-000123,-1.26863799162
ACH-000127,-1.3559063310600001
ACH-000128,-1.27837352854
ACH-000132,-1.3455628373
ACH-000133,-1.4683428272499999
ACH-000137,-1.15743465008
ACH-000138,-1.4271671963299999
ACH-000142,-1.41759898916
ACH-000143,-1.21847237234
ACH-000146,-1.6703826386899998
ACH-000148,-1.22573925125
ACH-000150,-1.26738592521
ACH-000152,-1.25403334529
ACH-000153,-1.24153623726
ACH-000159,-1.4139860853200001
ACH-000160,-1.1475133074500001
ACH-000163,-1.38986944709
ACH-000167,-1.29976824424
ACH-000168,-1.20661871134
ACH-000169,-1.50824379007
ACH-000178,-1.3556589409399997
ACH-000182,-1.2701783933700002
ACH-000183,-1.6211153988
ACH-000188,-1.50628614973
ACH-000189,-1.5349328393900001
ACH-000190,-0.936579507013
ACH-000198,-1.5894052307100002
ACH-000204,-1.7484982508000002
ACH-000206,-1.5009337155000002
ACH-000207,-2.21434114313
ACH-000211,-1.31939843481
ACH-000215,-1.385413206
ACH-000221,-1.46067285104
ACH-000222,-1.66347494342
ACH-000223,-1.1977522878
ACH-000226,-1.4273737202799999
ACH-000227,-1.5139344717299998
ACH-000228,-1.20560664495
ACH-000231,-1.17989880389
ACH-000232,-1.3679478899700002
ACH-000233,-1.53629817849
ACH-000234,-1.5996129829299999
ACH-000235,-1.4278128592700001
ACH-000237,-1.44352073962
