,SNAPIN (23557)
ACH-000004,-0.259020311573
ACH-000007,-0.227360860165
ACH-000009,-0.492146607007
ACH-000011,-0.11347771043400001
ACH-000012,-0.06234670748380001
ACH-000013,-0.231816065627
ACH-000014,-0.125229915277
ACH-000015,-0.302096455366
ACH-000017,-0.511741472732
ACH-000018,0.101857623742
ACH-000019,-0.168443317124
ACH-000021,-0.17763218013700002
ACH-000022,-0.147889464605
ACH-000025,-0.158054030417
ACH-000028,-0.14739552059
ACH-000030,-0.19251756975099998
ACH-000035,-0.17265244456
ACH-000036,-0.299966938743
ACH-000037,-0.22289642653299999
ACH-000039,-0.147918131376
ACH-000040,0.06620316360619999
ACH-000041,-0.2340800832
ACH-000042,-0.174790889256
ACH-000045,-0.09100582767550001
ACH-000047,0.0226557992282
ACH-000052,-0.203922888994
ACH-000053,-0.26728442696
ACH-000054,-0.24695785125300002
ACH-000055,-0.207153267139
ACH-000060,-0.22383147326299999
ACH-000067,-0.09243498726569999
ACH-000070,-0.24827536501800002
ACH-000075,-0.28327382463899997
ACH-000078,-0.26603306304200003
ACH-000082,-0.255523534205
ACH-000085,-0.311726129706
ACH-000086,-0.326217681472
ACH-000087,-0.11981348355999999
ACH-000092,-0.359836752562
ACH-000095,-0.0712296911588
ACH-000097,-0.145401757661
ACH-000098,0.142739938563
ACH-000099,-0.11043298452299999
ACH-000108,-0.244282598756
ACH-000113,-0.411651389167
ACH-000115,-0.068855382787
ACH-000116,-0.0818183677767
ACH-000118,-0.266531306877
ACH-000120,-0.331819602697
ACH-000123,-0.195172978256
ACH-000127,-0.356491879194
ACH-000128,-0.123181768418
ACH-000132,-0.21843030178199999
ACH-000133,-0.306227276803
ACH-000137,-0.522351450278
ACH-000138,-0.271377704465
ACH-000142,-0.44368141545100004
ACH-000143,-0.288774268481
ACH-000146,-0.240005014551
ACH-000148,-0.136089887448
ACH-000150,-0.11890789214500001
ACH-000152,0.017839922088099997
ACH-000153,-0.432109445603
ACH-000159,-0.227353653991
ACH-000160,-0.0658757969864
ACH-000163,-0.415264188211
ACH-000167,-0.284688590025
ACH-000168,-0.447299092851
ACH-000169,-0.33712350615000003
ACH-000178,-0.41243247343500006
ACH-000182,-0.24504852329
ACH-000183,-0.368983740716
ACH-000188,-0.364304405813
ACH-000189,-0.715908781219
ACH-000190,-0.0023074327074699996
ACH-000198,-0.22958928068000004
ACH-000204,-0.403395635328
ACH-000206,0.123233171645
ACH-000207,-0.407833074926
ACH-000211,-0.208454923151
ACH-000215,-0.200513134056
ACH-000221,-0.18596874217999998
ACH-000222,-0.31249891758299997
ACH-000223,-0.09341431458669999
ACH-000226,-0.199385363633
ACH-000227,0.07884804898360001
ACH-000228,-0.19155026510200002
ACH-000231,-0.237955306792
ACH-000232,-0.175262615701
ACH-000233,-0.047629646046299996
ACH-000234,-0.284772198307
ACH-000235,-0.31439287184
ACH-000237,-0.197958842062
ACH-000238,-0.191216572797
ACH-000243,-0.394617468578
ACH-000244,-0.418652472439
ACH-000246,-0.105510692154
ACH-000248,-0.24848349945599998
ACH-000250,-0.151001001766
ACH-000251,-0.281711766223
ACH-000253,-0.13261922551799998
ACH-000255,-0.217445087615
ACH-000256,-0.301876262147
ACH-000257,-0.130173078306
ACH-000258,-0.038183991022
ACH-000259,-0.23003855374899998
ACH-000260,-0.3833315912
ACH-000261,-0.207200301525
ACH-000262,-0.162222843429
ACH-000263,-0.0326728874975
ACH-000264,-0.333186989444
ACH-000265,-0.174762893901
ACH-000266,-0.18545960074700002
ACH-000272,-0.48022705207500005
ACH-000273,-0.264749765698
ACH-000274,0.142857032665
ACH-000277,-0.386688750119
ACH-000278,-0.050951748399
ACH-000279,-0.124927859214
ACH-000280,-0.348279857673
ACH-000281,-0.240146659493
ACH-000288,-0.158801464097
ACH-000291,-0.23209181846500002
ACH-000293,-0.13905317324799998
ACH-000294,-0.525382598726
ACH-000295,-0.502062177972
ACH-000296,-0.483986967765
ACH-000302,0.0239716368189
ACH-000304,-0.489430024141
ACH-000307,-0.193419978329
ACH-000308,-0.275214326904
ACH-000310,-0.306649065755
ACH-000311,-0.118121529958
ACH-000312,-0.17646954962
ACH-000315,-0.210179926375
ACH-000316,-0.0430250164743
ACH-000317,0.0887167574827
ACH-000318,-0.323703828499
ACH-000319,-0.29359325204500003
ACH-000320,-0.184358186941
ACH-000322,-0.10722223695699999
ACH-000323,-0.060917914877000004
ACH-000324,-0.0679141779922
ACH-000329,-0.100622840534
ACH-000330,-0.178766204921
ACH-000331,-0.268663137461
ACH-000332,-0.116393540328
ACH-000334,-0.356191206545
ACH-000335,-0.102151236481
ACH-000336,-0.694193882164
ACH-000337,-0.5121163686300001
ACH-000339,-0.090451577514
ACH-000341,-0.33579862931800003
ACH-000348,-0.164045971254
ACH-000350,-0.0765385999378
ACH-000352,-0.22923096511
ACH-000356,-0.264179021782
ACH-000361,-0.248930893678
ACH-000362,-0.102216134771
ACH-000363,-0.1665106535
ACH-000364,-0.374028992612
ACH-000365,-0.17521642307100002
ACH-000366,-0.24017194475200002
ACH-000368,0.08664660560969999
ACH-000374,-0.348911647983
ACH-000375,-0.405119191865
ACH-000376,-0.0315152237794
ACH-000381,-0.32793078674000004
ACH-000383,-0.429829373129
ACH-000387,-0.155097884195
ACH-000389,0.0701350988237
ACH-000390,-0.347955500946
ACH-000393,0.028638808967400002
ACH-000395,-0.23437194076200002
ACH-000397,-0.320509117602
ACH-000401,-0.155681885454
ACH-000402,0.09537383759019999
ACH-000403,-0.0582970442672
ACH-000404,-0.734534974469
ACH-000406,-0.198793894964
ACH-000407,-0.508494955495
ACH-000408,-0.18223029342
ACH-000410,-0.430290527959
ACH-000411,-0.21673798746999998
ACH-000414,-0.125465131102
ACH-000415,-0.192689672297
ACH-000416,-0.260336023405
ACH-000420,-0.261685368729
ACH-000421,-0.221118405227
ACH-000424,0.0666730889702
ACH-000425,-0.22906738609000002
ACH-000426,-0.286982711252
ACH-000427,-0.08829546508
ACH-000433,-0.47519286605899996
ACH-000436,-0.44514354690499996
ACH-000444,-0.25296987354899997
ACH-000445,-0.0364433267979
ACH-000448,-0.242517712581
ACH-000450,-0.26073114146
ACH-000452,0.0130665525199
ACH-000454,-0.351814327976
ACH-000458,-0.20059673007
ACH-000459,-0.0674860131914
ACH-000460,-0.267537013792
ACH-000461,-0.346499734481
ACH-000463,-0.232677769786
ACH-000464,-0.49439521780199996
ACH-000466,-0.158536932482
ACH-000467,-0.13115339997300002
ACH-000468,-0.19982479159400002
ACH-000469,-0.0270010366877
ACH-000470,-0.572049852125
ACH-000471,-0.189895532599
ACH-000472,-0.146762703936
ACH-000473,-0.31008016640999997
ACH-000475,-0.239742419261
ACH-000476,-0.160576166833
ACH-000477,-0.0323498633638
ACH-000480,-0.179060941429
ACH-000481,-0.269745566526
ACH-000483,-0.25709241821199996
ACH-000484,-0.49082409740099997
ACH-000485,-0.422412859103
ACH-000486,-0.0648333476122
ACH-000487,-0.221104664437
ACH-000488,-0.08914205542169999
ACH-000490,-0.266158782119
ACH-000491,-0.09345649566299999
ACH-000495,-0.331354666532
ACH-000496,-0.28854999993
ACH-000499,-0.15542018816199998
ACH-000500,-0.026136228810000002
ACH-000502,-0.059690639136800006
ACH-000503,0.282278128878
ACH-000505,-0.318654955432
ACH-000507,-0.18970990622
ACH-000510,-0.471144831646
ACH-000511,-0.149856548542
ACH-000512,-0.281927192547
ACH-000516,-0.123180289746
ACH-000517,-0.296215722743
ACH-000518,-0.164679622361
ACH-000520,-0.21859610976100002
ACH-000521,-0.281204503592
ACH-000522,-0.25496313503199997
ACH-000524,-0.206949870521
ACH-000527,-0.253029607088
ACH-000528,-0.161589713788
ACH-000537,-0.285975962918
ACH-000541,-0.255004759423
ACH-000542,-0.265728956339
ACH-000544,-0.24607296140999999
ACH-000545,-0.39064389196500005
ACH-000547,-0.251904283706
ACH-000548,-0.253001713013
ACH-000549,-0.29446027626800003
ACH-000550,-0.0355209998662
ACH-000552,-0.339558558304
ACH-000556,-0.23044849252099997
ACH-000557,-0.238349406419
ACH-000570,0.24632435290600002
ACH-000571,-0.295639298657
ACH-000573,-0.271412856206
ACH-000576,-0.0271703446748
ACH-000580,-0.209501166152
ACH-000584,-0.229826485808
ACH-000585,-0.247735307225
ACH-000588,-0.521789189369
ACH-000589,-0.16851373126299998
ACH-000591,0.11595941863
ACH-000593,-0.439001136991
ACH-000600,-0.206623921865
ACH-000601,-0.07643111653130001
ACH-000604,-0.19754754683400003
