,RHEB (6009)
ACH-000004,-0.266939189797
ACH-000007,-0.33689077343900004
ACH-000009,-0.451794515261
ACH-000011,-0.558217376473
ACH-000012,-0.4167433296
ACH-000013,-0.574309336254
ACH-000014,-0.500875767849
ACH-000015,-0.41963569739900003
ACH-000017,-0.497168793924
ACH-000018,-0.52310818686
ACH-000019,-0.39837275904299996
ACH-000021,-0.74428763021
ACH-000022,-0.247462175228
ACH-000025,-0.522762580146
ACH-000028,-0.35363417474299996
ACH-000030,-0.611488852323
ACH-000035,-0.6003305196540001
ACH-000036,-0.544524654862
ACH-000037,-0.58361823703
ACH-000039,-0.44092807260399997
ACH-000040,-1.0072846077700002
ACH-000041,-0.677437715378
ACH-000042,-0.296267167569
ACH-000045,-0.722889101926
ACH-000047,-0.478566868916
ACH-000052,-0.456392519346
ACH-000053,-0.154481289461
ACH-000054,-0.40250825534
ACH-000055,-0.327257202688
ACH-000060,-1.01951097924
ACH-000067,-0.584115153915
ACH-000070,-0.448447669254
ACH-000075,-0.464830105404
ACH-000078,-0.382223408849
ACH-000082,-0.903437075676
ACH-000085,-0.44194971779700004
ACH-000086,-0.793185725572
ACH-000087,-0.566700008225
ACH-000092,-0.629859439754
ACH-000095,-0.479377673424
ACH-000097,-0.789876767497
ACH-000098,-0.874935984233
ACH-000099,-0.546912813342
ACH-000108,-0.570869318808
ACH-000113,-0.475274645194
ACH-000115,-0.405039110119
ACH-000116,-0.449545800545
ACH-000118,-0.29023831530099997
ACH-000120,-0.257169610344
ACH-000123,-0.652262808825
ACH-000127,-0.238279865154
ACH-000128,-0.264155959901
ACH-000132,-0.739788210289
ACH-000133,-0.351173334083
ACH-000137,-0.296342174389
ACH-000138,-0.545878161481
ACH-000142,-0.591762819738
ACH-000143,-0.6116392055919999
ACH-000146,-0.450031996496
ACH-000148,-0.515826584469
ACH-000150,-0.571872732451
ACH-000152,-0.33439429215
ACH-000153,-0.559747335561
ACH-000159,-0.580002213085
ACH-000160,-0.405484653059
ACH-000163,-0.486010542443
ACH-000167,-0.497355731369
ACH-000168,-0.622613649458
ACH-000169,-0.356257533037
ACH-000178,-0.586422600329
ACH-000182,-0.13060053436
ACH-000183,-0.291876970453
ACH-000188,-0.33589122151199996
ACH-000189,-0.911691616051
ACH-000190,-0.601119519055
ACH-000198,-0.582696015519
ACH-000204,-0.54462431691
ACH-000206,-0.378461209624
ACH-000207,-0.7010827759430001
ACH-000211,-0.345412353433
ACH-000215,-0.662639589327
ACH-000221,-0.619702777391
ACH-000222,-0.35774264031499997
ACH-000223,-0.41303766690899996
ACH-000226,-0.15154774657199999
ACH-000227,-0.602023437925
ACH-000228,-0.779026744578
ACH-000231,-0.787579865396
ACH-000232,-0.731861154653
ACH-000233,0.09019257659569999
ACH-000234,-0.421978769691
ACH-000235,-0.6751713253139999
ACH-000237,-0.39709827794
ACH-000238,-0.559177875123
ACH-000243,-0.483149145567
ACH-000244,-0.9518896948200001
ACH-000246,-0.46183317569
ACH-000248,-0.519761562718
ACH-000250,-0.5235265472739999
ACH-000251,-0.507299554935
ACH-000253,-0.494219536339
ACH-000255,-0.6756523742910001
ACH-000256,-0.325648379983
ACH-000257,-0.224208832874
ACH-000258,-0.630923093259
ACH-000259,-0.434041076387
ACH-000260,-0.499399493407
ACH-000261,-0.663327671063
ACH-000262,-0.373440751366
ACH-000263,-0.644437831284
ACH-000264,-0.484901607999
ACH-000265,-0.40980386318400003
ACH-000266,-0.636675054929
ACH-000272,-0.9044952461210001
ACH-000273,-0.553150680074
ACH-000274,-0.416068597153
ACH-000277,-0.5163373085040001
ACH-000278,-0.331284443995
ACH-000279,-0.6345070577
ACH-000280,-0.671447172643
ACH-000281,-0.6914456709479999
ACH-000288,-0.540502108344
ACH-000291,-0.500673137233
ACH-000293,-0.34132604089699997
ACH-000294,-0.0265586785721
ACH-000295,-0.496434575791
ACH-000296,-0.308026573995
ACH-000302,-0.549662140938
ACH-000304,-0.403281094318
ACH-000307,-0.425742683866
ACH-000308,-0.453361147484
ACH-000310,-0.866876886918
ACH-000311,-0.668990875613
ACH-000312,-0.417960724088
ACH-000315,-0.255663385789
ACH-000316,-0.7329875013789999
