,OLFML2A (169611)
ACH-000004,-0.607447754607
ACH-000007,-0.39283253676299995
ACH-000009,-0.28822986157900005
ACH-000011,-0.169887318286
ACH-000012,-0.07600997099910001
ACH-000013,-0.263040879778
ACH-000014,-0.22548037297600002
ACH-000015,-0.126288325855
ACH-000017,-0.102201930873
ACH-000018,0.0292485851387
ACH-000019,-0.294617795502
ACH-000021,-0.326821400853
ACH-000022,-0.231369861349
ACH-000025,-0.19055606051899998
ACH-000028,-0.154399995421
ACH-000030,-0.187708766574
ACH-000035,-0.0691102114035
ACH-000036,-0.22096265149500002
ACH-000037,-0.233937358321
ACH-000039,-0.163518557368
ACH-000040,-0.440025410404
ACH-000041,-0.20975866722199998
ACH-000042,-0.166925118505
ACH-000045,-0.535990172901
ACH-000047,-0.16478562172
ACH-000052,-0.0157781625568
ACH-000053,-0.08496879782889999
ACH-000054,-0.323606769334
ACH-000055,-0.188729943598
ACH-000060,-0.274908689173
ACH-000067,-0.266140543967
ACH-000070,0.0162795718227
ACH-000075,-0.51213242982
ACH-000078,-0.173402225275
ACH-000082,-0.172442996369
ACH-000085,-0.28130142846
ACH-000086,-0.170024535638
ACH-000087,-0.603208307837
ACH-000092,-0.222351614575
ACH-000095,-0.377153902561
ACH-000097,-0.25259304944
ACH-000098,-0.0314751910667
ACH-000099,-0.173947761302
ACH-000108,-0.18644551189199998
ACH-000113,-0.11573197185699999
ACH-000115,-0.255714116142
ACH-000116,-0.284045709634
ACH-000118,-0.29893369112199997
ACH-000120,0.0445935288458
ACH-000123,-0.137491129379
ACH-000127,-0.325159038316
ACH-000128,-0.416026694599
ACH-000132,-0.262983446917
ACH-000133,-0.406551112989
ACH-000137,-0.255459109385
ACH-000138,-0.196710903142
ACH-000142,-0.0418580494738
ACH-000143,-0.44127567764
ACH-000146,-0.193081658853
ACH-000148,-0.228381588646
ACH-000150,-0.269786374346
ACH-000152,-0.238448202809
ACH-000153,-0.23444409330200003
ACH-000159,-0.217201445992
ACH-000160,-0.261343127963
ACH-000163,-0.44667522866099996
ACH-000167,-0.267278135038
ACH-000168,-0.28434629780000004
ACH-000169,-0.231824259397
ACH-000178,-0.326783145145
ACH-000182,-0.22593268356999996
ACH-000183,-0.19065053392499998
ACH-000188,-0.212946878735
ACH-000189,-0.131068386042
ACH-000190,-0.0445075468518
ACH-000198,-0.167525897426
ACH-000204,-0.370124860558
ACH-000206,-0.000754635462155
ACH-000207,-0.00704013428737
ACH-000211,-0.361210239521
ACH-000215,-0.268670242771
ACH-000221,-0.0132539950667
ACH-000222,-0.366245289239
ACH-000223,-0.14661754938899998
ACH-000226,-0.310451297055
ACH-000227,-0.17777239577
ACH-000228,-0.16587589643
ACH-000231,-0.116573330901
ACH-000232,-0.31364919103
ACH-000233,0.0162033357924
ACH-000234,-0.273429001332
ACH-000235,-0.248229258981
ACH-000237,-0.11656916188699999
ACH-000238,-0.39059831509099996
ACH-000243,-0.125009703532
ACH-000244,-0.166925121875
ACH-000246,-0.321059800869
ACH-000248,-0.107550510745
ACH-000250,-0.193802894563
ACH-000251,0.0312255879289
ACH-000253,-0.252512118811
ACH-000255,-0.377040426717
ACH-000256,-0.20094155412999998
ACH-000257,-0.446143146562
ACH-000258,-0.275465822727
ACH-000259,-0.323681909875
ACH-000260,-0.260449030418
ACH-000261,-0.237012737593
ACH-000262,-0.158203495346
ACH-000263,-0.255529478739
ACH-000264,-0.24920163187600003
ACH-000265,-0.178769863539
ACH-000266,-0.19756157985999998
ACH-000272,-0.20263490952399998
ACH-000273,-0.0910498165408
ACH-000274,-0.326185728148
ACH-000277,-0.21890353422400002
ACH-000278,-0.13842629169
ACH-000279,-0.124398044055
ACH-000280,-0.190483868521
ACH-000281,-0.164995284328
ACH-000288,-0.00850713383668
ACH-000291,-0.236383983191
ACH-000293,-0.279172884971
ACH-000294,-0.25443959223
ACH-000295,-0.115446212545
ACH-000296,-0.212015707039
ACH-000302,-0.22412420324700003
ACH-000304,0.00749298801678
ACH-000307,-0.20074893694600002
ACH-000308,-0.23067945852400001
ACH-000310,-0.118922261623
ACH-000311,0.09438705981130001
ACH-000312,-0.172958920667
ACH-000315,-0.143040481297
ACH-000316,-0.285872229693
ACH-000317,-0.110724847528
ACH-000318,-0.05484011435430001
ACH-000319,-0.27517331579
ACH-000320,-0.129445312151
