,STX1A (6804)
ACH-000004,-0.10303776191500001
ACH-000007,0.309064974614
ACH-000009,0.16951366645100002
ACH-000011,0.18859792421100002
ACH-000012,0.0820289435105
ACH-000013,-0.0403333537884
ACH-000014,-0.0175596304235
ACH-000015,0.049757197303599995
ACH-000017,0.10964469595899999
ACH-000018,0.0772923427381
ACH-000019,-0.0107845891839
ACH-000021,-0.0857786838191
ACH-000022,0.09619156802210001
ACH-000025,-0.0476820234751
ACH-000028,0.0706491891274
ACH-000030,0.0763870638647
ACH-000035,0.126986313092
ACH-000036,0.0581219495804
ACH-000037,0.029427423168900003
ACH-000039,-0.19985727553399998
ACH-000040,-0.0175445740436
ACH-000041,0.00614476281147
ACH-000042,0.0916255273155
ACH-000045,-0.0621676902931
ACH-000047,0.0796162135094
ACH-000052,0.07284080974
ACH-000053,0.0109938546031
ACH-000054,0.179969014285
ACH-000055,0.029715673356099998
ACH-000060,-0.06887711902339999
ACH-000067,-0.25315744977800003
ACH-000070,-0.0165792605198
ACH-000075,0.0842444082006
ACH-000078,-0.08247888232589999
ACH-000082,0.15592960633199998
ACH-000085,-0.0356529284915
ACH-000086,0.231897545571
ACH-000087,0.129784456616
ACH-000092,-0.120446195154
ACH-000095,0.026232839952700003
ACH-000097,-0.011887592732799998
ACH-000098,0.018613626859
ACH-000099,0.00997516373989
ACH-000108,0.188235880683
ACH-000113,0.0845107468905
ACH-000115,0.033760754160599996
ACH-000116,0.119051852955
ACH-000118,0.103094422841
ACH-000120,0.300703908382
ACH-000123,-0.0052407313497200006
ACH-000127,-0.0584785898845
ACH-000128,0.0887465253115
ACH-000132,0.113893318005
ACH-000133,-0.038755096559599994
ACH-000137,-0.0874802078438
ACH-000138,0.135298870077
ACH-000142,-0.0028631628381
ACH-000143,-0.0510556487141
ACH-000146,-0.044127314963499996
ACH-000148,-0.0397803966563
ACH-000150,-0.0380235645067
ACH-000152,0.0863476334104
ACH-000153,-0.0166272987989
ACH-000159,0.128923109934
ACH-000160,0.0341502128604
ACH-000163,0.05874230690980001
ACH-000167,-0.027530574000200002
ACH-000168,-0.244391567582
ACH-000169,0.0107364147477
ACH-000178,0.185037569596
ACH-000182,0.127431632074
ACH-000183,0.048774262533099993
ACH-000188,0.0875151854128
ACH-000189,-0.300769425966
ACH-000190,0.10610697249600001
ACH-000198,0.035679063967699993
ACH-000204,0.190125029726
ACH-000206,0.109883795264
ACH-000207,0.17762678730700002
ACH-000211,0.0196874116814
ACH-000215,0.08604408782980001
ACH-000221,-0.05730874864990001
ACH-000222,-0.057062687714099995
ACH-000223,0.139194742676
ACH-000226,0.09807851797839999
ACH-000227,0.196498796915
ACH-000228,0.10121503891200001
ACH-000231,-0.014968666747600001
ACH-000232,-0.00702255501038
ACH-000233,0.131185708034
ACH-000234,0.0508442893827
ACH-000235,0.0342148053486
ACH-000237,-0.00218007952132
ACH-000238,0.05735666027919999
ACH-000243,0.13006422993300001
ACH-000244,0.26116974386999997
ACH-000246,0.167849643988
ACH-000248,0.249234707147
ACH-000250,0.0181014846887
ACH-000251,0.363166242078
ACH-000253,0.062270687645199996
ACH-000255,-0.00547550934654
ACH-000256,0.04265832871780001
ACH-000257,0.147835144767
ACH-000258,-0.00275252265044
ACH-000259,0.00823437238581
ACH-000260,0.0775428338912
ACH-000261,0.04941908823630001
ACH-000262,0.12978601419299998
ACH-000263,-0.0761564088926
ACH-000264,0.00434106584837
ACH-000265,0.163965348083
ACH-000266,0.0748580116351
ACH-000272,0.0786082333208
ACH-000273,-0.00165568163421
ACH-000274,0.0390277405695
ACH-000277,0.130463399941
ACH-000278,0.026468614752599998
ACH-000279,0.07400588062869999
ACH-000280,-0.08182777881589999
ACH-000281,0.293116865559
ACH-000288,-0.0877550244987
ACH-000291,0.105216080833
ACH-000293,0.100930571394
ACH-000294,0.0317131724814
ACH-000295,-0.155270769058
ACH-000296,-0.042001980405400006
ACH-000302,-0.0350344700685
ACH-000304,0.621087504444
ACH-000307,0.050557320007
