,EDN2 (1907)
ACH-000004,-0.0908614116308
ACH-000007,-0.106075529465
ACH-000009,-0.04985804023109999
ACH-000011,0.011507457539
ACH-000012,-0.00771597962499
ACH-000013,-0.0632600711642
ACH-000014,-0.182208557379
ACH-000015,-0.0612471657264
ACH-000017,-0.0418063978144
ACH-000018,0.150524082059
ACH-000019,-0.032671304889599996
ACH-000021,0.08088019113560001
ACH-000022,-0.0175368449413
ACH-000025,0.045476739173600005
ACH-000028,-0.0230354572712
ACH-000030,0.0731386658189
ACH-000035,-0.060518351196800005
ACH-000036,-0.238842600953
ACH-000037,-0.0841222874226
ACH-000039,-0.0204812169503
ACH-000040,-0.116845069403
ACH-000041,-0.127606385607
ACH-000042,0.248452795968
ACH-000045,-0.0753712757538
ACH-000047,-0.061891457386800006
ACH-000052,0.0747600281991
ACH-000053,-0.124751218826
ACH-000054,0.00209557507442
ACH-000055,0.103198507415
ACH-000060,-0.11977007314600001
ACH-000067,-0.208382907339
ACH-000070,0.128940469879
ACH-000075,-0.0160046095085
ACH-000078,-0.175406449307
ACH-000082,0.0158006188628
ACH-000085,-0.136039628005
ACH-000086,-0.028035401310700002
ACH-000087,0.09056894310869999
ACH-000092,-0.184644359091
ACH-000095,0.0310213120579
ACH-000097,0.0767003711106
ACH-000098,-0.05518716701169999
ACH-000099,-0.0654974679593
ACH-000108,0.12855979630699998
ACH-000113,0.0404997074199
ACH-000115,-0.11160978340700001
ACH-000116,-0.004600792955979999
ACH-000118,0.06427596683509999
ACH-000120,0.0329606938673
ACH-000123,-0.100943102837
ACH-000127,-0.0256231663604
ACH-000128,-0.375603921531
ACH-000132,-0.0380232472921
ACH-000133,-0.07224479769839999
ACH-000137,-0.18974644624
ACH-000138,-0.0045956284797399995
ACH-000142,-0.135902924666
ACH-000143,-0.157321336656
ACH-000146,-0.44452355505
ACH-000148,-0.0786944779319
ACH-000150,-0.0648783210561
ACH-000152,-0.181656933575
ACH-000153,0.119486409267
ACH-000159,-0.044939562237
ACH-000160,0.0435727655872
ACH-000163,-0.0677375625187
ACH-000167,-0.183966993475
ACH-000168,-0.260698948567
ACH-000169,-0.0165232856422
ACH-000178,0.06255746408919999
ACH-000182,-0.0054947497689300006
ACH-000183,-0.134316718458
ACH-000188,-0.0611463969585
ACH-000189,0.36619370689900005
ACH-000190,-0.0600539287635
ACH-000198,0.021282007160799997
ACH-000204,0.0691619429973
ACH-000206,-0.0739311444202
ACH-000207,-0.173606793407
ACH-000211,0.045613607324
ACH-000215,-0.0481173677485
ACH-000221,-0.0290288932174
ACH-000222,-0.13395615111300002
ACH-000223,0.139278782124
ACH-000226,-0.0684999124664
ACH-000227,-0.0265567440747
ACH-000228,0.192733046073
ACH-000231,-0.0223915615842
ACH-000232,-0.00951789368256
ACH-000233,-0.023773012163299998
ACH-000234,0.0122390515514
ACH-000235,0.008306398951850001
ACH-000237,-0.0544007335695
ACH-000238,-0.104524295043
ACH-000243,0.036120204718199996
ACH-000244,0.0837234780413
ACH-000246,0.0189083236101
ACH-000248,0.11980945567
ACH-000250,-0.122755091954
ACH-000251,0.267025838385
ACH-000253,-0.0948298302045
ACH-000255,-0.118331131368
ACH-000256,0.0774570996005
ACH-000257,-0.432838434544
ACH-000258,0.0101061103761
ACH-000259,-0.0104195655255
ACH-000260,-0.15051077225099999
ACH-000261,-0.10841257955999999
ACH-000262,-0.0955924678425
ACH-000263,-0.079875433085
ACH-000264,-0.0541429523225
ACH-000265,-0.0296712173686
ACH-000266,0.08206109827880001
ACH-000272,-0.08286743055589998
ACH-000273,-0.195072388484
ACH-000274,-0.0672748738656
ACH-000277,0.112842859871
ACH-000278,-0.0980508542153
ACH-000279,-0.030198500298999998
ACH-000280,-0.011277596210399999
ACH-000281,0.260279237602
ACH-000288,-0.150566019716
ACH-000291,-0.137929513321
ACH-000293,-0.029667700433799998
ACH-000294,-0.218967519499
ACH-000295,-0.18436776056499998
ACH-000296,-0.12019081992000001
ACH-000302,-0.0331768884975
ACH-000304,0.319649262268
ACH-000307,0.108568631482
ACH-000308,0.0496060044474
ACH-000310,-0.203986220743
ACH-000311,0.0595522499248
ACH-000312,-0.11503162335000001
ACH-000315,-0.0757085750113
ACH-000316,-0.0848452789251
ACH-000317,0.0477304514621
ACH-000318,-0.0988105857955
ACH-000319,0.0794171303496
ACH-000320,0.0496435518658
ACH-000322,0.223988376111
ACH-000323,-0.0707643905787
ACH-000324,-0.046253787487
ACH-000329,-0.07355032362780001
ACH-000330,0.00938116606275
ACH-000331,-0.0112541075538
ACH-000332,0.0624393882862
ACH-000334,-0.144673046161
ACH-000335,-0.0182604922484
ACH-000336,0.202972870069
ACH-000337,-0.0835213651795
ACH-000339,0.0674341869296
ACH-000341,-0.22932344674400001
ACH-000348,0.0880969932185
ACH-000350,0.170404790422
ACH-000352,-0.104216746762
ACH-000356,-0.120729210998
ACH-000361,-0.12992829516100002
ACH-000362,-0.012229420127999999
ACH-000363,0.029691279579599997
ACH-000364,-0.0456511728247
ACH-000365,-0.11088329052000001
ACH-000366,-0.141088777762
ACH-000368,-0.31870831304999997
ACH-000374,-0.13930563181800001
ACH-000375,-0.0326723615385
ACH-000376,-0.10919210253799999
ACH-000381,-0.0144767266341
ACH-000383,-0.151966713488
ACH-000387,-0.16178711724
ACH-000389,0.0226873079531
ACH-000390,-0.160657774754
ACH-000393,0.0415168042765
ACH-000395,-0.0795819167826
ACH-000397,0.0304876404294
ACH-000401,-0.135232022323
ACH-000402,-0.29807849933200004
ACH-000403,-0.0513184601798
ACH-000404,-0.165514893695
ACH-000406,-0.0765446256496
ACH-000407,-0.124652962586
ACH-000408,-0.0817945938551
ACH-000410,-0.0020902343505599997
ACH-000411,-0.08552801172930001
ACH-000414,0.0900320447479
ACH-000415,-0.0875822891339
ACH-000416,0.0607402791459
ACH-000420,0.163584973954
ACH-000421,0.0739656962665
ACH-000424,-0.0567749548939
ACH-000425,0.0877259295452
ACH-000426,-0.09525599210380001
ACH-000427,0.267673934184
ACH-000433,0.21789121510899997
ACH-000436,-0.026213606767299998
ACH-000444,0.0141704504174
ACH-000445,-0.37302911089
ACH-000448,0.007539317275029999
ACH-000450,0.0611429172364
ACH-000452,0.0625812301726
ACH-000454,-0.061694841650400005
ACH-000458,-0.146362568938
ACH-000459,-0.18687820249499998
ACH-000460,-0.0671866138954
ACH-000461,-0.0366414565205
ACH-000463,0.130211721145
ACH-000464,-0.0145121152281
ACH-000466,0.0709744430426
ACH-000467,0.00256952214261
ACH-000468,0.061644478891400005
ACH-000469,-0.0519038512383
ACH-000470,-0.0555716032164
ACH-000471,-0.16808359442200002
ACH-000472,-0.030525693604599998
ACH-000473,-0.0972043850837
ACH-000475,-0.050539358168
ACH-000476,-0.0772016451604
ACH-000477,0.10246380725
ACH-000480,-0.159823379626
ACH-000481,-0.32723872972600004
ACH-000483,0.053484707852400004
ACH-000484,0.139318528158
ACH-000485,0.108062832236
ACH-000486,0.21036420107599998
ACH-000487,-0.08469605769670001
ACH-000488,0.08906217509360001
ACH-000490,-0.10869717407400001
ACH-000491,0.0489909828515
ACH-000495,0.00851151352419
ACH-000496,-0.000931452586397
ACH-000499,-0.19883807833500003
ACH-000500,-0.093432744043
ACH-000502,0.033209801909
ACH-000503,-0.383004560009
ACH-000505,-0.08528207499299999
ACH-000507,0.014919445170899999
ACH-000510,0.0916706373931
ACH-000511,0.0138467260094
ACH-000512,-0.21354499138
ACH-000516,-0.0173088715526
ACH-000517,-0.0518081442395
ACH-000518,0.008757445858270001
ACH-000520,-0.280406633377
ACH-000521,-0.234956867445
ACH-000522,-0.091364512843
ACH-000524,-0.0715116770703
ACH-000527,0.0473830722279
ACH-000528,0.0782694825984
ACH-000537,0.105289006568
ACH-000541,0.0780435248514
ACH-000542,-0.0135095773049
ACH-000544,-0.21912068993900002
ACH-000545,-0.139771358231
ACH-000547,-0.15331921994699999
ACH-000548,-0.0265064138634
