,CRH (1392)
ACH-000004,0.18624105329399998
ACH-000007,-0.30579562587299997
ACH-000009,0.157077991321
ACH-000011,-0.059556160373599995
ACH-000012,-0.04960527868530001
ACH-000013,-0.0549772608852
ACH-000014,-0.171398796532
ACH-000015,-0.0605857775527
ACH-000017,-0.102404299772
ACH-000018,-0.400782661083
ACH-000019,-0.14528125764799998
ACH-000021,-0.0750303393326
ACH-000022,-0.284884077961
ACH-000025,-0.22021869106199998
ACH-000028,-0.167235368702
ACH-000030,-0.09287063977639999
ACH-000035,-0.15606963561599999
ACH-000036,-0.112143381879
ACH-000037,-0.0757293426753
ACH-000039,0.132851015548
ACH-000040,-0.14884598004799998
ACH-000041,-0.13281607958
ACH-000042,-0.0147433524978
ACH-000045,-0.08589419692299999
ACH-000047,-0.136496836065
ACH-000052,-0.316398697257
ACH-000053,0.0322809939705
ACH-000054,-0.17114351111499998
ACH-000055,-0.0725670617522
ACH-000060,-0.0387133644204
ACH-000067,-0.045869564821499995
ACH-000070,-0.22397413202599997
ACH-000075,-0.09516695306939998
ACH-000078,-0.0881927728246
ACH-000082,-0.213650377494
ACH-000085,-0.119878190139
ACH-000086,0.141292975351
ACH-000087,-0.220440407448
ACH-000092,-0.183411773778
ACH-000095,-0.059543129049699994
ACH-000097,-0.024930888774900004
ACH-000098,-0.16797302268599998
ACH-000099,0.018749168309
ACH-000108,-0.121927316813
ACH-000113,-0.062349775147699994
ACH-000115,-0.162511073771
ACH-000116,-0.0960631039767
ACH-000118,-0.12874899991699998
ACH-000120,0.0775449052806
ACH-000123,0.101625359604
ACH-000127,-0.0535040861627
ACH-000128,-0.060095589442
ACH-000132,-0.21698274084000002
ACH-000133,-0.11854286789599999
ACH-000137,-0.214965925947
ACH-000138,-0.16877682608300001
ACH-000142,0.0726822001011
ACH-000143,0.054465233234
ACH-000146,-0.0988460541598
ACH-000148,-0.07382424067900001
ACH-000150,-0.155973081769
ACH-000152,-0.37915022967
ACH-000153,-0.42269657454099996
ACH-000159,-0.20217481857500003
ACH-000160,-0.130062008457
ACH-000163,-0.277188611287
ACH-000167,-0.30429333035
ACH-000168,-0.257502451885
ACH-000169,-0.183156110527
ACH-000178,-0.144918784517
ACH-000182,-0.137719970927
ACH-000183,-0.325576275689
ACH-000188,-0.07919874391250001
ACH-000189,-0.0970443230357
ACH-000190,-0.156865659347
ACH-000198,-0.09544483068819999
ACH-000204,-0.356229495914
ACH-000206,0.109428709845
ACH-000207,0.115863116065
ACH-000211,-0.10059248413899999
ACH-000215,-0.00808093346598
ACH-000221,-0.03466031237390001
ACH-000222,-0.039912280386000004
ACH-000223,-0.124023792586
ACH-000226,-0.18832956199099998
ACH-000227,0.0553131514259
ACH-000228,-0.122414233939
ACH-000231,-0.10531135529300001
ACH-000232,-0.24598912557500002
ACH-000233,0.0439678889683
ACH-000234,-0.17048272946100002
ACH-000235,-0.170512780161
ACH-000237,-0.207294286093
ACH-000238,0.039676800163
ACH-000243,-0.212538723288
ACH-000244,-0.347953646018
ACH-000246,-0.105668952762
ACH-000248,-0.04562341740590001
ACH-000250,-0.14021855426
ACH-000251,-0.0394986963436
ACH-000253,-0.135636495989
ACH-000255,-0.149745741718
ACH-000256,-0.171399888369
ACH-000257,-0.041726976482
ACH-000258,-0.20288056294
ACH-000259,-0.0602964711102
ACH-000260,-0.0546944901348
ACH-000261,-0.180899343253
ACH-000262,0.214129584839
ACH-000263,-0.196599171382
ACH-000264,-0.26059113432500003
ACH-000265,-0.24903562548
ACH-000266,-0.0957980779802
ACH-000272,-0.0569057099369
ACH-000273,-0.16913312471
ACH-000274,-0.019738278088099998
ACH-000277,-0.254129027246
ACH-000278,-0.23692601970199997
ACH-000279,-0.131498049516
ACH-000280,-0.279090657559
ACH-000281,0.040240126076800005
ACH-000288,0.0833072094557
ACH-000291,-0.259553177806
ACH-000293,0.152099417577
ACH-000294,-0.236959028269
ACH-000295,0.0683159825676
ACH-000296,-0.08878589555410002
ACH-000302,-0.06398350109159999
ACH-000304,-0.272932201623
ACH-000307,-0.144600135395
ACH-000308,-0.225173764122
ACH-000310,-0.04640343065719999
ACH-000311,-0.0416115611405
ACH-000312,0.169510655396
ACH-000315,0.106829921207
ACH-000316,-0.06826053635769999
ACH-000317,-0.09395832828839999
ACH-000318,-0.023766989677400003
ACH-000319,-0.252188709604
ACH-000320,-0.16019886606699998
ACH-000322,0.0285262471618
ACH-000323,-0.19192715281599998
ACH-000324,0.061704313286800004
ACH-000329,-0.125636048016
ACH-000330,-0.07483991370410001
ACH-000331,-0.0728793600565
ACH-000332,-0.18520671165
ACH-000334,-0.10072723238
ACH-000335,-0.063596647482
ACH-000336,-0.576890108887
ACH-000337,-0.026823249660900002
ACH-000339,-0.167294313715
ACH-000341,-0.100593849843
ACH-000348,-0.15369961021700002
ACH-000350,-0.185337566474
ACH-000352,-0.324153901048
ACH-000356,0.34043593791500004
ACH-000361,-0.25337920464
ACH-000362,-0.305938361878
ACH-000363,-0.142266421042
ACH-000364,-0.11065051437699999
ACH-000365,-0.0831080886522
ACH-000366,-0.083290995292
ACH-000368,-0.0948532043399
ACH-000374,0.10981341137700001
ACH-000375,-0.072027721258
ACH-000376,-0.222706947126
ACH-000381,0.044697322432399995
ACH-000383,-0.09444346141460001
ACH-000387,0.007996856735470001
ACH-000389,-0.30690892314199997
ACH-000390,-0.0427459422625
ACH-000393,-0.198856832268
ACH-000395,0.127497257072
ACH-000397,-0.116353743741
ACH-000401,-0.03938522610069999
ACH-000402,-0.358651373654
ACH-000403,-0.051189275379999996
ACH-000404,-0.209330452423
