,ROMO1 (140823)
ACH-000004,-1.1443328596200002
ACH-000007,-1.15665632981
ACH-000009,-1.16891569865
ACH-000011,-1.06551684614
ACH-000012,-0.611232716898
ACH-000013,-1.0688202988
ACH-000014,-1.09436897363
ACH-000015,-1.2012149927
ACH-000017,-1.0570280912
ACH-000018,-1.06654509702
ACH-000019,-1.72541579503
ACH-000021,-0.954628689052
ACH-000022,-1.5322944815200001
ACH-000025,-1.1838740739700002
ACH-000028,-1.308321363
ACH-000030,-1.15046919582
ACH-000035,-1.37477253486
ACH-000036,-1.07267310705
ACH-000037,-0.766062767049
ACH-000039,-0.959778655149
ACH-000040,-1.19772368825
ACH-000041,-1.08663933264
ACH-000042,-1.3222553646700002
ACH-000045,-1.2136512662999999
ACH-000047,-1.0214983362899999
ACH-000052,-1.47322430723
ACH-000053,-1.20346551556
ACH-000054,-0.7423401315929999
ACH-000055,-1.4375676429299997
ACH-000060,-1.12019867285
ACH-000067,-0.991894940914
ACH-000070,-1.30832185557
ACH-000075,-1.12776038464
ACH-000078,-0.88485792619
ACH-000082,-1.0143869061700002
ACH-000085,-1.14556122484
ACH-000086,-1.07713068743
ACH-000087,-1.3055194351600001
ACH-000092,-0.863967087367
ACH-000095,-1.1137889029299999
ACH-000097,-0.8045276526199999
ACH-000098,-0.8746967383200001
ACH-000099,-1.3669863198299999
ACH-000108,-1.30067380803
ACH-000113,-1.22280929875
ACH-000115,-1.41021323199
ACH-000116,-1.2749138272299998
ACH-000118,-0.843263331603
ACH-000120,-1.03475015607
ACH-000123,-0.8446331554340001
ACH-000127,-1.01374166067
ACH-000128,-1.54450103361
ACH-000132,-0.7743221091850001
ACH-000133,-1.32360558045
ACH-000137,-0.8873260978399999
ACH-000138,-1.2212785862200002
ACH-000142,-1.08206780818
ACH-000143,-1.13430550193
ACH-000146,-1.6214805231600002
ACH-000148,-1.20367773929
ACH-000150,-1.12235254959
ACH-000152,-1.02070246661
ACH-000153,-0.9134757277700001
ACH-000159,-0.738684135542
ACH-000160,-1.62025923785
ACH-000163,-1.17814100636
ACH-000167,-1.54237131222
ACH-000168,-1.3480606362799998
ACH-000169,-1.45128224119
ACH-000178,-1.25931181768
ACH-000182,-1.25653031296
ACH-000183,-1.2152578914399998
ACH-000188,-1.40031371337
ACH-000189,-1.00532822871
ACH-000190,-1.25941156704
ACH-000198,-0.961137835431
ACH-000204,-1.25724303573
ACH-000206,-1.44050313373
ACH-000207,-1.4672995418
ACH-000211,-1.25808664325
ACH-000215,-1.23378446287
ACH-000221,-1.25663550186
ACH-000222,-0.954486963699
ACH-000223,-1.29391129474
ACH-000226,-1.21648977896
ACH-000227,-1.23641408685
ACH-000228,-1.1474834847600002
ACH-000231,-1.4404392606999998
ACH-000232,-1.4893248984399998
ACH-000233,-1.23408413839
ACH-000234,-1.23030663207
ACH-000235,-1.12234955214
ACH-000237,-0.38667357152599996
ACH-000238,-1.3627197645700002
ACH-000243,-1.16211721226
ACH-000244,-1.1112594377
ACH-000246,-0.961112839219
ACH-000248,-1.12216012205
ACH-000250,-1.09865304831
ACH-000251,-1.4368682789700002
ACH-000253,-1.23875006569
ACH-000255,-1.52639899134
ACH-000256,-0.779250965371
ACH-000257,-1.8613583941499998
ACH-000258,-1.2528659718600001
ACH-000259,-1.5962915723700002
ACH-000260,-1.30538886
ACH-000261,-1.25044480019
ACH-000262,-1.1197093889
ACH-000263,-1.52507849785
ACH-000264,-1.36965194734
ACH-000265,-1.2244162443100002
ACH-000266,-0.724470197634
ACH-000272,-1.1717911930299998
ACH-000273,-0.9666970765080001
ACH-000274,-1.34788760643
ACH-000277,-1.66100613522
ACH-000278,-0.573865723518
ACH-000279,-1.05966014843
ACH-000280,-1.24283063215
ACH-000281,-1.17197177741
ACH-000288,-1.2965215817
ACH-000291,-1.26185435375
ACH-000293,-1.0241150193700002
ACH-000294,-1.30553589999
ACH-000295,-1.19760504143
ACH-000296,-1.32246826279
ACH-000302,-1.17948760183
ACH-000304,-1.40125490139
ACH-000307,-1.24992989763
ACH-000308,-1.22976473362
ACH-000310,-0.781121292483
ACH-000311,-1.0167698344
ACH-000312,-0.8847937762970001
ACH-000315,-1.4954782176499999
ACH-000316,-1.43791197466
ACH-000317,-1.6347780926
ACH-000318,-1.5878403212399999
ACH-000319,-1.4485380646200001
ACH-000320,-1.16869616158
ACH-000322,-1.1796532201899999
ACH-000323,-1.10629996498
ACH-000324,-1.0717796930799999
ACH-000329,-0.9326331985070001
ACH-000330,-1.36497641843
ACH-000331,-1.2829859241
ACH-000332,-1.2689022459700001
ACH-000334,-1.3884811875299998
ACH-000335,-1.50545949491
ACH-000336,-1.4353287987399999
ACH-000337,-0.763718821887
ACH-000339,-0.7372035197460001
ACH-000341,-0.7091883675759999
ACH-000348,-1.04026896313
ACH-000350,-1.01149637023
ACH-000352,-1.6457428100799998
ACH-000356,-0.919121127585
ACH-000361,-0.905724418423
ACH-000362,-1.0471799950799998
ACH-000363,-0.670851633287
ACH-000364,-1.18010429511
ACH-000365,-1.41641431949
ACH-000366,-0.952054379517
ACH-000368,-1.05877178405
ACH-000374,-1.36115216599
ACH-000375,-0.8730640902590001
ACH-000376,-1.3605125744600002
ACH-000381,-1.13884441137
ACH-000383,-0.806957829079
ACH-000387,-1.09716603299
ACH-000389,-0.871570125399
ACH-000390,-0.8492438096330001
ACH-000393,-0.898717747544
ACH-000395,-1.19135972284
ACH-000397,-0.9227265667100001
ACH-000401,-1.26631672233
ACH-000402,-1.183325926
ACH-000403,-0.991688615705
ACH-000404,-1.24678794036
ACH-000406,-1.1473686208299998
ACH-000407,-1.28332286653
ACH-000408,-1.07816864659
ACH-000410,-1.24664962749
ACH-000411,-1.2681759988099999
ACH-000414,-1.51315252122
ACH-000415,-1.5305476854299997
ACH-000416,-0.863397500672
ACH-000420,-1.2443781047700002
ACH-000421,-0.7887170827779999
ACH-000424,-1.2834755093799999
ACH-000425,-0.943960012128
ACH-000426,-0.838630275918
ACH-000427,-1.33647327842
ACH-000433,-1.13305171949
ACH-000436,-0.850489042928
ACH-000444,-1.2532253244
