,CLCNKB (1188)
ACH-000004,-0.155305290921
ACH-000007,-0.18767481627399998
ACH-000009,-0.07254594777119999
ACH-000011,-0.0759904657332
ACH-000012,-0.147027567227
ACH-000013,-0.239638874594
ACH-000014,-0.264822887931
ACH-000015,-0.0132376894049
ACH-000017,-0.0896661112363
ACH-000018,0.032773446291
ACH-000019,-0.178699359236
ACH-000021,-0.0807681640783
ACH-000022,0.0499813788286
ACH-000025,0.000418761589736
ACH-000028,-0.0162804989848
ACH-000030,-0.102529236296
ACH-000035,0.09498488658399999
ACH-000036,-0.23889579680999998
ACH-000037,-0.18053177644299997
ACH-000039,-0.471412370554
ACH-000040,-0.161204512823
ACH-000041,-0.049930215624799996
ACH-000042,-0.00176901695463
ACH-000045,-0.110444950407
ACH-000047,-0.135413609582
ACH-000052,0.00221345109984
ACH-000053,-0.0203400237111
ACH-000054,-0.21382761449999999
ACH-000055,0.0271545064592
ACH-000060,-0.147213572308
ACH-000067,-0.22530739712499998
ACH-000070,-0.106404805941
ACH-000075,0.055375481654000004
ACH-000078,-0.23294968449900003
ACH-000082,-0.00820181847525
ACH-000085,0.17869200124899998
ACH-000086,-0.271228023028
ACH-000087,-0.306002109415
ACH-000092,-0.19899575420600002
ACH-000095,-0.0595893895823
ACH-000097,-0.117855663021
ACH-000098,-0.125258200622
ACH-000099,-0.22943180870299998
ACH-000108,-0.06807233026159999
ACH-000113,-0.157732076445
ACH-000115,-0.13851550373
ACH-000116,-0.148949737266
ACH-000118,-0.00964431803393
ACH-000120,-0.0521017117043
ACH-000123,0.10183637982999999
ACH-000127,0.0312124466828
ACH-000128,-0.162682047734
ACH-000132,-0.054947409946599995
ACH-000133,-0.0259151998618
ACH-000137,-0.025756228719700004
ACH-000138,0.0417959784234
ACH-000142,-0.132016736994
ACH-000143,-0.17059022966499998
ACH-000146,-0.139318062703
ACH-000148,-0.152481043505
ACH-000150,-0.597422295819
ACH-000152,-0.24641602901700002
ACH-000153,-0.0071067483728900005
ACH-000159,-0.31907648810600003
ACH-000160,-0.11780906995
ACH-000163,-0.053428747346400005
ACH-000167,0.17042603497900002
ACH-000168,-0.164592787563
ACH-000169,0.030853834429200002
ACH-000178,-0.263321403845
ACH-000182,-0.0501855050187
