,TUBG1 (7283)
ACH-000004,-1.48053599956
ACH-000007,-1.27253425907
ACH-000009,-1.4459372773399999
ACH-000011,-1.29541320188
ACH-000012,-1.32226834937
ACH-000013,-1.4674626862
ACH-000014,-0.977718124808
ACH-000015,-1.18286531294
ACH-000017,-1.28479196156
ACH-000018,-1.09034883596
ACH-000019,-1.32452780374
ACH-000021,-1.52958925003
ACH-000022,-1.5383048303799998
ACH-000025,-1.1934932764700001
ACH-000028,-1.23579724355
ACH-000030,-1.3003096018200002
ACH-000035,-1.18896986154
ACH-000036,-0.803822599752
ACH-000037,-1.6132533997999998
ACH-000039,-1.29926572239
ACH-000040,-1.4893314789899998
ACH-000041,-1.15519159206
ACH-000042,-1.32011076969
ACH-000045,-1.19293226099
ACH-000047,-1.07650097013
ACH-000052,-1.6112787874899999
ACH-000053,-1.12740819293
ACH-000054,-1.31299057222
ACH-000055,-1.0056431980299998
ACH-000060,-1.28650812947
ACH-000067,-1.3977943564
ACH-000070,-1.29103281097
ACH-000075,-1.1310503813500001
ACH-000078,-1.68113272244
ACH-000082,-0.979869773128
ACH-000085,-1.21077061567
ACH-000086,-1.3026377736399999
ACH-000087,-1.12926998332
ACH-000092,-1.0529115575499999
ACH-000095,-1.13303810841
ACH-000097,-1.1574049133
ACH-000098,-1.25002861593
ACH-000099,-1.28013628624
ACH-000108,-1.42811439779
ACH-000113,-1.08883906325
ACH-000115,-1.85109007616
ACH-000116,-1.26226319015
ACH-000118,-0.9876836247990001
ACH-000120,-1.0551580859799998
ACH-000123,-1.34019964674
ACH-000127,-1.30480100038
ACH-000128,-1.20896613191
ACH-000132,-1.5028978667
ACH-000133,-1.05808221787
ACH-000137,-1.31502406661
ACH-000138,-1.13660077587
ACH-000142,-1.34446570336
ACH-000143,-1.29201682684
ACH-000146,-1.19396829431
ACH-000148,-1.39864737365
ACH-000150,-1.35345053324
ACH-000152,-1.22105800836
ACH-000153,-1.4532037442200003
ACH-000159,-1.19917804419
ACH-000160,-1.6438675465099999
ACH-000163,-1.15205438738
ACH-000167,-1.7833152736400002
ACH-000168,-1.39624825716
ACH-000169,-1.15970312703
ACH-000178,-1.28473131401
ACH-000182,-0.9951567298620001
ACH-000183,-1.2986144988200001
ACH-000188,-1.1557612342299999
ACH-000189,-1.1133452215000001
ACH-000190,-1.20449045256
ACH-000198,-1.25833792999
ACH-000204,-0.922163337216
ACH-000206,-1.04240478824
ACH-000207,-1.8093367248599996
ACH-000211,-1.68931291987
ACH-000215,-1.6428216149500001
ACH-000221,-1.40265921092
ACH-000222,-1.49229080472
ACH-000223,-1.05490570947
ACH-000226,-1.12834224464
ACH-000227,-1.46036729246
ACH-000228,-1.13740046126
ACH-000231,-1.4943857812099999
ACH-000232,-1.3873078534799999
ACH-000233,-1.1518968279700001
ACH-000234,-1.15539887764
ACH-000235,-1.28598912951
ACH-000237,-1.31114205531
ACH-000238,-1.33772898059
ACH-000243,-0.696187619064
ACH-000244,-1.3970270951800001
ACH-000246,-1.334317235
ACH-000248,-1.14827137867
ACH-000250,-1.40546514111
ACH-000251,-0.967604215436
ACH-000253,-1.26933830626
ACH-000255,-1.3654156410799998
ACH-000256,-1.29259396143
ACH-000257,-1.64034874521
ACH-000258,-1.57751894149
ACH-000259,-1.14106983873
ACH-000260,-1.15244739362
ACH-000261,-1.5745814669100002
ACH-000262,-1.07245198232
ACH-000263,-1.26470786464
ACH-000264,-1.60415351882
ACH-000265,-1.19351064935
ACH-000266,-0.7449995625470001
ACH-000272,-1.1331367579
ACH-000273,-1.23384061369
ACH-000274,-1.2154377595399999
ACH-000277,-1.33697681271
ACH-000278,-1.19386408856
ACH-000279,-1.49731841415
ACH-000280,-1.27244266449
ACH-000281,-1.15646573515
ACH-000288,-1.59094683023
ACH-000291,-1.56496175153
ACH-000293,-1.25443212915
ACH-000294,-1.65228075136
ACH-000295,-1.6482505885499998
ACH-000296,-1.4386366386200002
ACH-000302,-1.25134703187
ACH-000304,-0.913366642745
ACH-000307,-1.1285708681
ACH-000308,-1.7369744138499998
ACH-000310,-1.16803460684
ACH-000311,-1.30013861395
ACH-000312,-1.23894585168
ACH-000315,-1.50268437658
ACH-000316,-1.11311102044
ACH-000317,-1.32857747965
ACH-000318,-1.16902737882
ACH-000319,-1.27559382921
ACH-000320,-1.2844090593100002
ACH-000322,-0.8883851377770001
ACH-000323,-1.3834750338600001
ACH-000324,-1.17169210765
ACH-000329,-1.6519529289500001
ACH-000330,-1.56722719331
ACH-000331,-1.05526134381
ACH-000332,-0.79563240505
ACH-000334,-1.6361817281
ACH-000335,-1.11998389581
ACH-000336,-1.09688718851
ACH-000337,-1.4026644362
ACH-000339,-1.4351409232899999
ACH-000341,-1.7626729914200001
ACH-000348,-0.925901382122
ACH-000350,-1.04370584177
ACH-000352,-1.1982640217799998
ACH-000356,-1.06686571899
ACH-000361,-1.42544450583
ACH-000362,-1.2838754188400001
ACH-000363,-1.08866340059
ACH-000364,-1.11344627272
ACH-000365,-1.3625936433899999
ACH-000366,-1.38014563756
ACH-000368,-1.75016668409
ACH-000374,-1.7380814319099998
ACH-000375,-1.2695374250799998
ACH-000376,-1.06653130286
ACH-000381,-1.1879295912
ACH-000383,-1.22485649615
ACH-000387,-1.18877320107
ACH-000389,-1.32918221036
ACH-000390,-1.71087519437
ACH-000393,-1.3088522391500002
ACH-000395,-1.35099403137
ACH-000397,-1.1525359365
ACH-000401,-0.929422873458
ACH-000402,-1.52419532631
ACH-000403,-1.34993406806
ACH-000404,-1.39446533738
ACH-000406,-1.27560105699
ACH-000407,-1.41807852485
ACH-000408,-1.1039104430600002
ACH-000410,-1.45516428703
ACH-000411,-1.13077203046
ACH-000414,-1.31634200074
ACH-000415,-1.27330246021
ACH-000416,-1.22873620895
ACH-000420,-1.2833314096500001
ACH-000421,-0.459905304611
ACH-000424,-1.18957995369
ACH-000425,-0.851539654991
ACH-000426,-1.24041808206
ACH-000427,-1.58352848345
