,DSCR3 (10311)
ACH-000404,0.19752619360800003
ACH-000406,0.036832133929
ACH-000407,-0.18920424444400002
ACH-000408,0.16652282410900002
ACH-000410,0.0524454327538
ACH-000411,0.0129070743163
ACH-000414,-0.244423374712
ACH-000415,-0.44536376623400004
ACH-000416,0.00400504864689
ACH-000420,0.0551284613211
ACH-000421,0.0140679275731
ACH-000424,-0.10839536537599999
ACH-000425,-0.113313633474
ACH-000426,-0.026462111150000002
ACH-000427,-0.12941318027999998
ACH-000433,-0.164265012983
ACH-000436,-0.112376028191
ACH-000444,0.022697625313900002
ACH-000445,-0.20912580900299998
ACH-000448,-0.279655632048
ACH-000450,-0.0626176005339
ACH-000452,-0.13907456991800002
ACH-000454,-0.18466815251
ACH-000458,-0.040470595367400004
ACH-000459,0.016249194877
ACH-000460,-0.12092249271500001
ACH-000461,-0.0489611640269
ACH-000463,-0.148469712169
ACH-000464,-0.36441666052500005
ACH-000466,-0.0582622344286
ACH-000467,-0.00813102698401
ACH-000468,-0.010657217533
ACH-000469,-0.0835098043525
ACH-000470,0.0783579340813
ACH-000471,-0.10224406498
ACH-000472,-0.159398432668
ACH-000473,-0.121244513391
ACH-000475,-0.0815814419494
ACH-000476,-0.0813892044018
ACH-000477,-0.116330553187
ACH-000480,0.0416477721473
ACH-000481,-0.07548325817610001
ACH-000483,-0.199586675103
ACH-000484,-0.399366571885
ACH-000485,-0.0212155140041
ACH-000486,-0.133581035106
ACH-000487,-0.055817309864
ACH-000488,0.0850071974162
ACH-000490,-0.287004556873
ACH-000491,0.035438515430400004
ACH-000495,-0.152293079501
ACH-000496,-0.47518637988000006
ACH-000499,-0.112888861912
ACH-000500,0.0006174728309349999
ACH-000502,-0.0752908962138
ACH-000503,-0.398762073578
ACH-000505,-0.00162372006625
ACH-000507,0.08829345351189999
ACH-000510,0.0660575021691
ACH-000511,-0.0766097875733
ACH-000512,-0.148045123832
ACH-000516,-0.06844369133309999
ACH-000517,-0.09445618854160001
ACH-000518,-0.20398867104
ACH-000520,-0.154982316587
ACH-000521,-0.442457330704
ACH-000522,0.0457127722392
ACH-000524,-0.13905831673900002
ACH-000527,-0.0922040345487
ACH-000528,-0.282470612783
ACH-000537,-0.19753001584199997
ACH-000541,-0.157173635457
ACH-000542,-0.0149914050816
ACH-000544,-0.194830471292
ACH-000545,-0.199053386983
ACH-000547,-0.443971792341
ACH-000548,0.0913393941924
ACH-000549,-0.34488218257799996
ACH-000550,-0.163251903635
ACH-000552,-0.105799198027
ACH-000556,-0.12974638965
ACH-000557,-0.020845654026799998
ACH-000570,-0.162808915809
ACH-000571,-0.278315072999
ACH-000573,-0.139469597517
ACH-000576,-0.132639196306
ACH-000580,-0.129922143957
ACH-000584,-0.110566939761
ACH-000585,-0.17369553975699997
ACH-000588,0.108981682108
ACH-000589,-0.12863563465999997
ACH-000591,-0.126333619887
ACH-000593,-0.20570327618
ACH-000600,0.0403456887055
ACH-000601,-0.0971675564391
ACH-000604,-0.0867597330937
ACH-000605,-0.115996413641
ACH-000606,-0.118297554266
ACH-000608,-0.22944407507599998
ACH-000614,0.0212858847601
ACH-000616,-0.138882741251
ACH-000618,-0.009104892631229999
ACH-000619,-0.258513373969
ACH-000620,-0.240438047291
ACH-000621,-0.363903388315
ACH-000622,0.0912771990497
ACH-000623,0.0376415898553
ACH-000624,-0.158371137543
ACH-000627,0.005806091403979999
ACH-000630,-0.237891005316
ACH-000632,-0.18089181561099998
ACH-000633,0.0169543251482
ACH-000637,-0.0515257869482
ACH-000638,-0.25776503880199997
ACH-000646,-0.10014416297499999
ACH-000647,-0.311736195038
ACH-000648,-0.178696658986
ACH-000649,-0.104859372761
ACH-000651,-0.060552121733599994
ACH-000652,-0.238474188421
ACH-000653,0.00987031923882
