,ATF6B (1388)
ACH-000004,-0.27466382023200003
ACH-000007,-0.23162712719099998
ACH-000009,-0.506366929352
ACH-000011,-0.164260657087
ACH-000012,-0.26297634389
ACH-000013,-0.323674247023
ACH-000014,-0.247498437794
ACH-000015,-0.271879373694
ACH-000017,-0.150181361795
ACH-000018,-0.16993898908500002
ACH-000019,0.023185178487400003
ACH-000021,-0.275118601844
ACH-000022,-0.273160307424
ACH-000025,-0.333338628764
ACH-000028,-0.243210869149
ACH-000030,-0.235386742778
ACH-000035,-0.32453903705299997
ACH-000036,-0.252940693725
ACH-000037,-0.0477915684318
ACH-000039,-0.34071606873899996
ACH-000040,-0.377396329169
ACH-000041,-0.21550443444200001
ACH-000042,-0.293628509057
ACH-000045,-0.18727070715100003
ACH-000047,-0.242337305449
ACH-000052,0.024217966415900002
ACH-000053,-0.316250259533
ACH-000054,-0.297541674974
ACH-000055,-0.224047064212
ACH-000060,-0.136673705563
ACH-000067,-0.341291276271
ACH-000070,-0.0155864083091
ACH-000075,-0.10459124669
ACH-000078,-0.34058618765500004
ACH-000082,-0.118093384434
ACH-000085,-0.269869038434
ACH-000086,-0.29082732014
ACH-000087,-0.288469891117
ACH-000092,-0.147935029143
ACH-000095,-0.272299834971
ACH-000097,-0.130191635447
ACH-000098,-0.18837728228599998
ACH-000099,-0.230312548625
ACH-000108,-0.233218201389
ACH-000113,-0.18151886454399999
ACH-000115,-0.300011410755
ACH-000116,-0.352400375005
ACH-000118,-0.04527945774
ACH-000120,-0.302020314546
ACH-000123,-0.378252309614
ACH-000127,-0.31858062893000005
ACH-000128,-0.0487081664309
ACH-000132,-0.17735194883400002
ACH-000133,-0.21647885573000003
ACH-000137,-0.181207872482
ACH-000138,-0.356035507201
ACH-000142,-0.22058172013799998
ACH-000143,0.0274966112739
ACH-000146,-0.151302105759
ACH-000148,-0.16139893170999997
ACH-000150,-0.14254074865900002
ACH-000152,-0.306828893419
ACH-000153,-0.120189928146
ACH-000159,-0.112286953508
ACH-000160,-0.279721649389
ACH-000163,-0.103756243169
ACH-000167,-0.309292865295
ACH-000168,-0.115429542885
ACH-000169,-0.270662627878
ACH-000178,-0.23427459592900002
ACH-000182,-0.22715954276
ACH-000183,-0.14488760667300002
ACH-000188,-0.182786784623
ACH-000189,-0.2205151557
ACH-000190,-0.540584332515
ACH-000198,-0.208470995921
ACH-000204,-0.7351282122249999
ACH-000206,-0.0499841573561
ACH-000207,-0.267183051032
ACH-000211,-0.26424338313
ACH-000215,-0.254501070992
ACH-000221,0.016241313299200002
ACH-000222,-0.338311956928
ACH-000223,-0.312206434298
ACH-000226,-0.09814766424839999
ACH-000227,-0.196585257643
ACH-000228,-0.399777737163
ACH-000231,-0.243281209652
ACH-000232,-0.142445717173
ACH-000233,-0.328843724193
ACH-000234,-0.438480890947
ACH-000235,-0.232163509534
ACH-000237,-0.20837827579999998
ACH-000238,-0.14356690571699998
ACH-000243,-0.236867896769
ACH-000244,-0.278034303568
ACH-000246,-0.307904523074
ACH-000248,-0.0013489330469300001
ACH-000250,-0.408880448249
ACH-000251,0.0408314160729
ACH-000253,-0.256605214682
ACH-000255,-0.343140279007
ACH-000256,-0.23992089317499998
ACH-000257,-0.176816062848
ACH-000258,-0.258489940175
ACH-000259,-0.357022006876
ACH-000260,-0.286793123626
ACH-000261,-0.260718488396
ACH-000262,-0.205258717842
ACH-000263,0.31236940966
ACH-000264,-0.269441985763
ACH-000265,-0.296011532671
ACH-000266,-0.34770878525700005
ACH-000272,-0.22479401340500002
ACH-000273,-0.43960771877099997
ACH-000274,-0.317561894975
ACH-000277,-0.36643725582900005
ACH-000278,-0.11016432320999998
ACH-000279,-0.24511280725499998
ACH-000280,-0.21541948289
ACH-000281,-0.355643802145
ACH-000288,-0.23234663704
ACH-000291,-0.14935323169099998
ACH-000293,-0.356740434136
ACH-000294,-0.136970628172
ACH-000295,-0.00914494569146
ACH-000296,-0.9304828983910001
ACH-000302,-0.333886468097
ACH-000304,-0.464217318481
ACH-000307,-0.329045856378
ACH-000308,-0.182505032516
ACH-000310,-0.166612751062
ACH-000311,-0.295498609644
ACH-000312,-0.404611036248
ACH-000315,-0.19247846348900002
ACH-000316,-0.403294766934
ACH-000317,-0.17821928546100002
ACH-000318,-0.0531103943798
ACH-000319,-0.329729051451
ACH-000320,-0.00969684254068
ACH-000322,-0.0642570588419
ACH-000323,0.11787834272299999
ACH-000324,-0.271396910518
ACH-000329,-0.192197339207
ACH-000330,-0.596246520365
ACH-000331,-0.305593236811
ACH-000332,-0.288205892553
ACH-000334,0.0368027499085
ACH-000335,-0.439492935067
ACH-000336,-0.122998503207
ACH-000337,-0.277111214843
ACH-000339,-0.173252586336
ACH-000341,-0.245115321355
ACH-000348,-0.23063252758400002
ACH-000350,-0.176258809993
ACH-000352,-0.210025463895
ACH-000356,0.00310898825874
ACH-000361,-0.35970817944
ACH-000362,-0.24244148344099997
ACH-000363,-0.289126465262
ACH-000364,-0.22890422426600002
ACH-000365,-0.117493879812
ACH-000366,-0.25459449298500003
ACH-000368,-0.530224100886
ACH-000374,-0.203779266521
ACH-000375,-0.06322981680669999
ACH-000376,-0.09868012108989999
ACH-000381,-0.36626653587700003
ACH-000383,-0.268058556412
ACH-000387,-0.341912343459
ACH-000389,-0.0744420286257
ACH-000390,-0.283180358794
ACH-000393,-0.368597569544
ACH-000395,-0.25556934913699997
ACH-000397,-0.263372110267
ACH-000401,-0.07206656577710001
ACH-000402,-0.33333920597800004
ACH-000403,-0.235562130326
ACH-000404,-0.46435228711300003
ACH-000406,-0.322677220172
ACH-000407,-0.275505891827
ACH-000408,-0.5448983310459999
ACH-000410,-0.30956641294799997
ACH-000411,-0.20859898931200002
ACH-000414,-0.349105987445
ACH-000415,-0.241261132428
ACH-000416,-0.135995684412
ACH-000420,-0.44210655095299994
