,ARVCF (421)
ACH-000004,-0.434567459206
ACH-000007,-0.123096662189
ACH-000009,-0.11784945203700001
ACH-000011,-0.18375938057100002
ACH-000012,-0.108563587226
ACH-000013,-0.156330061381
ACH-000014,-0.0575478051959
ACH-000015,-0.143583369023
ACH-000017,-0.0396623560244
ACH-000018,-0.335149784041
ACH-000019,-0.11267507437100001
ACH-000021,0.019616438802900003
ACH-000022,0.0007101939112300001
ACH-000025,-0.33656165091799994
ACH-000028,-0.031233705391099997
ACH-000030,-0.14079098074100002
ACH-000035,-0.193764311279
ACH-000036,-0.222619489036
ACH-000037,-0.26946750615
ACH-000039,0.192644920731
ACH-000040,-0.17066679117800002
ACH-000041,-0.272206177614
ACH-000042,-0.329238050762
ACH-000045,-0.252650517204
ACH-000047,-0.08075647703689999
ACH-000052,0.040918855058400004
ACH-000053,-0.103044642162
ACH-000054,0.0190825378932
ACH-000055,-0.32312314129999997
ACH-000060,-0.27016621854899997
ACH-000067,-0.320360384098
ACH-000070,-0.0028938901763299997
ACH-000075,0.0250266654555
ACH-000078,-0.0115135432858
ACH-000082,-0.121143874938
ACH-000085,-0.263820288932
ACH-000086,0.0439224260848
ACH-000087,-0.23433096461300001
ACH-000092,-0.11653049382899999
ACH-000095,-0.16119998698
ACH-000097,-0.028768949895
ACH-000098,-0.109702460758
ACH-000099,0.00042889464303400005
ACH-000108,-0.23082421778200002
ACH-000113,-0.242129746827
ACH-000115,-0.19227919589
ACH-000116,0.0860578864186
ACH-000118,-0.103960993646
ACH-000120,-0.07396566944869999
ACH-000123,-0.0581851575899
ACH-000127,-0.06589755101940001
ACH-000128,-0.05809635492319999
ACH-000132,-0.224351933796
ACH-000133,-0.0940870069233
ACH-000137,-0.164792332406
ACH-000138,0.0861203937999
ACH-000142,-0.20826279115899998
ACH-000143,-0.330534059862
ACH-000146,-0.126613638639
ACH-000148,0.07486729261160001
ACH-000150,-0.110287704194
ACH-000152,-0.254773506094
ACH-000153,0.0036274694650300005
ACH-000159,-0.0380590301012
ACH-000160,0.044220471353900004
ACH-000163,-0.260083123423
ACH-000167,0.192424043129
ACH-000168,-0.0738899716095
ACH-000169,-0.153366777701
ACH-000178,-0.07603037632
ACH-000182,-0.0564576375311
ACH-000183,-0.121724889229
ACH-000188,-0.133707324366
ACH-000189,-0.33621983806500005
ACH-000190,-0.0277959813615
ACH-000198,-0.15630589994400002
ACH-000204,-0.0760439928609
ACH-000206,-0.396035710814
ACH-000207,-0.535542398915
ACH-000211,-0.101456699132
ACH-000215,-0.12822599983400002
ACH-000221,-0.256877850435
ACH-000222,-0.213033996711
ACH-000223,0.081284114893
ACH-000226,-0.191044431641
ACH-000227,-0.108677643322
ACH-000228,-0.029302787584700004
ACH-000231,-0.304889165016
ACH-000232,-0.182285327863
ACH-000233,-0.232809267203
ACH-000234,-0.06273696508309999
ACH-000235,-0.05953690792500001
ACH-000237,-0.19317296737700002
ACH-000238,-0.160340979527
ACH-000243,-0.13917474509400002
ACH-000244,-0.18200911183200003
ACH-000246,-0.0825849788395
ACH-000248,-0.20527194371399998
ACH-000250,-0.039293745526800004
ACH-000251,0.08509389586760001
ACH-000253,0.0399774931764
ACH-000255,-0.155324936914
ACH-000256,-0.123577504156
ACH-000257,0.154262407882
ACH-000258,-0.032508304428
ACH-000259,0.0132582272691
ACH-000260,-0.014701749421
ACH-000261,0.019853192653
ACH-000262,-0.0399467079228
ACH-000263,-0.426704015826
ACH-000264,-0.268767403596
ACH-000265,-0.18210564635
ACH-000266,-0.0634549276866
ACH-000272,-0.0747132262338
ACH-000273,-0.207702094754
ACH-000274,-0.133331655755
ACH-000277,0.0453714041658
ACH-000278,-0.166235115526
ACH-000279,0.103929652575
ACH-000280,-0.283995095485
ACH-000281,0.0606532036472
ACH-000288,-0.047594622532199996
ACH-000291,-0.062916010343
ACH-000293,-0.0864127378545
ACH-000294,0.0534281889553
ACH-000295,-0.1667450123
ACH-000296,-0.0629059382605
