,TCAP (8557)
ACH-000004,-0.106374824371
ACH-000007,-0.11676443109000001
ACH-000009,-0.037298610445400004
ACH-000011,-0.0581894558476
ACH-000012,-0.222576393278
ACH-000013,-0.127141135356
ACH-000014,0.0587354483007
ACH-000015,-0.020577003653099998
ACH-000017,-0.34212621746699995
ACH-000018,-0.0535703051702
ACH-000019,-0.14094320614
ACH-000021,-0.0717452268875
ACH-000022,-0.0770386411923
ACH-000025,-0.0550068880061
ACH-000028,-0.174029843905
ACH-000030,-0.07801185756210001
ACH-000035,-0.258676730075
ACH-000036,-0.0972358154871
ACH-000037,-0.104486786615
ACH-000039,-0.034280385389799994
ACH-000040,-0.106001673797
ACH-000041,-0.0639447859238
ACH-000042,-0.0363507628314
ACH-000045,-0.12620231082900002
ACH-000047,0.09900905075480002
ACH-000052,0.219765621702
ACH-000053,-0.00795782628526
ACH-000054,-0.0826423667306
ACH-000055,-0.0771880962425
ACH-000060,-0.167620711793
ACH-000067,-0.12001183749500001
ACH-000070,-0.11094986581499999
ACH-000075,-0.119135148836
ACH-000078,0.0442625059776
ACH-000082,-0.0164354803939
ACH-000085,-0.0206362953082
ACH-000086,-0.0900631896607
ACH-000087,0.0200914089229
ACH-000092,0.05737061392080001
ACH-000095,-0.151671971904
ACH-000097,0.0223666276149
ACH-000098,-0.129851233072
ACH-000099,0.0036832732893
ACH-000108,-0.0387879185711
ACH-000113,0.00839682174258
ACH-000115,-0.237809500595
ACH-000116,-0.010734652468399998
ACH-000118,-0.105418878881
ACH-000120,-0.27982376566
ACH-000123,-0.0234560865062
ACH-000127,0.10432625834499999
ACH-000128,-0.136926064484
ACH-000132,0.174578029518
ACH-000133,0.131511987853
ACH-000137,0.0758769769412
ACH-000138,-0.210261298137
ACH-000142,0.07038530080510001
ACH-000143,-0.00865897590971
ACH-000146,0.00311738953111
ACH-000148,-0.09354554396880001
ACH-000150,-0.16856069232
ACH-000152,-0.163239009963
ACH-000153,0.0343627376978
ACH-000159,-0.0217699555072
