,RPIA (22934)
ACH-000004,-0.653497942592
ACH-000007,-0.672385833997
ACH-000009,-0.28647976718400003
ACH-000011,-0.6955521626960001
ACH-000012,-0.5097209403490001
ACH-000013,-0.0865035995283
ACH-000014,-0.41990915830700004
ACH-000015,-0.481195254699
ACH-000017,-0.9052301099400001
ACH-000018,-0.6613217167000001
ACH-000019,-0.46336913014200004
ACH-000021,-0.434883706341
ACH-000022,-0.23714344168
ACH-000025,-1.04498067182
ACH-000028,-0.520728594095
ACH-000030,-0.883883373424
ACH-000035,-0.402832132252
ACH-000036,-0.623278845184
ACH-000037,-0.436931492561
ACH-000039,-0.213569280784
ACH-000040,-0.363972970608
ACH-000041,-0.680193593549
ACH-000042,-0.42164526119199996
ACH-000045,-0.733874074437
ACH-000047,-0.59113173652
ACH-000052,-0.249460363518
ACH-000053,-0.505806726527
ACH-000054,-0.252993870775
ACH-000055,-0.460304042162
ACH-000060,-0.246120918806
ACH-000067,-0.383658951602
ACH-000070,-0.520087984609
ACH-000075,-0.22584376467300002
ACH-000078,-0.399175590599
ACH-000082,-0.129654476828
ACH-000085,-0.751640721763
ACH-000086,-0.215172184446
ACH-000087,-0.699480932148
ACH-000092,-0.41844211062799996
ACH-000095,-0.150697186811
ACH-000097,-0.8628704225730001
ACH-000098,-0.07919648794039999
ACH-000099,-0.499431127301
ACH-000108,-0.592347917365
ACH-000113,-0.5214578175060001
ACH-000115,-0.19273031546
ACH-000116,-0.375340028523
ACH-000118,-0.233486093545
ACH-000120,-0.118647485227
ACH-000123,-0.30652312893100003
ACH-000127,-0.649340161022
ACH-000128,-0.48491410616999997
ACH-000132,-0.306733517683
ACH-000133,-0.42270248393
ACH-000137,-0.368093273788
ACH-000138,-0.793096602417
ACH-000142,-0.7747556106829999
ACH-000143,-0.239403845399
ACH-000146,-0.621733198902
ACH-000148,-0.237728224608
ACH-000150,-0.155672469107
ACH-000152,-0.48585437640100004
ACH-000153,-0.0563912848822
ACH-000159,-0.7070781488310001
ACH-000160,-0.558545218123
ACH-000163,-0.43741588696199996
ACH-000167,-0.571050282057
ACH-000168,-0.232486500137
ACH-000169,-0.190257416613
ACH-000178,-0.9081751117069999
ACH-000182,-0.452771228538
ACH-000183,-0.7255396342129999
ACH-000188,-0.5996180559969999
ACH-000189,-0.74092092465
ACH-000190,-0.224453290759
