,TCERG1 (10915)
ACH-000004,-0.612825248367
ACH-000007,-0.278147399703
ACH-000009,-0.67017862622
ACH-000011,-0.519490722789
ACH-000012,-0.528025686333
ACH-000013,-0.629245076725
ACH-000014,-0.265873536978
ACH-000015,-0.63374562003
ACH-000017,-0.381367729363
ACH-000018,-0.28292762223
ACH-000019,-0.419244634211
ACH-000021,-0.506252891108
ACH-000022,-0.32555914020599996
ACH-000025,-0.724923528988
ACH-000028,-0.742395396549
ACH-000030,-0.601904248677
ACH-000035,-0.566678072231
ACH-000036,-0.570763832165
ACH-000037,-0.814022043026
ACH-000039,-0.398604749286
ACH-000040,-0.297516372606
ACH-000041,-0.47253959386100003
ACH-000042,-0.757873663383
ACH-000045,-0.406914951124
ACH-000047,-0.37421106294699996
ACH-000052,-0.7188347593089999
ACH-000053,-0.5661080853670001
ACH-000054,-0.651114479899
ACH-000055,-0.5812197211919999
ACH-000060,-0.539696056776
ACH-000067,-0.573635591036
ACH-000070,-0.558929509071
ACH-000075,-0.574404643906
ACH-000078,-0.544043281342
ACH-000082,-0.6901800107770001
ACH-000085,-0.5313481567989999
ACH-000086,-0.469347206088
ACH-000087,-0.598023951294
ACH-000092,-0.5871275594200001
ACH-000095,-0.51353086745
ACH-000097,-0.711727908098
ACH-000098,-0.446397708389
ACH-000099,-0.43815746312700005
ACH-000108,-0.7648610967630001
ACH-000113,-0.622806918522
ACH-000115,-0.564338103557
ACH-000116,-0.656312544916
ACH-000118,-0.538921793039
ACH-000120,-0.543912041928
ACH-000123,-0.578283341317
ACH-000127,-0.486839451854
ACH-000128,-0.272266814958
ACH-000132,-0.473701361655
ACH-000133,-0.516684067858
ACH-000137,-0.37438218645099997
ACH-000138,-0.644222970268
ACH-000142,-0.35277807578599996
ACH-000143,-0.330982965008
ACH-000146,-0.533631153157
ACH-000148,-0.719259555706
ACH-000150,-0.20706211761
ACH-000152,-0.44131540270499997
ACH-000153,-0.36980480960900003
ACH-000159,-0.657042445843
ACH-000160,-0.140375482788
ACH-000163,-0.468171546985
ACH-000167,-0.13649019189300002
ACH-000168,-0.6172528952
ACH-000169,-0.825816378342
ACH-000178,-0.66879904792
ACH-000182,-0.667163719776
ACH-000183,-0.6355422543399999
ACH-000188,-0.6317368958199999
ACH-000189,-0.409148152966
ACH-000190,-0.364898601421
ACH-000198,-0.35979470314499995
ACH-000204,-0.46616772179899996
ACH-000206,-0.578962326417
ACH-000207,0.114933528295
ACH-000211,-0.531568874918
ACH-000215,-0.602764155203
ACH-000221,-0.514224606024
ACH-000222,-0.281733355519
ACH-000223,-0.316029634221
ACH-000226,-0.5323621189150001
ACH-000227,-0.521456838971
ACH-000228,-0.5245436023560001
ACH-000231,-0.781987517737
ACH-000232,-0.23978173733199998
ACH-000233,-0.697441313276
ACH-000234,-0.455836662861
ACH-000235,-0.667878698866
ACH-000237,-0.749333318741
ACH-000238,-0.746019905926
ACH-000243,-0.562607987172
ACH-000244,-0.38323836619499996
ACH-000246,-0.703965711136
ACH-000248,-0.18487594925200002
ACH-000250,-0.644472530573
ACH-000251,-0.7134177576549999
ACH-000253,-0.445487992421
ACH-000255,-0.797869498179
ACH-000256,-0.727866297705
ACH-000257,-0.643164053011
ACH-000258,-1.16474161801
ACH-000259,-0.49734222619400004
ACH-000260,-0.7026324195389999
ACH-000261,-0.43843534420599994
ACH-000262,-0.5159262244039999
ACH-000263,-1.10489656955
ACH-000264,-0.6276397803589999
ACH-000265,-0.613382739566
ACH-000266,-0.441901925718
ACH-000272,-0.5478333930179999
ACH-000273,-0.590028024536
ACH-000274,-0.7276827516519999
ACH-000277,-0.428467827993
ACH-000278,-0.576048315857
ACH-000279,-0.54321151173
ACH-000280,-0.247174374275
ACH-000281,-0.136808881362
ACH-000288,-0.568493682936
ACH-000291,-0.8884664467919999
ACH-000293,-0.252028456995
ACH-000294,-0.472553646297
ACH-000295,-0.522059767503
ACH-000296,-0.7525577060459999
ACH-000302,-0.8580623992899999
ACH-000304,-0.77780995114
ACH-000307,-0.524167966412
ACH-000308,-0.700291257436
ACH-000310,-0.44276640921099997
ACH-000311,-0.635248952429
ACH-000312,-0.47353757934699997
ACH-000315,-0.481251357116
ACH-000316,-0.823563823881
ACH-000317,-0.7642388643420001
ACH-000318,-0.579479693355
ACH-000319,-0.440756650757
ACH-000320,-0.41031225545
ACH-000322,-0.24310655528499997
ACH-000323,-0.456096968524
ACH-000324,-0.47467346411300004
ACH-000329,-0.706283013475
ACH-000330,-0.61342011876
ACH-000331,-0.829183771329
ACH-000332,-0.588711328893
ACH-000334,-0.357282627491
ACH-000335,-0.743826640971
ACH-000336,-0.7575255116040001
ACH-000337,-0.575147672545
ACH-000339,-0.714185708148
ACH-000341,-0.27407784351
ACH-000348,-0.534188694146
ACH-000350,-0.7387669405699999
ACH-000352,-0.693036753537
ACH-000356,-0.641864377765
ACH-000361,-0.491439205542
ACH-000362,-0.381742104885
ACH-000363,-0.5798136540959999
ACH-000364,-0.685740632683
ACH-000365,-0.404484223534
ACH-000366,-0.30135357584
ACH-000368,-0.600910201394
ACH-000374,-0.35030663015
ACH-000375,-0.158760337757
ACH-000376,-0.471528492551
ACH-000381,-0.38738314751
ACH-000383,-0.532764608366
ACH-000387,-0.578933159929
ACH-000389,-0.0342856866017
ACH-000390,-0.33814845058700005
ACH-000393,-0.554953643829
ACH-000395,-0.27923462556699996
ACH-000397,-0.44036622923600005
ACH-000401,-0.492639198032
ACH-000402,-0.902201476932
ACH-000403,-0.640235331848
ACH-000404,-0.651104631589
ACH-000406,-0.485655577081
ACH-000407,-0.564782507909
ACH-000408,-0.856898389428
ACH-000410,-0.97523382484
ACH-000411,-0.526102112708
ACH-000414,-0.5092897028719999
ACH-000415,-0.200600109573
ACH-000416,-0.572103443675
ACH-000420,-0.599006366605
ACH-000421,-0.590947054334
ACH-000424,-0.669098103866
ACH-000425,-0.35098891975900004
ACH-000426,-0.324405065713
ACH-000427,-0.402453327585
ACH-000433,-0.8698728689480001
ACH-000436,-0.48745642527599997
ACH-000444,-0.594720827878
ACH-000445,-0.696520445908
ACH-000448,-0.61360367648
ACH-000450,-0.12473984342599999
ACH-000452,-0.411560834403
ACH-000454,-0.752856701372
ACH-000458,-0.574149445441
ACH-000459,-0.48724555392499996
ACH-000460,-0.5470654964280001
ACH-000461,-0.418464580115
ACH-000463,-0.303207763372
ACH-000464,-0.250511113074
ACH-000466,-0.750794459983
ACH-000467,-0.482495147375
ACH-000468,-0.48718419551799996
ACH-000469,-0.780678745959
ACH-000470,-0.262635704703
ACH-000471,-0.5746577054950001
ACH-000472,-0.560530593675
ACH-000473,-0.35821705905999995
ACH-000475,-0.40651161686
ACH-000476,-0.3668738052
ACH-000477,-0.41883325912299996
ACH-000480,-0.45532813154299995
ACH-000481,-0.34177983294299996
ACH-000483,-0.426913029533
ACH-000484,-1.11907686479
ACH-000485,-0.576546562474
ACH-000486,-0.644068258903
ACH-000487,-0.8049223546940001
ACH-000488,-0.695881789972
ACH-000490,-0.611136019136
ACH-000491,-0.552386675157
ACH-000495,-0.698689310892
ACH-000496,0.0038675028099599998
ACH-000499,-0.284177491042
ACH-000500,-0.446981616743
ACH-000502,-0.713716480809
ACH-000503,-0.0550192655217
ACH-000505,-0.406812712066
ACH-000507,-0.595209474098
ACH-000510,-0.6819448856999999
ACH-000511,-0.689966320583
ACH-000512,-0.806819670857
ACH-000516,-0.392980201458
ACH-000517,-0.641680322106
ACH-000518,-0.442271590599
ACH-000520,-0.7906502573119999
ACH-000521,-0.568747990396
ACH-000522,-0.59849969204
ACH-000524,-0.461565189439
ACH-000527,-0.49082212168000006
ACH-000528,-0.737529374228
ACH-000537,-0.40971911469000005
ACH-000541,-0.538045572437
ACH-000542,-0.628530412315
ACH-000544,-0.5858228006239999
ACH-000545,-0.632722304864
ACH-000547,-0.832970939746
ACH-000548,-0.557298490221
ACH-000549,-0.615848455524
ACH-000550,-0.573728037265
ACH-000552,-0.599715165619
ACH-000556,-0.22927906065200002
ACH-000557,-0.805335954079
ACH-000570,-0.628423272848
ACH-000571,-0.438621588037
ACH-000573,-0.524532351231
ACH-000576,-0.46866150533699996
ACH-000580,-0.610393522627
ACH-000584,-0.460306113859
ACH-000585,-0.680399916476
ACH-000588,-0.224108069561
ACH-000589,-0.62555634042
ACH-000591,-0.579943337803
ACH-000593,-0.44141892436499996
ACH-000600,-0.47326211386999995
ACH-000601,-0.478095621071
ACH-000604,-0.477009524308
ACH-000605,-0.720592218423
ACH-000606,-0.661810348522
ACH-000608,-0.7392282702159999
ACH-000614,-0.212541244805
ACH-000616,-0.566163741406
ACH-000618,-0.565462772028
ACH-000619,-0.296961323683
ACH-000620,-0.705858168471
ACH-000621,-0.614405401835
ACH-000622,-0.621209015934
ACH-000623,-0.17184076225900002
ACH-000624,-0.68872822379
ACH-000627,-0.41103556628399995
ACH-000630,-0.895093684383
ACH-000632,-0.32230893835700003
ACH-000633,-0.300983868117
ACH-000637,-0.662232612209
ACH-000638,-0.640541314018
ACH-000646,-0.740806549374
ACH-000647,-0.322400110117
