,GNPNAT1 (64841)
ACH-000004,-0.45634013484200003
ACH-000007,-0.424924715688
ACH-000009,-0.575638292028
ACH-000011,-0.450150378842
ACH-000012,-0.18510959908500002
ACH-000013,-0.251772287468
ACH-000014,-0.654872468248
ACH-000015,-0.379579267557
ACH-000017,-0.93327235877
ACH-000018,-0.46521006029600004
ACH-000019,-0.316926302958
ACH-000021,-0.464742802667
ACH-000022,-0.293501470155
ACH-000025,-0.373679380467
ACH-000028,-0.556307445435
ACH-000030,-0.750001835673
ACH-000035,-0.5721069589109999
ACH-000036,-0.525989626952
ACH-000037,-0.306355552857
ACH-000039,-0.48985526877700003
ACH-000040,-0.493710819487
ACH-000041,-0.407974086121
ACH-000042,-0.769148343098
ACH-000045,-0.273991972149
ACH-000047,-0.227527059409
ACH-000052,-0.391882812988
ACH-000053,-0.631447604131
ACH-000054,-0.432696235054
ACH-000055,-0.17550914438499998
ACH-000060,-0.675040313935
ACH-000067,-0.371932116105
ACH-000070,-0.794536388814
ACH-000075,-0.316261256602
ACH-000078,-0.561254973243
ACH-000082,-0.538825343424
ACH-000085,-0.24959007053000004
ACH-000086,-0.38050543710100004
ACH-000087,-0.219867735113
ACH-000092,-0.447931147067
ACH-000095,-0.418271536222
ACH-000097,-0.385497109114
ACH-000098,-0.306133693731
ACH-000099,-0.370013307166
ACH-000108,-0.848482920115
ACH-000113,-0.464434798205
ACH-000115,-0.30211611245000003
ACH-000116,-0.3636116307
ACH-000118,-0.765260062152
ACH-000120,-0.298771627549
ACH-000123,-0.292123472706
ACH-000127,-0.329690065407
ACH-000128,-0.29145990474399996
ACH-000132,-0.314149655189
ACH-000133,-0.511773220959
ACH-000137,-0.305081625092
ACH-000138,-0.779072522753
ACH-000142,-0.584860056026
ACH-000143,-0.38078567034999994
ACH-000146,-0.294374785928
ACH-000148,-0.475303856245
ACH-000150,-0.324073424645
ACH-000152,-0.575998115925
ACH-000153,-0.640024808332
ACH-000159,-0.504176500831
ACH-000160,-0.334735791322
ACH-000163,-0.45117576828999995
ACH-000167,-0.591996194403
ACH-000168,-0.36472271573299997
ACH-000169,-0.46613197455
ACH-000178,-0.550913227111
ACH-000182,-0.663090534289
ACH-000183,-0.666117476901
ACH-000188,-0.435683657139
ACH-000189,-0.6836157508409999
ACH-000190,-0.685833540402
ACH-000198,-0.592707363804
ACH-000204,-0.37753144261200006
ACH-000206,-0.311135449708
ACH-000207,-0.575695546109
ACH-000211,-0.43439384241800005
ACH-000215,-0.349633270017
ACH-000221,-0.230382631622
ACH-000222,-1.1287182686
ACH-000223,-0.796317970315
ACH-000226,-0.588177206463
ACH-000227,-0.584079018112
ACH-000228,-0.538417569872
ACH-000231,-0.403972981502
ACH-000232,-0.425569597399
ACH-000233,-0.592919215144
ACH-000234,-0.73151859006
ACH-000235,-0.9443058481559999
ACH-000237,-0.163468043702
ACH-000238,-0.509721236001
ACH-000243,-0.656143100828
ACH-000244,-0.48116934048199994
ACH-000246,-0.366925028213
ACH-000248,-0.559835158226
ACH-000250,-0.650773292131
ACH-000251,-0.61463978529
ACH-000253,-0.421945759364
ACH-000255,-0.198980155805
ACH-000256,-0.33043534994199997
ACH-000257,-0.553270467933
ACH-000258,-0.504260398358
ACH-000259,-0.34630901529700003
ACH-000260,-0.41109157640199995
ACH-000261,-0.376164872913
ACH-000262,-0.612768645229
ACH-000263,-0.39104430344400004
ACH-000264,-0.390513557476
