,SLMAP (7871)
ACH-000004,-0.278728819602
ACH-000007,-0.7342063455210001
ACH-000009,-0.485370730004
ACH-000011,-0.326942341509
ACH-000012,-0.339496456127
ACH-000013,-0.192486846553
ACH-000014,-0.25705674525600003
ACH-000015,-0.411843167358
ACH-000017,-0.45555983341000006
ACH-000018,-0.7529137965199999
ACH-000019,-0.56697876291
ACH-000021,-0.427971254514
ACH-000022,-0.40006022581600004
ACH-000025,-0.374976102999
ACH-000028,-0.296164894223
ACH-000030,-0.480881709763
ACH-000035,-0.6173766578100001
ACH-000036,-0.09898830398460001
ACH-000037,-0.264003636873
ACH-000039,-0.133659216591
ACH-000040,-0.211145243272
ACH-000041,-0.167063016209
ACH-000042,-0.45838795535599997
ACH-000045,-0.266466464349
ACH-000047,-0.30028244848200003
ACH-000052,-0.139414023008
ACH-000053,-0.471796835405
ACH-000054,-0.26363729739
ACH-000055,-0.380591006576
ACH-000060,-0.414897694193
ACH-000067,-0.310574619023
ACH-000070,-0.5244515920530001
ACH-000075,0.0462809561221
ACH-000078,-0.245760197652
ACH-000082,-0.422151636145
ACH-000085,-0.257903415732
ACH-000086,-0.482423492663
ACH-000087,-0.544007992544
ACH-000092,-0.487336577244
ACH-000095,-0.19003628018100002
ACH-000097,-0.40154244106700004
ACH-000098,-0.469623313182
ACH-000099,-0.218557681938
ACH-000108,-0.34985482383199995
ACH-000113,-0.322616795094
ACH-000115,-0.509818157614
ACH-000116,-0.59242290155
ACH-000118,-0.426085467162
ACH-000120,-0.2765399839
ACH-000123,-0.282056330139
ACH-000127,-0.315058328999
ACH-000128,-0.338486464587
ACH-000132,-0.576743407539
ACH-000133,-0.659101947927
ACH-000137,-0.486880688888
ACH-000138,-0.47736387803400004
ACH-000142,-0.503527820485
ACH-000143,-0.117999492251
ACH-000146,-0.226862433738
ACH-000148,-0.231322221613
ACH-000150,-0.490079888049
ACH-000152,-0.385046920595
ACH-000153,-0.388984533153
ACH-000159,-0.436663579494
ACH-000160,-0.465469075253
ACH-000163,-0.42142346071900005
ACH-000167,-0.5686023932100001
ACH-000168,-0.270764544232
ACH-000169,-0.227607173177
ACH-000178,-0.521486256502
ACH-000182,-0.314693123756
ACH-000183,-0.480354095748
ACH-000188,-0.497955814686
ACH-000189,-0.383960215588
ACH-000190,-0.5642496751199999
ACH-000198,-0.591022504927
ACH-000204,-0.606234605532
ACH-000206,-0.383098580814
ACH-000207,-0.759834082742
ACH-000211,-0.35035175078100006
ACH-000215,-0.371430330006
ACH-000221,0.0321962848128
ACH-000222,-0.417806116523
ACH-000223,-0.471002720722
ACH-000226,-0.202982626583
ACH-000227,-0.21363353193300003
ACH-000228,-0.128648248019
ACH-000231,-0.371140624436
ACH-000232,-0.415080671951
ACH-000233,-0.32535770466499997
ACH-000234,-0.512924921299
ACH-000235,-0.34850511469000006
ACH-000237,-0.341213354771
ACH-000238,-0.38147431712499996
ACH-000243,-0.310656418145
ACH-000244,-0.7011901081899999
ACH-000246,-0.427919066694
ACH-000248,-0.5106630399859999
ACH-000250,-0.382901171973
ACH-000251,-0.46744976765
ACH-000253,-0.423142351847
ACH-000255,-0.321906319747
ACH-000256,-0.278190691378
ACH-000257,-0.216654331778
ACH-000258,-0.481259591317
ACH-000259,-0.261039219927
ACH-000260,-0.301797200279
ACH-000261,-0.290146074443
ACH-000262,-0.4372151088699999
ACH-000263,-0.737904350204
ACH-000264,-0.234961339045
ACH-000265,-0.38646515136299997
ACH-000266,-0.24747235599300002
ACH-000272,-0.33188961513500004
ACH-000273,-0.125587602407
ACH-000274,-0.462282148047
ACH-000277,-0.5625966792189999
ACH-000278,-0.061144466691500005
ACH-000279,-0.298727019424
ACH-000280,-0.7725691470280001
ACH-000281,-0.554527578192
ACH-000288,-0.556000902366
ACH-000291,-0.490173432564
ACH-000293,-0.330377226738
ACH-000294,-0.36790461978
ACH-000295,-0.805950236046
ACH-000296,-0.44589549296400005
ACH-000302,-0.477776278621
ACH-000304,-0.8157387217190001
ACH-000307,-0.33229146191799996
ACH-000308,-0.310213166849
ACH-000310,-0.119286348093
ACH-000311,-0.551223407945
ACH-000312,-0.19076027306899998
ACH-000315,-0.243869615272
ACH-000316,-0.362305290927
ACH-000317,-0.27890228329100003
ACH-000318,-0.30444152881700004
ACH-000319,-0.41225999883500003
ACH-000320,-0.538756537421
ACH-000322,-0.43379663203900004
ACH-000323,-0.193675011391
ACH-000324,-0.505704149897
ACH-000329,-0.5323180258669999
ACH-000330,-0.26355953410599997
ACH-000331,-0.360164259506
ACH-000332,-0.475180630236
ACH-000334,-0.08861122458210001
ACH-000335,-0.128915623526
ACH-000336,-0.33608063798199994
ACH-000337,-0.2412338177
ACH-000339,-0.429070999936
ACH-000341,-0.22702191711999997
ACH-000348,-0.305014369732
ACH-000350,-0.275304223768
ACH-000352,-0.307415480119
ACH-000356,-0.404115387739
ACH-000361,-0.578322129511
ACH-000362,-0.243965550935
ACH-000363,-0.5161823921540001
ACH-000364,-0.607347379749
ACH-000365,-0.33807572391199997
ACH-000366,-0.11860479977800001
ACH-000368,-0.243974451186
ACH-000374,-0.422117826777
ACH-000375,-0.529521311309
ACH-000376,-0.280868282774
ACH-000381,-0.49786626172799997
ACH-000383,-0.46971792674400004
ACH-000387,-0.174162199823
ACH-000389,-0.491472710123
ACH-000390,-0.28356767087900003
ACH-000393,-0.396148296745
ACH-000395,-0.489752541619
ACH-000397,-0.45447596412600005
ACH-000401,-0.405995487228
ACH-000402,0.22405636563900003
ACH-000403,-0.423216058242
ACH-000404,-0.16265373425000001
ACH-000406,-0.27601008438200003
ACH-000407,-0.35583314953699996
ACH-000408,-0.245507642255
ACH-000410,-0.37901019823200005
ACH-000411,-0.532709047734
ACH-000414,-0.210050935867
ACH-000415,-0.459948983417
ACH-000416,-0.0581707460554
ACH-000420,-0.58037730394
ACH-000421,-0.26360993800099997
ACH-000424,-0.39190823205200004
ACH-000425,-0.276066338206
ACH-000426,-0.33609216670500003
ACH-000427,-0.548035808232
ACH-000433,-0.37224099543000005
ACH-000436,-0.345116346777
ACH-000444,-0.449472017634
ACH-000445,-0.37715525991899995
ACH-000448,-0.380909743831
ACH-000450,-0.053916889196
ACH-000452,-0.368209523892
ACH-000454,-0.396335237864
ACH-000458,-0.620531483843
ACH-000459,-0.0228653003607
ACH-000460,-0.481783764446
ACH-000461,-0.540457397633
ACH-000463,-0.309029086642
ACH-000464,-0.217030492494
ACH-000466,-0.556646586774
ACH-000467,-0.199920651668
ACH-000468,-0.634880923848
ACH-000469,-0.445771155218
ACH-000470,-0.387875840282
ACH-000471,-0.45812788414399996
ACH-000472,-0.306435421639
ACH-000473,-0.306388007665
ACH-000475,-0.297005621778
ACH-000476,-0.182588788979
ACH-000477,-0.259834403767
ACH-000480,-0.335383308437
ACH-000481,-0.29856268312600004
ACH-000483,-0.289126663228
ACH-000484,-0.150006172957
ACH-000485,-0.351896207361
ACH-000486,-0.36004593216799996
ACH-000487,-0.429791445497
ACH-000488,-0.318824729139
ACH-000490,-0.290791361191
ACH-000491,-0.553466027098
ACH-000495,-0.0423339519483
ACH-000496,-0.451036400193
ACH-000499,-0.283776217134
ACH-000500,-1.18090742514
ACH-000502,-0.379419693106
ACH-000503,-0.731613262035
ACH-000505,-0.279746082796
ACH-000507,-0.34035267520999996
ACH-000510,-0.356655798444
ACH-000511,-0.394830687224
ACH-000512,-0.46267531265699996
ACH-000516,-0.652341114113
ACH-000517,-0.49403850581000003
ACH-000518,-0.11498748455
ACH-000520,-0.300678146416
ACH-000521,-0.381387489277
ACH-000522,-0.18110651189399998
ACH-000524,-0.50413026408
ACH-000527,-0.429094883063
ACH-000528,-0.512627959679
ACH-000537,-0.15900881467800002
ACH-000541,-0.268284325479
