,IP6K2 (51447)
ACH-000004,-0.301493581517
ACH-000007,0.008343750567169999
ACH-000009,-0.0999695499624
ACH-000011,-0.110991628066
ACH-000012,-0.300969954937
ACH-000013,-0.12014451586899999
ACH-000014,0.021459830422299996
ACH-000015,-0.140564592143
ACH-000017,-0.12177973238800001
ACH-000018,-0.430423365894
ACH-000019,-0.31276608395100003
ACH-000021,-0.270814435072
ACH-000022,-0.03687060930469999
ACH-000025,-0.36220315243100004
ACH-000028,-0.145840361938
ACH-000030,-0.124564627667
ACH-000035,-0.12962291806600001
ACH-000036,-0.196110700425
ACH-000037,-0.431691483072
ACH-000039,-0.308328352498
ACH-000040,-0.31330081204300003
ACH-000041,-0.145294980801
ACH-000042,-0.10676483166000002
ACH-000045,-0.153635536437
ACH-000047,-0.120439317488
ACH-000052,-0.32225333937
ACH-000053,-0.09560651384430001
ACH-000054,-0.086820698992
ACH-000055,0.021713359241400002
ACH-000060,-0.21318733457800002
ACH-000067,-0.274156004768
ACH-000070,-0.196796495598
ACH-000075,-0.315582357637
ACH-000078,0.11344735257
ACH-000082,-0.220191672203
ACH-000085,-0.08633526069389999
ACH-000086,-0.254320065303
ACH-000087,0.160453967012
ACH-000092,-0.32522977458
ACH-000095,-0.161352740252
ACH-000097,-0.252788934416
ACH-000098,-0.20947533017099998
ACH-000099,-0.161944664849
ACH-000108,0.0138409818569
ACH-000113,-0.20194445944000003
ACH-000115,-0.341862369265
ACH-000116,-0.230797576523
ACH-000118,-0.24898879816199998
ACH-000120,-0.245511161072
ACH-000123,-0.249704873261
ACH-000127,-0.20095970257800003
ACH-000128,-0.344206186259
ACH-000132,-0.0518763092946
ACH-000133,-0.186501640321
ACH-000137,-0.38855697169299996
ACH-000138,-0.17481050032
ACH-000142,-0.16706372771400002
ACH-000143,-0.11210228123400001
ACH-000146,-0.0851692302069
ACH-000148,-0.203378023051
ACH-000150,-0.324655999612
ACH-000152,-0.382028772952
ACH-000153,-0.0335034213137
ACH-000159,-0.5865924575639999
ACH-000160,-0.0546745951143
ACH-000163,-0.20625350630699998
ACH-000167,-0.29159570754999997
ACH-000168,-0.32618497775899996
ACH-000169,-0.260981907752
ACH-000178,0.016749762859
ACH-000182,-0.313478864631
ACH-000183,-0.13404732545
ACH-000188,-0.360225683283
ACH-000189,-0.0561149141955
ACH-000190,0.034497534664400004
ACH-000198,-0.341777392746
ACH-000204,-0.538403058396
ACH-000206,0.203909817436
ACH-000207,-0.0588126334497
ACH-000211,-0.373701091632
ACH-000215,-0.19461608534400002
ACH-000221,-0.054016479970199996
