,HSPA1B (3304)
ACH-000004,-0.48520404818400004
ACH-000007,-0.300685891072
ACH-000009,-0.260083866374
ACH-000011,-0.171035752163
ACH-000012,-0.370863122991
ACH-000013,-0.324676226536
ACH-000014,-0.29741002891199997
ACH-000015,-0.213540565996
ACH-000017,-0.186495668067
ACH-000018,-0.28299752878
ACH-000019,0.062263072936500005
ACH-000021,-0.193540346443
ACH-000022,-0.253396258813
ACH-000025,-0.20143479034200001
ACH-000028,-0.256061940685
ACH-000030,-0.27124098942200003
ACH-000035,-0.269588339158
ACH-000036,-0.2580706813
ACH-000037,-0.300843647659
ACH-000039,-0.390035133063
ACH-000040,-0.16815782904399998
ACH-000041,-0.26275619838799996
ACH-000042,-0.24738383127799998
ACH-000045,-0.28740931374
ACH-000047,-0.319616091346
ACH-000052,-0.264314651124
ACH-000053,-0.208655386393
ACH-000054,-0.455024268669
ACH-000055,-0.07563318464839999
ACH-000060,-0.228316070653
ACH-000067,-0.196280878065
ACH-000070,-0.19154352554499998
ACH-000075,-0.243096557835
ACH-000078,-0.46308545315300004
ACH-000082,-0.280511760421
ACH-000085,-0.0361442721411
ACH-000086,-0.301151736886
ACH-000087,-0.32009510932199997
ACH-000092,-0.233219294214
ACH-000095,-0.265464611425
ACH-000097,-0.208816766039
ACH-000098,-0.34061931583000005
ACH-000099,-0.20345648190699997
ACH-000108,-0.32359703878400004
ACH-000113,-0.07319824283960001
ACH-000115,-0.267156686326
ACH-000116,-0.256078610979
ACH-000118,-0.30873688098200003
ACH-000120,-0.275924847501
ACH-000123,-0.286412150044
ACH-000127,-0.253809853782
ACH-000128,-0.066319606155
ACH-000132,-0.19414242984900001
ACH-000133,-0.152553450505
ACH-000137,-0.0394931854357
ACH-000138,-0.183180319833
ACH-000142,-0.393382029132
ACH-000143,-0.314967573697
ACH-000146,-0.257933110848
ACH-000148,-0.185076922618
ACH-000150,-0.189078672352
ACH-000152,-0.0661911404853
ACH-000153,-0.659623074081
ACH-000159,-0.272977624076
ACH-000160,-0.269926124341
ACH-000163,-0.143355757892
ACH-000167,-0.9972704504700001
ACH-000168,-0.171070809089
ACH-000169,-0.11256220305299999
ACH-000178,-0.29385651668699997
ACH-000182,-0.23352661484
ACH-000183,-0.205820918053
ACH-000188,-0.258729541957
ACH-000189,-0.652047580808
ACH-000190,-0.217248997207
ACH-000198,-0.307073682495
ACH-000204,-0.353613374028
ACH-000206,-0.49578519610699995
ACH-000207,-0.304427752652
ACH-000211,-0.306399819797
ACH-000215,-0.277615845804
ACH-000221,-0.16922773211
ACH-000222,-0.334647826329
ACH-000223,-0.285577139494
ACH-000226,-0.268450696463
ACH-000227,-0.293894174764
ACH-000228,-0.169814102225
ACH-000231,-0.36055171219000004
ACH-000232,-0.149423575631
ACH-000233,-0.282590314011
ACH-000234,-0.19138531451
ACH-000235,-0.34226709537100003
ACH-000237,-0.339015843096
ACH-000238,-0.36235998569
ACH-000243,-0.20802670544399998
ACH-000244,-0.378567098951
ACH-000246,-0.276858285231
ACH-000248,-0.09090285816339999
ACH-000250,-0.415142662314
ACH-000251,-0.0208583793803
ACH-000253,-0.396318004573
ACH-000255,-0.410191074248
ACH-000256,-0.6521696177440001
ACH-000257,-0.064577425417
ACH-000258,-0.240350316088
ACH-000259,-0.164929118279
ACH-000260,-0.211138132901
ACH-000261,-0.286585988181
ACH-000262,-0.17838138230300002
ACH-000263,-0.282997270519
ACH-000264,-0.32501327073
ACH-000265,-0.128205752536
ACH-000266,-0.189483760658
ACH-000272,-0.22831690937399998
ACH-000273,-0.5159473278660001
ACH-000274,-0.0959043658861
ACH-000277,-0.23375060576499998
ACH-000278,-0.243542165768
ACH-000279,-0.438119490873
ACH-000280,-0.582234559956
ACH-000281,-0.423885604877
ACH-000288,-0.303463994071
ACH-000291,-0.204586143051
ACH-000293,-0.406751551095
ACH-000294,-0.328428691738
ACH-000295,-0.556276807129
ACH-000296,-0.417413995428
ACH-000302,-0.13625849863
ACH-000304,-0.0097187855257
ACH-000307,-0.037561714736699996
ACH-000308,-0.27619869813000003
ACH-000310,-0.39119481135399997
ACH-000311,-0.420944862585
ACH-000312,-0.143150175984
ACH-000315,-0.0236939750738
ACH-000316,-0.28773341568000005
ACH-000317,-0.35775911115500003
ACH-000318,-0.239206820531
ACH-000319,-0.0695956328502
ACH-000320,0.042523481704099995
ACH-000322,-0.13506729863800002
ACH-000323,-0.135482491567
ACH-000324,-0.288304873506
ACH-000329,-0.189856298776
ACH-000330,-0.138259529545
ACH-000331,-0.102661596207
ACH-000332,-0.248918558395
ACH-000334,-0.406906075011
ACH-000335,0.0423736001588
ACH-000336,-0.00470149743845
ACH-000337,-0.580938424187
ACH-000339,-0.120212042632
ACH-000341,-0.116313337523
ACH-000348,-0.294900611118
ACH-000350,-0.061675404902499995
ACH-000352,-0.30003382506799997
ACH-000356,-0.05816946585630001
ACH-000361,-0.22266696100900002
ACH-000362,-0.30375885532499997
ACH-000363,-0.242390661483
ACH-000364,-0.20611229189199998
ACH-000365,-0.21268240515999998
ACH-000366,-0.34625850865900004
ACH-000368,-0.0853026958189
ACH-000374,-0.569741478475
ACH-000375,-0.367386521056
ACH-000376,-0.0341350256153
ACH-000381,-0.236486896687
ACH-000383,-0.413063131448
ACH-000387,-0.262922945099
ACH-000389,-0.170932518971
ACH-000390,-0.367662892713
ACH-000393,-0.323910240972
ACH-000395,-0.156973044255
ACH-000397,-0.24485442853
ACH-000401,-0.125931244287
ACH-000402,0.228616763552
ACH-000403,-0.271933550749
ACH-000404,-0.163925905905
ACH-000406,-0.22873130466699998
ACH-000407,-0.344057580277
ACH-000408,-0.30710582194200003
ACH-000410,0.00789902453554
ACH-000411,-0.367173164941
ACH-000414,-0.226780132954
ACH-000415,-0.240629591688
ACH-000416,-0.179237172925
ACH-000420,-0.301018872084
ACH-000421,-0.332613184788
ACH-000424,-0.00272329951572
ACH-000425,-0.18237106836199998
ACH-000426,-0.42323745158200005
ACH-000427,-0.460938453035
ACH-000433,0.03269272842
ACH-000436,-0.228127516274
ACH-000444,-0.0944252702042
ACH-000445,-0.23666196627900002
ACH-000448,-0.24467293346000002
ACH-000450,0.03655143447
ACH-000452,-0.24506963208299998
ACH-000454,-0.233743147944
ACH-000458,-0.29307173478500004
ACH-000459,-0.18332463834600002
ACH-000460,-0.0637446613604
ACH-000461,-0.109736233013
ACH-000463,-0.114479885335
ACH-000464,-0.31058012128699997
ACH-000466,-0.347832138918
ACH-000467,-0.269562360986
ACH-000468,-0.177515685665
ACH-000469,-0.210124163521
ACH-000470,-0.483226080058
ACH-000471,-0.142443961288
ACH-000472,-0.228927150794
ACH-000473,-0.356320558306
ACH-000475,-0.325536262651
ACH-000476,-0.387421970861
ACH-000477,-0.326157931787
ACH-000480,-0.369808955374
ACH-000481,-0.26025339780699996
ACH-000483,-0.210969575927
ACH-000484,-0.048646764378199994
ACH-000485,-0.144989253963
ACH-000486,-0.33980066166999995
ACH-000487,-0.27714826664299996
ACH-000488,-0.282817138219
ACH-000490,-0.221429199856
ACH-000491,-0.430814300326
ACH-000495,-0.074400519278
