,RGP1 (9827)
ACH-000004,-0.7577384328479999
ACH-000007,-0.678372905332
ACH-000009,-0.6698764112619999
ACH-000011,-1.04684889814
ACH-000012,-0.563628636995
ACH-000013,-0.484113911206
ACH-000014,-0.5845112155100001
ACH-000015,-0.817997921015
ACH-000017,-0.24734713603
ACH-000018,-0.5887804897
ACH-000019,-0.491819075307
ACH-000021,-0.47129688388400004
ACH-000022,-0.202550981851
ACH-000025,-0.5529675174249999
ACH-000028,-0.303908241816
ACH-000030,-0.92624521188
ACH-000035,-0.39100572721999993
ACH-000036,-0.69333433258
ACH-000037,-0.690182488679
ACH-000039,-0.396640213866
ACH-000040,-0.988266146157
ACH-000041,-0.39453978389899996
ACH-000042,-0.660525933222
ACH-000045,-0.38531219585500004
ACH-000047,-0.420123238511
ACH-000052,-0.464564717703
ACH-000053,-0.921613869998
ACH-000054,-0.5537936128850001
ACH-000055,-0.763435090229
ACH-000060,-0.751881496849
ACH-000067,-0.38435305511999995
ACH-000070,-0.572941921667
ACH-000075,-0.809370377029
ACH-000078,-0.38633703735200003
ACH-000082,-0.483251869763
ACH-000085,-0.92111232949
ACH-000086,-0.536059874455
ACH-000087,-0.480387382521
ACH-000092,-0.922362856564
ACH-000095,-0.740144902924
ACH-000097,-0.462680542088
ACH-000098,-0.760238858354
ACH-000099,-0.227696616873
ACH-000108,-0.401409462135
ACH-000113,-0.42190185453100004
ACH-000115,-0.47768389036200004
ACH-000116,-0.165413569585
ACH-000118,-0.712073643518
ACH-000120,-0.541312840229
ACH-000123,-0.5456607303719999
ACH-000127,-0.470113777212
ACH-000128,-0.19399941549000002
ACH-000132,-0.22129786735999998
ACH-000133,-0.507607538754
ACH-000137,-0.35744433460999997
ACH-000138,-0.941034890651
ACH-000142,-0.520555473126
ACH-000143,-0.729075066042
ACH-000146,-0.331385376025
ACH-000148,-0.30381870001
ACH-000150,-0.696228387093
ACH-000152,-0.213620016498
ACH-000153,-0.768211134269
ACH-000159,-0.560840592765
ACH-000160,-0.814269298301
ACH-000163,-0.81997920126
ACH-000167,-0.796234141188
ACH-000168,-0.580690005647
ACH-000169,-0.851857195986
ACH-000178,-0.6169016792090001
ACH-000182,-1.09271586812
ACH-000183,-0.819495228306
ACH-000188,-0.407439247078
ACH-000189,-1.02169533003
ACH-000190,-0.7976228785439999
ACH-000198,-0.307575341689
ACH-000204,-0.544267924263
ACH-000206,-1.09666923595
ACH-000207,-0.28586185520999996
ACH-000211,-0.638416420748
ACH-000215,-0.65872898074
ACH-000221,-0.32115961955
ACH-000222,-0.576195742187
ACH-000223,-0.36630215210699996
ACH-000226,-0.55101906421
ACH-000227,-0.8048546445270001
ACH-000228,-0.334945365067
ACH-000231,-0.5913131589980001
ACH-000232,-0.6057792906270001
ACH-000233,-0.911647321491
ACH-000234,-0.496712272917
ACH-000235,-1.00244008493
ACH-000237,-0.49046129762199997
ACH-000238,-0.245345761197
ACH-000243,-0.590488368995
ACH-000244,-0.35032774293200003
ACH-000246,-0.640516080792
ACH-000248,-0.347042638631
ACH-000250,-0.813849928368
ACH-000251,-1.10812297849
ACH-000253,-0.776100163461
ACH-000255,-0.655928623989
ACH-000256,-0.20819022996599998
ACH-000257,-0.9270389900480001
ACH-000258,-0.306753206413
ACH-000259,-0.896736580125
ACH-000260,-0.586409095952
ACH-000261,-0.850526788752
ACH-000262,-0.6876327095649999
ACH-000263,-0.6873238033849999
ACH-000264,-0.678479110924
ACH-000265,-0.535882085244
ACH-000266,-0.840400938027
ACH-000272,-0.9199284165100001
ACH-000273,-0.189045047067
ACH-000274,-0.469687611904
ACH-000277,-0.424302685444
ACH-000278,-0.806582985932
ACH-000279,-0.157115922727
ACH-000280,-0.41759540802100004
ACH-000281,-0.38414597990000005
ACH-000288,-0.0570785062807
ACH-000291,-0.646502869491
ACH-000293,-0.37617753249200003
ACH-000294,-0.433570982957
ACH-000295,-0.821063850385
ACH-000296,-1.27310735526
ACH-000302,-0.381067452475
ACH-000304,-0.6682382113800001
ACH-000307,-0.7795815065520001
ACH-000308,-0.536497427914
ACH-000310,-0.453408244657
ACH-000311,-0.7240705445190001
ACH-000312,-0.39158845701899997
ACH-000315,-0.736105854955
ACH-000316,-0.9458187333399999
ACH-000317,-1.0090813203
ACH-000318,-0.977765282412
ACH-000319,-0.410567340035
ACH-000320,-0.601107690911
ACH-000322,-0.8390028136669999
ACH-000323,-0.29752032697299996
ACH-000324,-0.483600112304
ACH-000329,-0.21427168690099999
ACH-000330,-0.570456047979
ACH-000331,-0.7613426901379999
ACH-000332,-0.572182442109
ACH-000334,-0.108073678051
ACH-000335,-0.713858780115
ACH-000336,-0.831149034439
ACH-000337,-0.968401931296
ACH-000339,-0.7526615296410001
ACH-000341,-0.37454047429700005
ACH-000348,-0.477732458201
ACH-000350,-0.276078302858
ACH-000352,-0.485726826388
ACH-000356,-0.46348859433399997
ACH-000361,-0.59779405371
ACH-000362,-0.311777195682
ACH-000363,-0.430416505862
ACH-000364,-0.7615645488130001
ACH-000365,-0.968569016354
ACH-000366,-0.418933574172
ACH-000368,-0.593921466741
ACH-000374,-0.967253695213
ACH-000375,-0.525914892091
ACH-000376,-1.0286423519299999
ACH-000381,-0.7980768861
ACH-000383,-0.878413879452
ACH-000387,-0.534414333034
ACH-000389,-0.5154368127619999
ACH-000390,-0.520494292829
ACH-000393,-0.556376931765
ACH-000395,-0.7280220022030001
ACH-000397,-1.03471603875
ACH-000401,-0.44849111406099995
ACH-000402,-0.804121176458
ACH-000403,-0.385133698253
ACH-000404,-0.226424325919
ACH-000406,-0.334842773959
ACH-000407,-0.453970798254
ACH-000408,-0.465498419525
ACH-000410,-0.5754564339370001
ACH-000411,-1.08213162712
ACH-000414,-0.313071424245
ACH-000415,-1.0186252614799998
ACH-000416,-0.26581729483000005
ACH-000420,-0.523970788957
ACH-000421,-0.107459926185
ACH-000424,-0.619938452264
ACH-000425,-0.317673943676
ACH-000426,-0.752030698483
ACH-000427,-1.0452798685200002
ACH-000433,-0.62492857437
ACH-000436,-0.520411279327
ACH-000444,-0.737967814824
ACH-000445,-1.24204735117
ACH-000448,-0.388279789235
ACH-000450,-0.6265621139509999
