,OST4 (100128731)
ACH-000004,-0.23221193490800002
ACH-000007,-0.873880126717
ACH-000009,-0.383116626735
ACH-000011,-0.728525564172
ACH-000012,-0.176546634448
ACH-000013,-0.273269886986
ACH-000014,-0.515498204379
ACH-000015,-0.458505186245
ACH-000017,-0.40203669321099994
ACH-000018,-0.486070299872
ACH-000019,-0.31044540450999997
ACH-000021,-0.08703790308949999
ACH-000022,-0.6898254126710001
ACH-000025,-0.63767885828
ACH-000028,-0.597807605149
ACH-000030,-0.416066108542
ACH-000035,-0.053398136453
ACH-000036,-0.666044765571
ACH-000037,-0.326198908618
ACH-000039,-0.620358668938
ACH-000040,-0.244966758671
ACH-000041,-0.414290325395
ACH-000042,-0.5386164378
ACH-000045,-0.155456816416
ACH-000047,-0.277155312342
ACH-000052,-0.757575730018
ACH-000053,-0.290765609927
ACH-000054,-0.540803469938
ACH-000055,-0.317165733801
ACH-000060,-0.5386646081350001
ACH-000067,-0.11887230488299999
ACH-000070,-0.0437813189547
ACH-000075,-0.295167254343
ACH-000078,-0.426487770426
ACH-000082,-0.42712597386
ACH-000085,-0.45254362320299996
ACH-000086,-0.326908819461
ACH-000087,-0.5353576245699999
ACH-000092,-0.395103632432
ACH-000095,-0.330718034133
ACH-000097,-0.233602607931
ACH-000098,-0.381206380438
ACH-000099,-0.606358831886
ACH-000108,-0.7465311175939999
ACH-000113,-0.471998252986
ACH-000115,-0.469421531827
ACH-000116,-0.33096263175900004
ACH-000118,-0.8873553283110001
ACH-000120,-0.556374541852
ACH-000123,-0.472093815696
ACH-000127,-0.528335115698
ACH-000128,-0.506634967406
ACH-000132,-0.786945508208
ACH-000133,-0.593189466563
ACH-000137,-0.390531655936
ACH-000138,-0.32111129982299996
ACH-000142,-0.539866346398
ACH-000143,-0.169989115649
ACH-000146,-0.232589102023
ACH-000148,-0.28904820149
ACH-000150,-0.508118458609
ACH-000152,-0.365094733534
ACH-000153,-0.423832441492
ACH-000159,-0.0560030344091
ACH-000160,-0.48712210346699997
ACH-000163,-0.547707036862
ACH-000167,-0.275078777031
ACH-000168,-0.64561215375
ACH-000169,-0.719808232471
ACH-000178,-0.663832327208
ACH-000182,-0.385896844485
ACH-000183,-0.981664502958
ACH-000188,-0.960166190554
ACH-000189,-0.6212312689239999
ACH-000190,-0.492583446593
ACH-000198,0.258443243739
ACH-000204,-0.9949323183900001
ACH-000206,-0.4528612625
ACH-000207,-0.752384057569
ACH-000211,-0.34971203628200004
ACH-000215,-0.421459739131
ACH-000221,-0.103539062647
ACH-000222,-0.71091290558
ACH-000223,-0.270735341439
ACH-000226,-0.32786076135000003
ACH-000227,-0.453619131268
ACH-000228,-0.544125594477
ACH-000231,-0.404815598473
ACH-000232,-0.420904649222
ACH-000233,-0.303584733314
ACH-000234,-0.768138277395
ACH-000235,-0.622107101221
ACH-000237,-0.108397393157
ACH-000238,-0.8528205140430001
ACH-000243,-0.686015302295
ACH-000244,-0.193337960365
ACH-000246,-0.588743048361
ACH-000248,-0.31853015113600003
ACH-000250,-0.461075638439
ACH-000251,-0.970477958061
ACH-000253,-0.242961091422
ACH-000255,-0.5883993637389999
ACH-000256,-0.374337732486
ACH-000257,0.0044388419441300005
ACH-000258,-0.277449402016
ACH-000259,-0.518126380155
ACH-000260,-0.832916345065
ACH-000261,-0.636032660374
ACH-000262,-1.00926384203
ACH-000263,-0.654957156147
ACH-000264,-0.565258855494
ACH-000265,-0.383678880927
ACH-000266,-0.635386314289
ACH-000272,-0.9493448848630001
