,MYL12A (10627)
ACH-000004,-0.022572262426299998
ACH-000007,-0.26737599616700003
ACH-000009,0.0264216555379
ACH-000011,-0.137476789583
ACH-000012,-0.4059347953
ACH-000013,-0.312638037325
ACH-000014,-0.22814531644000002
ACH-000015,0.09607257529589999
ACH-000017,-0.357850560124
ACH-000018,0.028066746326299997
ACH-000019,-0.22585015492
ACH-000021,-0.15040447773
ACH-000022,-0.26937636125500003
ACH-000025,-0.487004676627
ACH-000028,-0.275612312855
ACH-000030,-0.275390121938
ACH-000035,-0.110236127544
ACH-000036,-0.304421654137
ACH-000037,-0.231904169256
ACH-000039,-0.22824848597300001
ACH-000040,-0.35127266379199995
ACH-000041,-0.35325880740000004
ACH-000042,-0.37462529065
ACH-000045,-0.357857806477
ACH-000047,-0.29165008628
ACH-000052,-0.23986597513500002
ACH-000053,-0.19612116069000002
ACH-000054,-0.068876027063
ACH-000055,-0.279991696567
ACH-000060,-0.36951938294
ACH-000067,-0.29590681265
ACH-000070,-0.25531401314
ACH-000075,0.063413435823
ACH-000078,-0.0809719416297
ACH-000082,0.10428728024299999
ACH-000085,-0.457711572199
ACH-000086,-0.0046018459598799995
ACH-000087,-0.304867396644
ACH-000092,-0.412924632386
ACH-000095,-0.145070865014
ACH-000097,-0.365785041089
ACH-000098,-0.066456330537
ACH-000099,-0.163653317785
ACH-000108,-0.350068860557
ACH-000113,-0.282364699296
ACH-000115,-0.512810102191
ACH-000116,-0.24894208667800002
ACH-000118,-0.279801987662
ACH-000120,-0.196653260334
ACH-000123,-0.0975759495612
ACH-000127,-0.0387891438449
ACH-000128,-0.37807062064
ACH-000132,-0.27198426333500003
ACH-000133,-0.19126087562
ACH-000137,0.027517322735599998
ACH-000138,-0.395851181206
ACH-000142,-0.08603443810460001
ACH-000143,-0.48776820157799994
ACH-000146,-0.17786793626699998
ACH-000148,-0.030506428891599997
ACH-000150,-0.318951464204
ACH-000152,0.0625313175251
ACH-000153,0.20067322536499999
ACH-000159,-0.0317568731692
ACH-000160,-0.164048114615
ACH-000163,-0.228634830324
ACH-000167,-0.25242354297200004
ACH-000168,-0.388734019872
ACH-000169,-0.07866507248839999
ACH-000178,-0.239341052596
ACH-000182,-0.273834167474
ACH-000183,-0.21936263624699998
ACH-000188,-0.375747758881
ACH-000189,-0.345778982386
ACH-000190,-0.427612804503
ACH-000198,-0.336490359482
ACH-000204,-0.0512206960146
ACH-000206,-0.0812802705245
ACH-000207,-0.441321207751
ACH-000211,-0.239453769281
ACH-000215,-0.299288804631
ACH-000221,-0.288892811946
ACH-000222,-0.38350038461900005
ACH-000223,-0.38005956697899995
ACH-000226,-0.195998332776
ACH-000227,-0.253028841256
ACH-000228,-0.329650356639
ACH-000231,-0.14041335759
ACH-000232,-0.250713753335
ACH-000233,-0.39650154083000005
ACH-000234,-0.11497459344699999
ACH-000235,-0.38813575156400004
ACH-000237,-0.267429177003
ACH-000238,-0.282378139599
ACH-000243,-0.465236011849
ACH-000244,-0.269236591157
ACH-000246,-0.480169526308
ACH-000248,-0.253584227274
ACH-000250,-0.253161607495
ACH-000251,-0.555379795011
ACH-000253,-0.389275199565
ACH-000255,0.111254416032
ACH-000256,-0.122360231577
ACH-000257,-0.113631013487
ACH-000258,-0.291706143169
ACH-000259,-0.23763178094
ACH-000260,-0.37101340824600004
ACH-000261,-0.031676084667799996
ACH-000262,-0.0867790285725
ACH-000263,-0.3528371764
ACH-000264,-0.4479768482
ACH-000265,-0.16870874210900003
ACH-000266,-0.39432308492
ACH-000272,-0.145203781447
ACH-000273,-0.27530923079799996
ACH-000274,-0.44948626803
ACH-000277,-0.256491116089
ACH-000278,-0.302249039681
ACH-000279,-0.308954742645
ACH-000280,-0.142041621763
ACH-000281,-0.244751913899
ACH-000288,-0.277355601911
ACH-000291,-0.24204966803199998
ACH-000293,0.00208429817899
ACH-000294,-0.11277797134199999
ACH-000295,-0.25699096565699997
ACH-000296,-0.27982205778999997
ACH-000302,-0.246720141349
ACH-000304,-0.131663941664
ACH-000307,-0.18663532899399998
ACH-000308,-0.053633266776099996
ACH-000310,-0.017337535455900003
ACH-000311,-0.29603683778900003
ACH-000312,-0.18550314997499998
ACH-000315,-0.206613925916
ACH-000316,-0.368109134096
ACH-000317,-0.120485260612
ACH-000318,-0.277887937551
ACH-000319,-0.0026228115509699997
ACH-000320,-0.447013174558
ACH-000322,-0.535374869705
ACH-000323,0.018408997334599997
ACH-000324,-0.370402409465
ACH-000329,-0.386650581746
ACH-000330,-0.184717877315
ACH-000331,0.0228160360273
ACH-000332,-0.25491456022799996
ACH-000334,-0.278723250732
ACH-000335,-0.131533781533
ACH-000336,-0.0803727419759
ACH-000337,-0.20646574965199999
ACH-000339,-0.277885398785
ACH-000341,-0.17486813994199998
ACH-000348,-0.19388946911200003
ACH-000350,-0.125613327473
ACH-000352,-0.0163761852586
ACH-000356,-0.30638540023899996
ACH-000361,-0.158751309894
ACH-000362,-0.129479189467
ACH-000363,-0.282776943984
ACH-000364,0.0136946339398
ACH-000365,-0.151003760981
ACH-000366,-0.165119607461
ACH-000368,-0.278809946869
ACH-000374,-0.236515169841
ACH-000375,-0.120634927273
ACH-000376,-0.409927812512
ACH-000381,-0.329697654009
ACH-000383,-0.556116800465
ACH-000387,-0.19453184397
ACH-000389,-0.268459782497
ACH-000390,-0.30091694019299997
ACH-000393,-0.22887343921
ACH-000395,-0.07257396309650001
ACH-000397,-0.28657797790399997
ACH-000401,-0.47551151271000003
ACH-000402,-0.34439945751199996
ACH-000403,-0.520600610749
