,SETD1B (23067)
ACH-000004,-0.568384621657
ACH-000007,0.302256020446
ACH-000009,-0.567454046413
ACH-000011,-0.134980209624
ACH-000012,-0.200899446921
ACH-000013,-0.0116246775037
ACH-000014,-0.6139476392800001
ACH-000015,-0.491515354019
ACH-000017,0.172466639085
ACH-000018,-0.235576982438
ACH-000019,-0.242891377433
ACH-000021,-0.495144066605
ACH-000022,0.0483492719511
ACH-000025,-0.39719083004699995
ACH-000028,-0.22664988967799998
ACH-000030,-0.231910149763
ACH-000035,-0.360427545064
ACH-000036,0.0473610051201
ACH-000037,-0.778343526056
ACH-000039,-0.390687399468
ACH-000040,-0.35994560323200003
ACH-000041,-0.344971511719
ACH-000042,-0.520661423692
ACH-000045,-0.462264951184
ACH-000047,-0.59671640565
ACH-000052,-0.212779102304
ACH-000053,-0.553516797145
ACH-000054,-0.323545934765
ACH-000055,-0.591943506432
ACH-000060,-0.0163663130442
ACH-000067,-0.324942664371
ACH-000070,-0.916134628106
ACH-000075,-0.178639967146
ACH-000078,-0.36173124873199997
ACH-000082,-0.522866920552
ACH-000085,-0.483478818598
ACH-000086,-0.289992918332
ACH-000087,-0.899178439488
ACH-000092,-0.0861971092635
ACH-000095,-0.603414570689
ACH-000097,-0.537960574028
ACH-000098,-0.445754290994
ACH-000099,-0.410415622958
ACH-000108,-0.128396052599
ACH-000113,-0.319558830036
ACH-000115,-0.276781398314
ACH-000116,-0.335357166631
ACH-000118,-0.598370328209
ACH-000120,-0.43656989330799995
ACH-000123,-0.24605507257399997
ACH-000127,-0.336081906377
ACH-000128,-0.232348968638
ACH-000132,-0.139539178552
ACH-000133,0.233617988625
ACH-000137,-0.647408819779
ACH-000138,0.121829529713
ACH-000142,-0.290134905848
ACH-000143,-0.617753807877
ACH-000146,-0.495787948062
ACH-000148,-0.5673373961020001
ACH-000150,-0.425506727337
ACH-000152,-0.409002897278
ACH-000153,-0.044406185298300004
ACH-000159,-0.10225081817399999
ACH-000160,0.0055517154401800006
ACH-000163,-0.399898483011
ACH-000167,-0.058604968373499995
ACH-000168,-0.777871174527
ACH-000169,-0.42393807998899996
ACH-000178,-0.31599080344700003
