,GZMB (3002)
ACH-000004,-0.167107216192
ACH-000007,-0.0338061213013
ACH-000009,-0.146662195839
ACH-000011,-0.0345646660374
ACH-000012,-0.18725469249
ACH-000013,-0.0832126802026
ACH-000014,-0.0319578690609
ACH-000015,-0.121201357889
ACH-000017,-0.268209045261
ACH-000018,0.0997855953942
ACH-000019,-0.0718852100507
ACH-000021,-0.039304017683699996
ACH-000022,-0.21809198592700002
ACH-000025,-0.12702966228499998
ACH-000028,-0.206947707397
ACH-000030,-0.0274013662718
ACH-000035,-0.13273048279000002
ACH-000036,-0.08097167519989999
ACH-000037,-0.082036985054
ACH-000039,0.09848698849210001
ACH-000040,-0.26443963167199996
ACH-000041,-0.136333265004
ACH-000042,-0.137496663903
ACH-000045,0.0444223245925
ACH-000047,-0.115960001761
ACH-000052,-0.20079459639299999
ACH-000053,-0.0696016964574
ACH-000054,-0.286555736595
ACH-000055,0.08801699204219998
ACH-000060,-0.008751273496129999
ACH-000067,0.037263361076800006
ACH-000070,-0.127868984701
ACH-000075,0.0556751617122
ACH-000078,0.0169357874283
ACH-000082,-0.126466466452
ACH-000085,-0.0696201990943
ACH-000086,-0.187116230365
ACH-000087,0.21837544599199998
ACH-000092,-0.174005635544
ACH-000095,-0.169609099381
ACH-000097,-0.246899335215
ACH-000098,-0.27730054641699997
ACH-000099,-0.09085287034539999
ACH-000108,0.0245680314385
ACH-000113,-0.22412919517700003
ACH-000115,0.005849129845939999
ACH-000116,-0.158131198549
ACH-000118,-0.20831905415399998
ACH-000120,-0.307358008749
ACH-000123,-0.164701032848
ACH-000127,-0.013081269962500001
ACH-000128,-0.287293410013
ACH-000132,0.051154177954099996
ACH-000133,-0.171911839491
ACH-000137,-0.333838000413
ACH-000138,-0.164122669116
ACH-000142,0.031133499889099997
ACH-000143,-0.392796642808
ACH-000146,-0.0625883291593
ACH-000148,-0.376330872974
ACH-000150,-0.06981964730239999
ACH-000152,-0.168960445552
ACH-000153,-0.368755898041
ACH-000159,-0.0710975244238
ACH-000160,-0.527628410325
ACH-000163,-0.238203750084
ACH-000167,0.025881347077799998
ACH-000168,-0.161914317004
ACH-000169,0.0436191618223
ACH-000178,-0.183923800155
ACH-000182,-0.311243106065
ACH-000183,-0.236567023573
ACH-000188,0.13072994988199999
ACH-000189,-0.558886538948
ACH-000190,-0.243193145223
ACH-000198,-0.115502663464
ACH-000204,-0.190028543392
ACH-000206,-0.0774539810998
ACH-000207,0.19912320252500001
ACH-000211,-0.115385020595
ACH-000215,-0.17732751059500002
ACH-000221,-0.15476516155300002
ACH-000222,-0.339941747807
ACH-000223,-0.056298981466499996
ACH-000226,-0.0196935561809
ACH-000227,-0.24665332974399998
ACH-000228,-0.0698426780945
ACH-000231,-0.165155682734
ACH-000232,-0.0446177205729
ACH-000233,0.13047064167000003
ACH-000234,-0.238858842914
ACH-000235,-0.18673099125999998
ACH-000237,0.223155122132
ACH-000238,-0.13852946732899998
ACH-000243,-0.0956618040002
ACH-000244,0.162964253653
ACH-000246,-0.191726145689
ACH-000248,-0.46911872858900006
ACH-000250,-0.190337272852
ACH-000251,0.109008215744
ACH-000253,0.0130701167411
ACH-000255,-0.218778050227
ACH-000256,0.0371871025255
ACH-000257,-0.375852380134
ACH-000258,-0.121642622257
ACH-000259,-0.19422975857799998
ACH-000260,-0.173874702768
ACH-000261,-0.19154714617600002
ACH-000262,-0.10806019428300001
ACH-000263,-0.09979506681110001
ACH-000264,-0.243746194838
ACH-000265,-0.193026280736
ACH-000266,-0.224410619503
ACH-000272,-0.0640958414011
ACH-000273,0.08694627254000001
ACH-000274,0.019479123867400003
ACH-000277,0.0686462316914
ACH-000278,-0.0801007928175
ACH-000279,-0.07863941560019999
ACH-000280,-0.08926002783230001
ACH-000281,-0.14276160353599998
ACH-000288,-0.07216063660889999
ACH-000291,-0.172585000183
ACH-000293,-0.08856198003789999
ACH-000294,-0.17489924041700003
ACH-000295,-0.168590104656
ACH-000296,-0.296785282308
ACH-000302,-0.141669832568
ACH-000304,-0.153986927267
ACH-000307,-0.317138784442
ACH-000308,-0.0286636437541
ACH-000310,-0.010414823325000001
ACH-000311,-0.516825842921
ACH-000312,-0.19806385714299998
ACH-000315,-0.135091722767
ACH-000316,-0.16362492161800002
ACH-000317,-0.46497244698299994
ACH-000318,-0.39935332036
ACH-000319,-0.189444833799
ACH-000320,-0.260088822373
ACH-000322,0.00975710919011
ACH-000323,-0.276171045703
ACH-000324,-0.19090327806899998
ACH-000329,0.09712630368210001
ACH-000330,-0.271993671917
ACH-000331,-0.00996879693461
