,ATAD3C (219293)
ACH-000004,0.027821943898
ACH-000007,0.238496736319
ACH-000009,0.131856181663
ACH-000011,0.31514400588
ACH-000012,0.236187283098
ACH-000013,0.19902594761700002
ACH-000014,-0.128830494198
ACH-000015,0.171187135337
ACH-000017,0.0583859014774
ACH-000018,-0.08001002366389999
ACH-000019,0.333602726192
ACH-000021,0.09000471644889999
ACH-000022,0.0951388879638
ACH-000025,0.09397712394310001
ACH-000028,0.216818854029
ACH-000030,0.21491592939100002
ACH-000035,0.13173008036599998
ACH-000036,0.158393354045
ACH-000037,-0.0402818706131
ACH-000039,0.0875493018974
ACH-000040,0.231453521382
ACH-000041,0.13980862232799998
ACH-000042,0.122816945167
ACH-000045,0.0559037977642
ACH-000047,0.0175661485877
ACH-000052,0.166526510974
ACH-000053,0.111749609525
ACH-000054,0.0941160784873
ACH-000055,0.110159807325
ACH-000060,0.0238677480192
ACH-000067,0.10300835830499999
ACH-000070,-0.00784201560789
ACH-000075,-0.0136816958627
ACH-000078,0.0883054744008
ACH-000082,0.152884314119
ACH-000085,0.231028563241
ACH-000086,0.114148676793
ACH-000087,0.0870931893993
ACH-000092,0.0916363017647
ACH-000095,0.11725507382200001
ACH-000097,-0.0650194839642
ACH-000098,0.274481461526
ACH-000099,0.0446615108478
ACH-000108,-0.145600703073
ACH-000113,0.258685418401
ACH-000115,0.0103108378694
ACH-000116,0.17324756059399998
ACH-000118,0.20236244842300002
ACH-000120,0.0026472715677399996
ACH-000123,0.266195941037
ACH-000127,0.125957913553
ACH-000128,0.028390783846999997
ACH-000132,0.245969514005
ACH-000133,0.286546850126
ACH-000137,0.24632018233800002
ACH-000138,0.0725126402888
ACH-000142,0.0403738879029
ACH-000143,0.0420917674764
ACH-000146,0.13045571349500001
ACH-000148,0.18623903565900002
ACH-000150,-0.351699674138
ACH-000152,0.142591576613
ACH-000153,-0.0103697855191
ACH-000159,0.108101910882
ACH-000160,0.22594370902600003
ACH-000163,0.0786958105382
ACH-000167,-0.0495969324216
ACH-000168,0.150122884846
ACH-000169,0.0594180174223
ACH-000178,0.16632893381
ACH-000182,0.12056033447999999
ACH-000183,0.07169064437230001
ACH-000188,0.22125986279800003
ACH-000189,0.440818933562
ACH-000190,0.26983507517
ACH-000198,0.24308360598200002
ACH-000204,0.0908622846543
ACH-000206,0.204797886538
ACH-000207,0.038350935618300004
ACH-000211,0.07093392625310001
ACH-000215,-0.0110656671419
ACH-000221,0.0144302588175
ACH-000222,-0.135717396813
ACH-000223,0.233955383844
ACH-000226,0.293277526349
ACH-000227,0.189039975736
ACH-000228,0.033392111734700004
ACH-000231,0.049528253940900005
ACH-000232,0.25063801035300004
ACH-000233,-0.088736922919
ACH-000234,0.0363907251285
ACH-000235,0.174095854636
ACH-000237,0.0815876513402
ACH-000238,0.280405332834
ACH-000243,0.084470034091
ACH-000244,0.0630442876535
ACH-000246,-0.048650289765499996
ACH-000248,0.261666363975
ACH-000250,0.059255095137
ACH-000251,0.18176784837699997
ACH-000253,0.126471798572
ACH-000255,0.147307243124
ACH-000256,0.145292479513
ACH-000257,0.334784452206
ACH-000258,0.100686302302
ACH-000259,0.00247545381686
ACH-000260,0.16150214968499998
ACH-000261,0.015044977885200001
ACH-000262,0.224988750326
ACH-000263,-0.208694253759
ACH-000264,0.15614899045
ACH-000265,0.124977777307
ACH-000266,0.07971228647
ACH-000272,0.16502438327299998
