,OGDHL (55753)
ACH-000004,-0.39269827375699995
ACH-000007,-0.370668857128
ACH-000009,-0.207529153843
ACH-000011,-0.41177405784800003
ACH-000012,-0.25169587576499997
ACH-000013,-0.104300231952
ACH-000014,-0.310358287712
ACH-000015,-0.17424350117600002
ACH-000017,-0.13844382499500002
ACH-000018,-0.242691049111
ACH-000019,-0.274383632466
ACH-000021,-0.055885120705699995
ACH-000022,-0.184546915112
ACH-000025,-0.314995716222
ACH-000028,-0.354265942666
ACH-000030,-0.44228931736500005
ACH-000035,-0.45387060372500004
ACH-000036,-0.19461945959399998
ACH-000037,-0.023517230615500002
ACH-000039,-0.251487495357
ACH-000040,-0.358144512929
ACH-000041,-0.130262661849
ACH-000042,-0.221133446406
ACH-000045,-0.25985050168699997
ACH-000047,-0.112533682919
ACH-000052,-0.281903538391
ACH-000053,-0.135130741884
ACH-000054,-0.182708294006
ACH-000055,-0.22822522664900002
ACH-000060,-0.230123491567
ACH-000067,-0.42879567976099997
ACH-000070,-0.318947475141
ACH-000075,-0.020673290211
ACH-000078,-0.267450132283
ACH-000082,-0.232204713121
ACH-000085,-0.0351274219104
ACH-000086,-0.177696958963
ACH-000087,-0.37284870461999997
ACH-000092,-0.172511750885
ACH-000095,-0.21146842215599998
ACH-000097,-0.184841071919
ACH-000098,-0.19457957370700002
ACH-000099,-0.258139300729
ACH-000108,-0.326367009972
ACH-000113,-0.106879946948
ACH-000115,-0.188967027822
ACH-000116,-0.15119641471200002
ACH-000118,-0.170532050126
ACH-000120,-0.19283187437899998
ACH-000123,-0.11166820149000001
ACH-000127,-0.207207632859
ACH-000128,-0.261991544155
ACH-000132,-0.197780104082
ACH-000133,-0.11931896948899999
ACH-000137,-0.115293574576
ACH-000138,-0.207869398538
ACH-000142,-0.182160675193
ACH-000143,-0.39583193938100003
ACH-000146,0.0358290770699
ACH-000148,-0.0981674283495
ACH-000150,-0.223928389098
ACH-000152,-0.353495334854
ACH-000153,0.129485947656
ACH-000159,-0.155215455095
ACH-000160,0.44416247545599996
ACH-000163,-0.35971691653800003
ACH-000167,0.9212812553120001
ACH-000168,-0.212960973296
ACH-000169,-0.0359723316754
ACH-000178,-0.13730194359099998
ACH-000182,-0.158535772255
ACH-000183,-0.38981183970100003
ACH-000188,-0.29874401889400004
ACH-000189,-0.414406135678
ACH-000190,0.406375706827
ACH-000198,-0.35734177181599996
ACH-000204,-0.0505958416435
ACH-000206,-0.320883536059
ACH-000207,-0.422450809907
ACH-000211,-0.252281702658
ACH-000215,-0.124340517703
ACH-000221,-0.0101187567887
ACH-000222,-0.216274724122
ACH-000223,-0.19569544197
ACH-000226,-0.358314695123
ACH-000227,-0.200704408074
ACH-000228,-0.409749591083
ACH-000231,-0.19500744481600002
ACH-000232,-0.195151236409
ACH-000233,-0.18567599173000002
ACH-000234,0.00931425165118
ACH-000235,-0.15611533081700002
ACH-000237,-0.054611890408800004
ACH-000238,-0.23945140802099998
ACH-000243,-0.15937776627699998
ACH-000244,0.037169936396
ACH-000246,-0.233085477762
ACH-000248,-0.181069936445
ACH-000250,-0.0911398172167
ACH-000251,-0.365406074664
ACH-000253,-0.045049138028300004
ACH-000255,-0.374692193833
ACH-000256,-0.161584901342
ACH-000257,-0.341794562024
ACH-000258,-0.463974721853
ACH-000259,-0.169991642099
ACH-000260,-0.297733572653
ACH-000261,-0.131539038725
ACH-000262,-0.24905850512
ACH-000263,-0.045889871398
ACH-000264,-0.12726035940199998
ACH-000265,-0.372758594368
ACH-000266,-0.0245638470988
ACH-000272,-0.017864605116400003
ACH-000273,-0.132885837724
ACH-000274,-0.06326309428469999
ACH-000277,-0.117970752585
ACH-000278,0.0392566433838
ACH-000279,-0.171955457416
ACH-000280,-0.11563788727
ACH-000281,-0.383754662153
ACH-000288,-0.15117449683700002
ACH-000291,-0.0665901256779
ACH-000293,-0.240976001767
ACH-000294,-0.329550977597
ACH-000295,-0.0475718979175
ACH-000296,-0.0735227368202
ACH-000302,-0.0890162678138
ACH-000304,-0.11043572684900001
ACH-000307,-0.234406429857
ACH-000308,-0.218764636645
ACH-000310,-0.299541213784
ACH-000311,-0.22220057126999995
ACH-000312,-0.29258503383900003
ACH-000315,-0.364963315288
ACH-000316,-0.0181062452198
ACH-000317,-0.055328869167499996
ACH-000318,-0.12860722959
ACH-000319,-0.10242151155300001
ACH-000320,-0.30870171235800004
ACH-000322,-0.121297054074
ACH-000323,-0.433683370703
ACH-000324,-0.179849364016
ACH-000329,-0.222470804547
ACH-000330,-0.417155442126
ACH-000331,-0.255428696789
ACH-000332,-0.126757773367
ACH-000334,-0.575653676731
ACH-000335,-0.19188181751
ACH-000336,-0.228947511448
ACH-000337,-0.12389615128900001
ACH-000339,-0.193508148909
ACH-000341,-0.212197872556
ACH-000348,-0.136378096974
ACH-000350,-0.0658012519592
ACH-000352,0.0662469478978
ACH-000356,-0.20781517849199999
ACH-000361,-0.40080635127400005
ACH-000362,-0.238815032674
ACH-000363,-0.0287684531667
ACH-000364,-0.19721584411200002
ACH-000365,-0.155121327102
ACH-000366,-0.254222064576
ACH-000368,-0.21835570795899997
ACH-000374,-0.14528426098
ACH-000375,-0.22402951072299998
ACH-000376,-0.220170329479
ACH-000381,-0.216242247463
ACH-000383,-0.127144814071
ACH-000387,0.0298867852981
ACH-000389,-0.166905088773
ACH-000390,-0.0440782457432
ACH-000393,-0.149976267572
ACH-000395,-0.07000715108950001
ACH-000397,-0.109473572575
ACH-000401,-0.176517908305
ACH-000402,-0.502457383119
ACH-000403,-0.25674402876999997
ACH-000404,-0.0843249686183
ACH-000406,-0.24308287088599997
ACH-000407,-0.344028247449
ACH-000408,-0.0837154092807
ACH-000410,-0.295586691165
ACH-000411,0.008619623811729999
ACH-000414,-0.306243121786
ACH-000415,-0.23819621173799999
ACH-000416,-0.111539621789
ACH-000420,-0.319874005979
ACH-000421,-0.20362345522199998
ACH-000424,-0.056885242526599995
ACH-000425,-0.2298791354
ACH-000426,-0.26328591058
ACH-000427,-0.023529943746500002
ACH-000433,-0.251488025788
ACH-000436,-0.17053194089600002
ACH-000444,-0.165021026367
ACH-000445,-0.16132865542199998
ACH-000448,-0.121150345198
ACH-000450,-0.432794514746
ACH-000452,-0.21655253068500002
ACH-000454,-0.155204776652
ACH-000458,-0.16962303497099998
ACH-000459,-0.225462609281
ACH-000460,-0.0269898658538
ACH-000461,-0.18997576145999998
ACH-000463,-0.245033223184
ACH-000464,-0.35376624185
ACH-000466,-0.13212391558800002
ACH-000467,-0.0269355084179
ACH-000468,-0.31418764592
ACH-000469,-0.23525221356400003
ACH-000470,-0.24133520904199998
ACH-000471,-0.11502527355900001
ACH-000472,-0.274894728169
ACH-000473,-0.108058549893
ACH-000475,-0.156056953521
ACH-000476,-0.14696552708
ACH-000477,-0.273124542496
ACH-000480,0.049610432195800004
ACH-000481,-0.20476501979400002
ACH-000483,-0.0832752824313
ACH-000484,0.0806310098062
ACH-000485,-0.0890169047008
ACH-000486,-0.141110841431
ACH-000487,-0.276112673651
ACH-000488,-0.172875611043
ACH-000490,-0.244285951814
ACH-000491,-0.06906409282039999
ACH-000495,-0.23626279376200002
ACH-000496,-0.315909801329
ACH-000499,-0.354885156159
ACH-000500,0.310904679408
ACH-000502,-0.188966439206
ACH-000503,-0.22310310374899997
ACH-000505,-0.113843169637
ACH-000507,-0.21155779735
ACH-000510,-0.157866074157
ACH-000511,-0.270390307657
ACH-000512,-0.38897852151999995
ACH-000516,-0.08940009789049999
ACH-000517,-0.030030233757700003
ACH-000518,-0.15366546887
ACH-000520,-0.0538427527625
ACH-000521,-0.165919433661
ACH-000522,-0.08662102181839999
ACH-000524,-0.22820456413100002
ACH-000527,-0.0939943913443
ACH-000528,-0.20944003835799999
ACH-000537,-0.302958332989
ACH-000541,-0.7331531312999999
ACH-000542,-0.245799105547
ACH-000544,-0.18388940693
ACH-000545,0.0397819768119
ACH-000547,-0.22648177529199998
ACH-000548,-0.21697709254500003
ACH-000549,-0.303790558452
ACH-000550,-0.297506289435
ACH-000552,-0.264097721425
ACH-000556,-0.372175345957
ACH-000557,-0.1228068266
ACH-000570,-0.033948280636
ACH-000571,-0.17651374586500002
ACH-000573,-0.17010580297400002
ACH-000576,-0.07735541070100001
ACH-000580,-0.0011471508264
ACH-000584,-0.09534805805579999
ACH-000585,-0.0182858160088
ACH-000588,-0.14793912175
