,ZMYM4 (9202)
ACH-000004,-0.166390426755
ACH-000007,0.082309449525
ACH-000009,-0.14755657192
ACH-000011,-0.29867368326099997
ACH-000012,-0.199415819323
ACH-000013,-0.130249169547
ACH-000014,-0.014406282348400001
ACH-000015,-0.217076151241
ACH-000017,0.100551036698
ACH-000018,-0.12684153487
ACH-000019,-0.125786485101
ACH-000021,-0.0342409134371
ACH-000022,-0.161702239573
ACH-000025,-0.0587300128127
ACH-000028,-0.0519322692394
ACH-000030,0.0231925389047
ACH-000035,-0.241721822542
ACH-000036,-0.12789764967599998
ACH-000037,-0.09211313064269999
ACH-000039,-0.0644998627668
ACH-000040,-0.49251278883599997
ACH-000041,-0.485063518171
ACH-000042,-0.161224603563
ACH-000045,-0.061301889786099996
ACH-000047,-0.18800769580899998
ACH-000052,-0.0610555688978
ACH-000053,0.0575319531821
ACH-000054,-0.19327409761300002
ACH-000055,-0.144037526481
ACH-000060,-0.0957292833276
ACH-000067,-0.0305919135482
ACH-000070,-0.13782082576500002
ACH-000075,-0.212668204456
ACH-000078,-0.0446377860658
ACH-000082,-0.0728114591617
ACH-000085,0.080728276222
ACH-000086,-0.166035007177
ACH-000087,-0.291936136005
ACH-000092,-0.427046898461
ACH-000095,-0.0912468022334
ACH-000097,-0.141302776904
ACH-000098,0.0199941835148
ACH-000099,-0.27958475619
ACH-000108,-0.111752047621
ACH-000113,-0.422577861171
ACH-000115,-0.419371050704
ACH-000116,-0.210083258098
ACH-000118,-0.106200545261
ACH-000120,0.0644072200626
ACH-000123,-0.151727431261
ACH-000127,-0.0635350534008
ACH-000128,-0.103769156736
ACH-000132,-0.14116623758400001
ACH-000133,-0.13884122710000002
ACH-000137,-0.40884252361900003
ACH-000138,-0.21939957204100002
ACH-000142,-0.08518239502389999
ACH-000143,-0.14103262523399998
ACH-000146,-0.15858078129
ACH-000148,-0.190913808285
ACH-000150,-0.300880493538
ACH-000152,-0.169203252168
ACH-000153,-0.0772147042808
ACH-000159,-0.09351775952739999
ACH-000160,-0.12433983622000001
ACH-000163,-0.0104445103821
ACH-000167,-0.280708100323
ACH-000168,-0.457413866653
ACH-000169,-0.028959187458200003
ACH-000178,-0.167033114232
ACH-000182,-0.024325255194200004
ACH-000183,-0.189893763206
ACH-000188,-0.124751820242
ACH-000189,-0.290385025117
ACH-000190,-0.10611606733699999
ACH-000198,-0.288881408904
ACH-000204,0.18522753191100003
ACH-000206,0.058326232849199994
ACH-000207,-0.150476321693
ACH-000211,0.16442081505
ACH-000215,-0.13233787581599998
ACH-000221,0.0164883086178
ACH-000222,-0.0918209881695
ACH-000223,-0.11132726056600001
ACH-000226,0.026736885348999997
ACH-000227,-0.174137252271
ACH-000228,0.12877549721599998
ACH-000231,0.0046700731248900005
ACH-000232,-0.12652207825099998
ACH-000233,0.049225241169600004
ACH-000234,-0.11391701545399999
ACH-000235,-0.20737407798500002
ACH-000237,-0.0833085839525
ACH-000238,-0.252615337738
ACH-000243,-0.08211692588880001
ACH-000244,-0.212718290532
ACH-000246,-0.08809164977150001
ACH-000248,-0.0839471420692
ACH-000250,-0.0571126325779
ACH-000251,0.0522007734347
ACH-000253,-0.04647245500180001
ACH-000255,-0.025834650300599997
ACH-000256,-0.227651982482
ACH-000257,-0.448199412064
