,THG1L (54974)
ACH-000004,-0.7826529760100001
ACH-000007,-0.7804749418629999
ACH-000009,-0.959921318694
ACH-000011,-1.00762662323
ACH-000012,-0.845467491309
ACH-000013,-0.851432847114
ACH-000014,-0.852767276027
ACH-000015,-1.1796266101200001
ACH-000017,-0.960979305153
ACH-000018,-1.26431863079
ACH-000019,-0.566341552244
ACH-000021,-0.6783881166940001
ACH-000022,-1.0653180982100001
ACH-000025,-0.8845064127869999
ACH-000028,-0.8620727361210001
ACH-000030,-0.816996639144
ACH-000035,-0.6692240266489999
ACH-000036,-0.636009425059
ACH-000037,-1.27972477188
ACH-000039,-0.892068138421
ACH-000040,-1.0690160241600002
ACH-000041,-1.10847170564
ACH-000042,-0.7985458688510001
ACH-000045,-1.0201611377600002
ACH-000047,-0.5165283735840001
ACH-000052,-1.2073289014700002
ACH-000053,-0.662016920306
ACH-000054,-0.875635691419
ACH-000055,-0.822582063606
ACH-000060,-0.890148400279
ACH-000067,-0.758420586192
ACH-000070,-0.986718184148
ACH-000075,-1.00449460917
ACH-000078,-1.14285369711
ACH-000082,-0.571275985809
ACH-000085,-0.822194893149
ACH-000086,-0.781251436121
ACH-000087,-1.08715665879
ACH-000092,-1.00861595605
ACH-000095,-0.8735260301350001
ACH-000097,-0.8080745534720001
ACH-000098,-1.00885712605
ACH-000099,-1.01002255275
ACH-000108,-0.917028864447
ACH-000113,-0.990439402966
ACH-000115,-0.822446504371
ACH-000116,-0.9595423996789999
ACH-000118,-0.677170225518
ACH-000120,-0.7471389786139999
ACH-000123,-0.777106612386
ACH-000127,-0.83979347162
ACH-000128,-1.10919315684
ACH-000132,-1.03290295783
ACH-000133,-0.8100569898819999
ACH-000137,-0.853358081618
ACH-000138,-0.670391084708
ACH-000142,-1.3607848111399998
ACH-000143,-0.923466056784
ACH-000146,-0.740893862553
ACH-000148,-1.1855677522399999
ACH-000150,-1.06860634098
ACH-000152,-0.6459886855020001
ACH-000153,-0.876239895137
ACH-000159,-0.6932215286419999
ACH-000160,-0.8670674152169999
ACH-000163,-0.8585789384460001
ACH-000167,-0.924112809003
ACH-000168,-0.788147555726
ACH-000169,-0.925533011164
ACH-000178,-0.7428983837019999
ACH-000182,-0.613441138783
ACH-000183,-0.8576992793070001
ACH-000188,-1.03903977781
ACH-000189,-0.621370522979
ACH-000190,-0.869015234237
ACH-000198,-0.794103810609
ACH-000204,-0.877089908018
ACH-000206,-1.0771112998799999
ACH-000207,-0.7152043880490001
ACH-000211,-0.9988901881799999
ACH-000215,-1.06500377221
ACH-000221,-1.19716640682
ACH-000222,-0.549112926633
ACH-000223,-0.6612827724360001
ACH-000226,-0.6590877626789999
ACH-000227,-0.840869631155
ACH-000228,-0.678875906727
ACH-000231,-0.92034494369
ACH-000232,-0.952643350898
ACH-000233,-0.78814363964
ACH-000234,-1.28479809155
ACH-000235,-0.756423097044
ACH-000237,-0.895467115875
ACH-000238,-0.771613496301
ACH-000243,-0.827985348248
ACH-000244,-0.562728870033
ACH-000246,-1.00660302612
ACH-000248,-0.7865663082909999
ACH-000250,-0.891095599686
ACH-000251,-1.2255245971
ACH-000253,-0.836636781067
ACH-000255,-1.0213586274700002
ACH-000256,-0.785083926054
ACH-000257,-1.14113174116
ACH-000258,-1.0272837732100002
ACH-000259,-0.9359179146780001
ACH-000260,-0.8960638090270001
ACH-000261,-1.09161474909
ACH-000262,-0.7380034772509999
ACH-000263,-1.02083078279
ACH-000264,-1.0447462883299998
ACH-000265,-0.890618148369
ACH-000266,-0.703211106998
ACH-000272,-0.9801010816399999
ACH-000273,-1.1934519623200002
ACH-000274,-0.6822994537289999
ACH-000277,-0.940286180443
ACH-000278,-0.58480108399
ACH-000279,-1.29155134581
ACH-000280,-0.851289698575
ACH-000281,-0.871158361734
ACH-000288,-0.983491523696
ACH-000291,-1.02038727972
ACH-000293,-0.638141246269
ACH-000294,-0.966813709081
ACH-000295,-0.891676686252
ACH-000296,-0.894329251101
ACH-000302,-0.8437831678990001
ACH-000304,-1.10696049125
ACH-000307,-0.771761608875
ACH-000308,-0.6169792726600001
ACH-000310,-0.43526141964500004
ACH-000311,-0.6121161930479999
ACH-000312,-0.928147628907
ACH-000315,-0.933121855873
ACH-000316,-0.8292723776150001
ACH-000317,-0.925794136486
ACH-000318,-0.8308883886830001
ACH-000319,-1.0106343231200001
ACH-000320,-0.577824935499
ACH-000322,-0.664696164138
ACH-000323,-0.879512718715
ACH-000324,-0.748654550279
ACH-000329,-0.8923108428919999
ACH-000330,-0.977498403274
ACH-000331,-0.9006234597799998
ACH-000332,-0.7395986429449999
ACH-000334,-0.694247055586
ACH-000335,-1.12981276191
ACH-000336,-1.01102690904
ACH-000337,-1.06691958457
ACH-000339,-0.8157197226620001
ACH-000341,-0.983523024178
ACH-000348,-1.03804740229
ACH-000350,-0.700847039347
ACH-000352,-0.894096939589
ACH-000356,-0.876528952613
ACH-000361,-1.0316035582799998
ACH-000362,-0.8203074018150001
ACH-000363,-0.515074325927
ACH-000364,-0.653663091742
ACH-000365,-0.677263281069
ACH-000366,-1.2641092521200001
