,SDC4 (6385)
ACH-000004,-0.208952293505
ACH-000007,0.0928001087397
ACH-000009,-0.24417359186299997
ACH-000011,-0.0920456352586
ACH-000012,0.09516729251080001
ACH-000013,0.0007731568961869999
ACH-000014,-0.0998545484245
ACH-000015,-0.193151180717
ACH-000017,-0.0479689154816
ACH-000018,-0.375656552668
ACH-000019,-0.036178253326400005
ACH-000021,-0.106707314286
ACH-000022,-0.07714145743310001
ACH-000025,-0.0532242134858
ACH-000028,0.00201638338085
ACH-000030,-0.23841934840100001
ACH-000035,-0.158049676358
ACH-000036,-0.0431011674813
ACH-000037,-0.368191486312
ACH-000039,-0.055197410876799996
ACH-000040,-0.08988663633850001
ACH-000041,0.0876959733966
ACH-000042,-0.173333052692
ACH-000045,-0.0974438523384
ACH-000047,-0.0668697776793
ACH-000052,-0.261021397986
ACH-000053,-0.124185092493
ACH-000054,-0.105455484474
ACH-000055,0.0692892167119
ACH-000060,-0.26037503731199996
ACH-000067,-0.107550633909
ACH-000070,-0.009102825626780001
ACH-000075,-0.391851575418
ACH-000078,-0.0321416935898
ACH-000082,-0.23524528435699998
ACH-000085,-0.30597403119399996
ACH-000086,-0.0899454776543
ACH-000087,0.005732949571560001
ACH-000092,-0.31367006941799996
ACH-000095,-0.118648010326
ACH-000097,-0.0851775012915
ACH-000098,-0.09458738398989999
ACH-000099,-0.0964590557426
ACH-000108,-0.0604601943982
ACH-000113,-0.0739900667607
ACH-000115,-0.363101945977
ACH-000116,-0.0721971115072
ACH-000118,-0.087799787797
ACH-000120,-0.173462908775
ACH-000123,-0.10483253244799999
ACH-000127,-0.0689604562478
ACH-000128,-0.121537632904
ACH-000132,-0.0400087344608
ACH-000133,-0.312059204602
ACH-000137,-0.144830908543
ACH-000138,-0.06218924191459999
ACH-000142,-0.172119823502
ACH-000143,-0.17107624695
ACH-000146,-0.0755402255773
ACH-000148,-0.08821208096010001
ACH-000150,-0.17675483599800001
ACH-000152,0.0333151134936
ACH-000153,0.0360101481929
ACH-000159,-0.11591082810100001
ACH-000160,-0.166321879332
ACH-000163,0.00873313841749
ACH-000167,-0.33527791456399997
ACH-000168,-0.0736774562952
ACH-000169,-0.232903057777
ACH-000178,-0.17028536469900002
ACH-000182,-0.102116930092
ACH-000183,0.0131194359203
ACH-000188,-0.0585156790406
ACH-000189,-0.117566484612
ACH-000190,0.123938108136
ACH-000198,-0.108711180613
ACH-000204,0.284017927396
ACH-000206,-0.0733060862105
ACH-000207,-0.320483317188
ACH-000211,-0.205084070433
ACH-000215,-0.022265419121400003
ACH-000221,-0.14526466306500002
ACH-000222,-0.13529261423299999
ACH-000223,-0.0776383167647
ACH-000226,0.039870305195599996
ACH-000227,-0.198205080087
ACH-000228,-0.266882320068
ACH-000231,-0.23635956136
ACH-000232,-0.0310051096619
ACH-000233,-0.06332576322769999
ACH-000234,-0.311668593928
ACH-000235,-0.142963984452
ACH-000237,-0.0346378457862
ACH-000238,-0.11151123835599999
ACH-000243,-0.0828045488553
ACH-000244,-0.13583297373
ACH-000246,-0.17880950594099998
ACH-000248,-0.232884283851
ACH-000250,-0.107795258622
ACH-000251,-0.20238465994899998
ACH-000253,-0.09805998551819999
ACH-000255,-0.241114881428
ACH-000256,-0.0669551421414
ACH-000257,-0.240111784947
ACH-000258,-0.107586534899
ACH-000259,-0.082584339041
ACH-000260,-0.017627470242400002
ACH-000261,-0.136412932475
ACH-000262,0.0720362080077
ACH-000263,-0.106439368423
ACH-000264,-0.144110251854
ACH-000265,-0.128228954948
ACH-000266,-0.110694088971
ACH-000272,-0.12288937511800001
ACH-000273,-0.162848428148
ACH-000274,-0.23805257845199998
ACH-000277,-0.486845444455
ACH-000278,-0.0378170326009
ACH-000279,0.188130975416
ACH-000280,-0.178446790517
ACH-000281,-0.141723568203
ACH-000288,-0.0813162246596
ACH-000291,-0.23432682035799998
ACH-000293,-0.161059420877
ACH-000294,-0.130017795025
ACH-000295,-0.36594396429
ACH-000296,-0.177599748092
ACH-000302,0.0648778855339
ACH-000304,-0.14393291799900002
ACH-000307,-0.12878120875600002
ACH-000308,-0.0470850511249
ACH-000310,-0.0187074965612
ACH-000311,0.0138684202033
