,GINS1 (9837)
ACH-000004,-1.6321573249399999
ACH-000007,-1.7499204589700001
ACH-000009,-1.66603760632
ACH-000011,-1.45524677481
ACH-000012,-1.5207968956600002
ACH-000013,-1.8449395494
ACH-000014,-1.6317202919799998
ACH-000015,-1.4724995941799999
ACH-000017,-1.4323225160100002
ACH-000018,-1.4091960645500001
ACH-000019,-1.8620335044499998
ACH-000021,-1.34057382548
ACH-000022,-1.99255027958
ACH-000025,-1.46851587695
ACH-000028,-1.37803944434
ACH-000030,-1.57087026403
ACH-000035,-1.22188876407
ACH-000036,-1.38499344222
ACH-000037,-0.5620786105910001
ACH-000039,-1.7439340223
ACH-000040,-1.59482926706
ACH-000041,-1.27072736468
ACH-000042,-1.3891614832199999
ACH-000045,-1.84809937613
ACH-000047,-1.4078092250999998
ACH-000052,-1.08853184923
ACH-000053,-1.51152774052
ACH-000054,-1.5225582847699999
ACH-000055,-1.4478626589899999
ACH-000060,-1.5174645703100003
ACH-000067,-1.7052048841
ACH-000070,-1.6993771849000001
ACH-000075,-1.71687759407
ACH-000078,-1.73210473873
ACH-000082,-1.62044922151
ACH-000085,-1.6773728230899998
ACH-000086,-1.55316386252
ACH-000087,-1.4720487561200002
ACH-000092,-1.6884445191
ACH-000095,-1.90133782985
ACH-000097,-1.5673384589
ACH-000098,-1.61749458681
ACH-000099,-1.898879465
ACH-000108,-1.49360138377
ACH-000113,-1.6533142247400001
ACH-000115,-1.9221761329799998
ACH-000116,-1.50277741028
ACH-000118,-1.42549707918
ACH-000120,-1.4552571612799998
ACH-000123,-1.49889325671
ACH-000127,-1.59510661555
ACH-000128,-1.6870024968700001
ACH-000132,-1.55633206792
ACH-000133,-1.6039890474899998
ACH-000137,-1.6805925630399998
ACH-000138,-1.62511548006
ACH-000142,-1.36358262011
ACH-000143,-1.5708450781799999
ACH-000146,-1.97685060782
ACH-000148,-1.4543420198399999
ACH-000150,-1.60409196539
ACH-000152,-1.8191072677400002
ACH-000153,-1.9101995007700001
ACH-000159,-1.73634260998
ACH-000160,-1.60471722444
ACH-000163,-1.4380818741899999
ACH-000167,-2.18220087657
ACH-000168,-1.6434614101299998
ACH-000169,-1.5460741575999999
ACH-000178,-1.60003793896
ACH-000182,-1.71742994305
ACH-000183,-1.6707236267399999
ACH-000188,-1.4571772486599999
ACH-000189,-1.8504965499500001
ACH-000190,-1.9829313500299999
ACH-000198,-1.51434738491
ACH-000204,-1.69626147688
ACH-000206,-1.5047102056400001
ACH-000207,-2.0418163679599997
ACH-000211,-1.6695491428100002
ACH-000215,-1.75423592018
ACH-000221,-1.51664340427
ACH-000222,-1.70090260572
ACH-000223,-1.6250923774700001
ACH-000226,-1.55381354347
ACH-000227,-1.56149176095
ACH-000228,-1.5226131422600002
ACH-000231,-1.5234027689200003
ACH-000232,-1.4962302353499999
ACH-000233,-1.39704091341
ACH-000234,-1.29968285551
ACH-000235,-1.6024477260299999
ACH-000237,-1.5558719485199999
ACH-000238,-1.6390465719299998
ACH-000243,-1.6221175780000001
ACH-000244,-1.5576950899700002
ACH-000246,-1.61558692274
ACH-000248,-1.60944399416
ACH-000250,-1.4997364083899998
ACH-000251,-1.14164861113
ACH-000253,-1.557941695
ACH-000255,-1.4354630231999999
ACH-000256,-1.5306872073
ACH-000257,-1.47070370331
ACH-000258,-1.60623887059
ACH-000259,-1.5493460566
ACH-000260,-1.6636562668500001
ACH-000261,-1.73126845065
ACH-000262,-1.40334749276
ACH-000263,-1.54797040416
ACH-000264,-1.7638353093
ACH-000265,-1.32033450602
ACH-000266,-1.6126103347100003
ACH-000272,-1.51996052296
ACH-000273,-1.5987041675
ACH-000274,-1.7412093179199999
ACH-000277,-1.59409884101
ACH-000278,-1.8904057151400002
ACH-000279,-1.85828089551
ACH-000280,-1.7530974961
ACH-000281,-1.32296486066
ACH-000288,-1.5472206790399998
ACH-000291,-1.74939218336
ACH-000293,-1.4254621552000002
ACH-000294,-1.8708139596000002
ACH-000295,-1.94485615229
ACH-000296,-1.7657025424500001
ACH-000302,-1.43838449668
ACH-000304,-1.3717088297100002
ACH-000307,-1.439936549
ACH-000308,-1.50416992256
ACH-000310,-1.8548804088900004
