,CBY1 (25776)
ACH-000004,-0.13205311209
ACH-000007,-0.192059579797
ACH-000009,-0.196496709745
ACH-000011,-0.12018744352499999
ACH-000012,-0.150373123338
ACH-000013,-0.177787556327
ACH-000014,-0.386396012835
ACH-000015,-0.277508150141
ACH-000017,-0.024155030764200003
ACH-000018,-0.0749126712834
ACH-000019,-0.22976618511100003
ACH-000021,-0.137148233812
ACH-000022,0.111100908404
ACH-000025,-0.148670438755
ACH-000028,-0.101549025905
ACH-000030,-0.260176954355
ACH-000035,-0.11300451348
ACH-000036,-0.118700076281
ACH-000037,-0.184190876773
ACH-000039,-0.21852177421
ACH-000040,0.217227134245
ACH-000041,-0.128800299334
ACH-000042,-0.388356698828
ACH-000045,0.0217391252921
ACH-000047,-0.109524948488
ACH-000052,-0.29747226059500004
ACH-000053,-0.196368017229
ACH-000054,-0.14210635990999998
ACH-000055,-0.307545606334
ACH-000060,-0.11791856859000001
ACH-000067,-0.31031285126200003
ACH-000070,-0.244792852117
ACH-000075,-0.143419351222
ACH-000078,-0.21771397920699997
ACH-000082,0.163328199513
ACH-000085,-0.0154663240882
ACH-000086,0.0628470249627
ACH-000087,0.17482732439800003
ACH-000092,-0.232818741328
ACH-000095,-0.125679462435
ACH-000097,-0.038795176863099995
ACH-000098,-0.13306215938899998
ACH-000099,-0.13271613978
ACH-000108,-0.247948276774
ACH-000113,-0.0579224559679
ACH-000115,-0.20276470684
ACH-000116,-0.024315532727200002
ACH-000118,-0.100364938134
ACH-000120,0.032773483725900006
ACH-000123,-0.0727277268751
ACH-000127,0.0841332014439
ACH-000128,0.0347539485701
ACH-000132,-0.1627085292
ACH-000133,-0.020216293341000002
ACH-000137,-0.143475180187
ACH-000138,0.118816128475
ACH-000142,-0.0379330120823
ACH-000143,-0.12456180040300001
ACH-000146,0.0386185850276
ACH-000148,-0.037062425181
ACH-000150,-0.17351447351100002
ACH-000152,0.016737629095399997
ACH-000153,-0.308445984836
ACH-000159,0.00148662586159
ACH-000160,-0.23763444289299998
ACH-000163,0.112586607419
ACH-000167,-0.158136342411
ACH-000168,-0.0191165745718
ACH-000169,-0.17040653314800003
ACH-000178,-0.0677597035525
ACH-000182,-0.116999393225
ACH-000183,-0.12125376477199999
ACH-000188,-0.09048861805500001
ACH-000189,0.0402848090124
