,H3F3C (440093)
ACH-000004,-0.0692709142056
ACH-000007,-0.414212565813
ACH-000009,-0.300502266138
ACH-000011,-0.654772531973
ACH-000012,-0.15825886
ACH-000013,-0.21492298945500002
ACH-000014,-0.299030901321
ACH-000015,-0.299296428555
ACH-000017,-0.312143315383
ACH-000018,-0.106039497969
ACH-000019,-0.313845341723
ACH-000021,-0.29610074745000003
ACH-000022,-0.595336965157
ACH-000025,-0.328944953917
ACH-000028,-0.432847075467
ACH-000030,-0.20341756723700002
ACH-000035,-0.233677962167
ACH-000036,-0.33281772238
ACH-000037,-0.32848963996999997
ACH-000039,-0.442579847411
ACH-000040,-0.531006146662
ACH-000041,-0.37082990159999996
ACH-000042,-0.379020026308
ACH-000045,-0.34708849665799996
ACH-000047,-0.233810635703
ACH-000052,-0.230690577954
ACH-000053,-0.335954802308
ACH-000054,-0.38008228504299996
ACH-000055,-0.169735738011
ACH-000060,-0.553999282647
ACH-000067,-0.33777116698
ACH-000070,-0.289980186866
ACH-000075,-0.35843683314400004
ACH-000078,-0.49649172620899995
ACH-000082,-0.260118700822
ACH-000085,-0.537904140655
ACH-000086,-0.247280436754
ACH-000087,-0.45671854937600004
ACH-000092,-0.17437122263399998
ACH-000095,-0.5931376392100001
ACH-000097,-0.304467697197
ACH-000098,-0.35564754274899996
ACH-000099,-0.6387115607689999
ACH-000108,0.009224612686780001
ACH-000113,-0.201308572225
ACH-000115,-0.40834729884599996
ACH-000116,-0.525100322472
ACH-000118,-0.34498473721999995
ACH-000120,-0.37524513558300004
ACH-000123,-0.24096011434300002
ACH-000127,-0.23211355792100002
ACH-000128,-0.23951391113899997
ACH-000132,-0.11991558806199999
ACH-000133,-0.235571357791
ACH-000137,-0.312127846093
ACH-000138,-0.311849198821
ACH-000142,-0.490726758449
ACH-000143,-0.289576756663
ACH-000146,-0.4462076423
ACH-000148,-0.36211506318099995
ACH-000150,-0.469621940286
ACH-000152,-0.344571120139
ACH-000153,-0.21474473869199998
ACH-000159,-0.273226989564
ACH-000160,0.21189522342599998
ACH-000163,-0.29090498483800004
ACH-000167,0.454274369293
ACH-000168,-0.347683597808
ACH-000169,-0.542241799946
ACH-000178,-0.37051669105499996
ACH-000182,-0.306254012937
ACH-000183,-0.368388855838
ACH-000188,-0.33996674042099995
ACH-000189,-0.660027323089
ACH-000190,0.21414258055
ACH-000198,-0.38229878994499994
ACH-000204,-0.613142100687
ACH-000206,-0.31169387623399997
ACH-000207,-0.243349588814
ACH-000211,-0.517282760298
ACH-000215,-0.371840347834
ACH-000221,-0.435960253564
ACH-000222,-0.22379171726100003
ACH-000223,-0.440069051907
ACH-000226,-0.364971213639
ACH-000227,-0.510005517622
ACH-000228,-0.406930604553
ACH-000231,-0.269593144778
ACH-000232,-0.507680931719
ACH-000233,-0.283754069763
ACH-000234,-0.486284262407
ACH-000235,-0.198800904201
ACH-000237,-0.134478253826
ACH-000238,-0.30960912801199997
ACH-000243,-0.25111948895799996
ACH-000244,-0.152473120504
ACH-000246,-0.276741570765
ACH-000248,-0.288911458966
ACH-000250,-0.44530493601000004
ACH-000251,-0.437692075938
ACH-000253,-0.273993387269
ACH-000255,-0.5522284654330001
ACH-000256,-0.21284097331799998
ACH-000257,-0.6373992159740001
ACH-000258,-0.330647371603
ACH-000259,-0.310311698299
ACH-000260,-0.259055477478
ACH-000261,-0.431526975495
ACH-000262,-0.195996518005
ACH-000263,-0.810549257864
ACH-000264,-0.5000185539190001
ACH-000265,-0.354151152929
ACH-000266,-0.37936288118
ACH-000272,-0.335155123878
ACH-000273,-0.08875263793160001
ACH-000274,-0.425021495723
ACH-000277,-0.295224287015
ACH-000278,-0.12530688869999998
ACH-000279,-0.416436419798
ACH-000280,-0.391329505405
ACH-000281,-0.340001747262
ACH-000288,-0.408784134949
ACH-000291,-0.410793344363
ACH-000293,-0.7002150613779999
ACH-000294,-0.373059187233
ACH-000295,-0.316579815473
ACH-000296,-0.392871302803
ACH-000302,-0.286160905059
ACH-000304,-0.396986607213
ACH-000307,-0.394665579905
ACH-000308,-0.25093019103799996
ACH-000310,-0.386861124026
ACH-000311,-0.205854673979
ACH-000312,-0.33961809043700003
ACH-000315,-0.377798328773
ACH-000316,-0.34905279913000004
ACH-000317,-0.363691425634
ACH-000318,-0.405776478108
ACH-000319,-0.385622197482
ACH-000320,-0.301537720727
ACH-000322,-0.5038050182289999
ACH-000323,-0.385894329907
ACH-000324,-0.608140332176
ACH-000329,-0.38674827265
ACH-000330,-0.36224280913199997
ACH-000331,-0.407674649771
ACH-000332,-0.328754985825
ACH-000334,-0.41431154971600004
ACH-000335,-0.7091749430679999
ACH-000336,-0.376453078507
ACH-000337,-0.32786933094099996
