,PA2G4 (5036)
ACH-000004,-0.308127782214
ACH-000007,-0.35567901119199996
ACH-000009,-0.382322127893
ACH-000011,-0.365641109915
ACH-000012,-0.300014833535
ACH-000013,-0.401181355483
ACH-000014,-0.401444455366
ACH-000015,-0.546877291369
ACH-000017,-0.293386279194
ACH-000018,-0.495760754142
ACH-000019,-0.480956184652
ACH-000021,-0.39874775915
ACH-000022,-0.285975335266
ACH-000025,-0.416268838709
ACH-000028,-0.26255195477800003
ACH-000030,-0.48249578638
ACH-000035,-0.430219624201
ACH-000036,-0.4827610499600001
ACH-000037,-0.585136613372
ACH-000039,-0.463198916686
ACH-000040,-0.556129195913
ACH-000041,-0.415710889446
ACH-000042,-0.403722946268
ACH-000045,-0.18532037081500002
ACH-000047,-0.226224395992
ACH-000052,-0.312023926048
ACH-000053,-0.30251967899300003
ACH-000054,-0.35012775415200004
ACH-000055,-0.560540712473
ACH-000060,-0.0488369481503
ACH-000067,-0.341441024816
ACH-000070,-0.315998208296
ACH-000075,-0.364605594118
ACH-000078,-0.589969375828
ACH-000082,-0.37580515721100005
ACH-000085,-0.8186266037919999
ACH-000086,-0.35441119482699995
ACH-000087,-0.398202996691
ACH-000092,-0.420681425604
ACH-000095,-0.362386600288
ACH-000097,-0.40605447781599996
ACH-000098,-0.0389219404311
ACH-000099,-0.313544907667
ACH-000108,-0.271924561733
ACH-000113,-0.322341344296
ACH-000115,-0.355888077646
ACH-000116,-0.581234971126
ACH-000118,-0.361855940004
ACH-000120,-0.491794173271
ACH-000123,-0.724809923829
ACH-000127,-0.508893412137
ACH-000128,-0.605877662694
ACH-000132,-0.472039752671
ACH-000133,-0.34227910544
ACH-000137,-0.490559634763
ACH-000138,-0.368996411969
ACH-000142,0.017478526838
ACH-000143,-0.705818598275
ACH-000146,-0.43368496156999997
ACH-000148,-0.475204081083
ACH-000150,-0.33724508442199996
ACH-000152,-0.59098772397
ACH-000153,-0.371423538764
ACH-000159,-0.178547537379
ACH-000160,-0.48424618205700004
ACH-000163,-0.40161782173699995
ACH-000167,-0.333020492898
ACH-000168,-0.370479539249
ACH-000169,-0.406686293433
ACH-000178,-0.340390714805
ACH-000182,-0.46259703063100005
ACH-000183,-0.38757717653499996
ACH-000188,-0.41380295108599996
ACH-000189,-0.579843244357
ACH-000190,-0.332344504978
ACH-000198,-0.268330205385
ACH-000204,-0.405871785404
ACH-000206,-0.36597594594300004
ACH-000207,-0.34465587212899995
ACH-000211,-0.18787549162999997
ACH-000215,-0.204655246319
ACH-000221,-0.362689521398
ACH-000222,-0.053698619328800004
ACH-000223,-0.391113304702
ACH-000226,-0.213401397187
ACH-000227,-0.122632542547
ACH-000228,-0.236749365031
ACH-000231,-0.369526258469
ACH-000232,-0.646401978482
ACH-000233,-0.315956273268
ACH-000234,-0.41020559464100004
ACH-000235,-0.366051139933
ACH-000237,-0.66644304657
ACH-000238,-0.37632687885399996
ACH-000243,-0.427794699074
ACH-000244,-0.7103172700210001
ACH-000246,-0.513988236139
ACH-000248,-0.238323072251
ACH-000250,-0.2443277852
ACH-000251,-0.5546898856520001
ACH-000253,-0.42674587692
ACH-000255,-0.392146935116
ACH-000256,-0.668667537675
ACH-000257,-0.23437827929299998
ACH-000258,-0.124075385723
ACH-000259,-0.27348633220400004
ACH-000260,-0.512668642096
ACH-000261,-0.303600301977
ACH-000262,-0.122550211687
ACH-000263,-0.6013202401709999
ACH-000264,-0.222147619723
ACH-000265,-0.415402193287
ACH-000266,-0.609668642808
ACH-000272,-0.268801604921
ACH-000273,-0.6101587348040001
ACH-000274,-0.226221360422
ACH-000277,-0.5285826056740001
ACH-000278,-0.394208823746
ACH-000279,-0.38036528715
ACH-000280,-0.170192919364
ACH-000281,-0.374731228077
ACH-000288,-0.29190173988
ACH-000291,-0.555804207036
ACH-000293,-0.627353209683
ACH-000294,-0.455657029023
ACH-000295,-0.365390310177
ACH-000296,-0.36535187940999997
ACH-000302,-0.309020246448
ACH-000304,-0.06449573629909999
ACH-000307,-0.290282669173
ACH-000308,-0.34379520725900004
ACH-000310,-0.336129989011
ACH-000311,-0.116629075515
ACH-000312,-0.259228594771
ACH-000315,-0.397564085709
ACH-000316,-0.294870509203
ACH-000317,-0.5659389146079999
ACH-000318,-0.418616173604
ACH-000319,-0.46376857217100004
ACH-000320,-0.302380457699
ACH-000322,-0.584087019698
ACH-000323,-0.381586492465
ACH-000324,-0.222478935547
ACH-000329,-0.238210575884
ACH-000330,-0.110400582617
ACH-000331,-0.30424955226399997
ACH-000332,-0.389003644279
ACH-000334,-0.254395169707
ACH-000335,-0.253563738622
ACH-000336,-0.526797774163
ACH-000337,-0.350498007631
ACH-000339,-0.18029335014400003
ACH-000341,-0.512640639848
ACH-000348,-0.383649436646
ACH-000350,-0.07789500034539999
ACH-000352,-0.39753363561899996
ACH-000356,-0.190615423703
ACH-000361,-0.0454693022399
ACH-000362,-0.613593027861
ACH-000363,-0.39456494383199997
ACH-000364,-0.63314780352
ACH-000365,-0.616495860164
ACH-000366,-0.45784983461
ACH-000368,-0.428707492954
ACH-000374,-0.0891186024017
ACH-000375,-0.542003519586
ACH-000376,-0.377720220995
ACH-000381,-0.0661517008514
ACH-000383,-0.307468963192
ACH-000387,-0.151097070286
ACH-000389,-0.55890204455
ACH-000390,-0.35753265426200004
ACH-000393,-0.37891536625
ACH-000395,-0.464759818213
ACH-000397,-0.09035385041089998
ACH-000401,-0.37139389339900003
ACH-000402,-0.176471924903
ACH-000403,-0.17067166825599997
ACH-000404,-0.497815201117
ACH-000406,-0.19006117614999998
ACH-000407,-0.447368425171
ACH-000408,-0.262378723566
ACH-000410,-0.474560444392
ACH-000411,-0.39466805633100005
ACH-000414,-0.319712603469
ACH-000415,-0.263256408026
ACH-000416,-0.46115161723399994
ACH-000420,-0.428951501828
ACH-000421,-0.23123308874899998
ACH-000424,-0.64394768089
ACH-000425,-0.265355186008
ACH-000426,-0.179796399467
ACH-000427,-0.133251952476
ACH-000433,-0.632734273513
ACH-000436,-0.464222232148
ACH-000444,-0.48085666412199995
ACH-000445,-0.029091678022699997
ACH-000448,-0.5647328100010001
ACH-000450,-0.156344809221
ACH-000452,-0.39193045402800003
ACH-000454,-0.575962381079
ACH-000458,-0.392827491985
ACH-000459,-0.301535796158
ACH-000460,-0.35719486769500003
ACH-000461,-0.292273388728
ACH-000463,-0.4217063388699999
ACH-000464,-0.399683385364
ACH-000466,0.0306300318007
ACH-000467,-0.363064484489
ACH-000468,-0.48939410890100005
ACH-000469,-0.0896847091733
ACH-000470,-0.33805328204
ACH-000471,-0.31157158210499997
ACH-000472,-0.283948903759
ACH-000473,-0.27481162153099997
ACH-000475,-0.45545075453100003
ACH-000476,-0.408960200839
ACH-000477,-0.332804716259
ACH-000480,-0.194224664808
ACH-000481,-0.379844298332
ACH-000483,-0.42265620125799996
ACH-000484,-0.34018241452500003
ACH-000485,-0.401551405224
ACH-000486,-0.247505292492
ACH-000487,0.023406197916299998
ACH-000488,-0.347890331698
ACH-000490,-0.42298158593099994
ACH-000491,-0.581536896492
ACH-000495,-0.809780481235
ACH-000496,-0.890192788521
ACH-000499,-0.041549312727099996
ACH-000500,0.0623610385903
ACH-000502,-0.315615066903
ACH-000503,-0.250389128469
ACH-000505,-0.363134543104
ACH-000507,-0.263860124953
ACH-000510,-0.1614390125
ACH-000511,-0.287681449496
ACH-000512,-0.48748822007799997
ACH-000516,-0.563873792532
ACH-000517,-0.46068233231000005
ACH-000518,-0.139405565372
ACH-000520,-0.36851729148199996
ACH-000521,-0.43525539531499996
ACH-000522,-0.264686609157
ACH-000524,-0.37087775665399997
ACH-000527,-0.318603074812
ACH-000528,0.0104743037985
ACH-000537,-0.401084005308
ACH-000541,-0.319950892602
ACH-000542,-0.531075188694
ACH-000544,-0.872367250445
ACH-000545,-0.432422214343
ACH-000547,-0.257985037063
ACH-000548,-0.419606627356
ACH-000549,-0.45128744009099997
ACH-000550,-0.5277839260320001
ACH-000552,-0.6747264495280001
ACH-000556,-0.33677059080899996
ACH-000557,-0.168740834018
ACH-000570,-0.682462057897
ACH-000571,-0.373362218832
ACH-000573,-0.346118221158
ACH-000576,-0.406610683137
