,SPATS1 (221409)
ACH-000004,-0.20863811456
ACH-000007,-0.197981803697
ACH-000009,-0.151484214796
ACH-000011,0.10976343964400001
ACH-000012,-0.253407519578
ACH-000013,-0.25278604914999997
ACH-000014,-0.28482245042599996
ACH-000015,-0.207362234602
ACH-000017,-0.127321650177
ACH-000018,-0.11498707517000001
ACH-000019,-0.404675897915
ACH-000021,-0.24827737309300002
ACH-000022,-0.06588673847439999
ACH-000025,-0.30126283677
ACH-000028,-0.28162184419799996
ACH-000030,-0.126900499693
ACH-000035,-0.33533378259
ACH-000036,-0.245184189117
ACH-000037,0.0228604712164
ACH-000039,-0.25632239313
ACH-000040,-0.282379691776
ACH-000041,-0.041484495549900004
ACH-000042,-0.289687046897
ACH-000045,-0.17912985025800002
ACH-000047,-0.299920192989
ACH-000052,-0.26804193009300004
ACH-000053,-0.275445371073
ACH-000054,-0.171891938908
ACH-000055,-0.0608298743744
ACH-000060,-0.357481537877
ACH-000067,-0.252147670359
ACH-000070,-0.41498387062200004
ACH-000075,-0.350753431114
ACH-000078,-0.210911952509
ACH-000082,-0.170430665581
ACH-000085,-0.167169634495
ACH-000086,-0.284689057642
ACH-000087,-0.252218243799
ACH-000092,-0.0340241389996
ACH-000095,-0.118980276905
ACH-000097,-0.172427941547
ACH-000098,-0.20101765460299997
ACH-000099,-0.181229859397
ACH-000108,-0.22044950348700001
ACH-000113,-0.215655421021
ACH-000115,-0.279921204186
ACH-000116,-0.142818338656
ACH-000118,-0.256470727509
ACH-000120,-0.224549594683
ACH-000123,-0.234495462032
ACH-000127,-0.23383382059399999
ACH-000128,-0.139716903351
ACH-000132,-0.047919301328
ACH-000133,-0.264843647608
ACH-000137,-0.0790136508274
ACH-000138,-0.268527265899
ACH-000142,-0.314962757174
ACH-000143,-0.304231195155
ACH-000146,-0.18228775530000002
ACH-000148,-0.13365854697000001
ACH-000150,-0.0436155490789
ACH-000152,-0.176700523245
ACH-000153,0.09796090890069999
ACH-000159,-0.33956477513800004
ACH-000160,-0.20640931346500002
ACH-000163,-0.163324943059
ACH-000167,0.06964049661730001
ACH-000168,-0.152136118723
ACH-000169,-0.0389446012
ACH-000178,-0.116555769561
ACH-000182,-0.11703941414100001
ACH-000183,-0.094094658367
ACH-000188,-0.263404138742
ACH-000189,-0.07302648644
ACH-000190,-0.296640837778
ACH-000198,-0.14334300669800001
ACH-000204,-0.45216226365
ACH-000206,-0.464647712485
ACH-000207,-0.859880562413
ACH-000211,-0.0406254982649
ACH-000215,-0.276653964214
ACH-000221,-0.0871988441557
ACH-000222,-0.374316514383
ACH-000223,-0.420226664516
ACH-000226,-0.07131152347980001
ACH-000227,0.05683225494369999
ACH-000228,-0.507453469646
ACH-000231,-0.18839275413400003
ACH-000232,-0.0930881326942
ACH-000233,-0.325574220589
ACH-000234,0.15893109202199998
ACH-000235,-0.192322368592
ACH-000237,0.011292119464799999
ACH-000238,-0.286025448756
ACH-000243,-0.282956619916
ACH-000244,-0.30953706698000005
ACH-000246,-0.0138717269441
ACH-000248,-0.256331825358
ACH-000250,-0.202036669893
ACH-000251,-0.0106737054718
ACH-000253,-0.11122648427300001
ACH-000255,-0.116803939459
ACH-000256,-0.249475628675
ACH-000257,-0.135411606448
ACH-000258,-0.046580571167800004
ACH-000259,-0.293394736146
ACH-000260,-0.272229120773
ACH-000261,-0.131571400055
ACH-000262,-0.089190635748
ACH-000263,-0.288332542603
ACH-000264,-0.128511235183
ACH-000265,-0.173266464117
ACH-000266,-0.246286866536
ACH-000272,-0.363727375014
ACH-000273,-0.37459373083
ACH-000274,-0.15075401482999998
ACH-000277,-0.120249783618
ACH-000278,-0.20719588815900003
ACH-000279,-0.186671700114
ACH-000280,-0.269046320761
ACH-000281,-0.314251544775
ACH-000288,-0.138468043518
ACH-000291,-0.11221082791300001
ACH-000293,-0.200217976609
ACH-000294,-0.24118960079100002
ACH-000295,-0.292493906886
ACH-000296,-0.18597177429099998
ACH-000302,-0.17812572064399998
ACH-000304,-0.346266605002
ACH-000307,-0.154646909262
ACH-000308,-0.202860879021
ACH-000310,-0.18208680950999998
ACH-000311,-0.308817294316
ACH-000312,-0.279478149011
ACH-000315,0.0928188390275
ACH-000316,-0.222245218264
ACH-000317,0.06959022829360001
ACH-000318,-0.16208683308
ACH-000319,-0.196124329816
ACH-000320,-0.41003913870700004
ACH-000322,-0.207403687975
ACH-000323,-0.364660631025
ACH-000324,-0.10252092387299999
