,SAFB2 (9667)
ACH-000004,-0.206693246627
ACH-000007,-0.246404873706
ACH-000009,-0.273152453468
ACH-000011,-0.234551715878
ACH-000012,-0.11263650839400001
ACH-000013,-0.11466238123500001
ACH-000014,-0.078023079748
ACH-000015,-0.225488689811
ACH-000017,-0.190359924647
ACH-000018,-0.353355895137
ACH-000019,-0.234680799479
ACH-000021,-0.219730878039
ACH-000022,-0.247406870656
ACH-000025,-0.207747239828
ACH-000028,-0.443840844084
ACH-000030,-0.16056221428300002
ACH-000035,-0.00388016306562
ACH-000036,-0.156135966731
ACH-000037,-0.128487926788
ACH-000039,-0.369833944617
ACH-000040,-0.276515310772
ACH-000041,-0.100488611099
ACH-000042,-0.0169544379084
ACH-000045,0.0622114695996
ACH-000047,-0.107662480427
ACH-000052,-0.13113898695
ACH-000053,-0.15548519074
ACH-000054,-0.188541159623
ACH-000055,0.006002233612340001
ACH-000060,-0.0465146691209
ACH-000067,-0.175415033202
ACH-000070,-0.049277875720199996
ACH-000075,-0.227878033622
ACH-000078,-0.157856705327
ACH-000082,-0.141474560335
ACH-000085,-0.382984817232
ACH-000086,-0.29086641330400004
ACH-000087,-0.339805697176
ACH-000092,-0.181499051892
ACH-000095,-0.37880713273199995
ACH-000097,-0.153361508674
ACH-000098,-0.329548870927
ACH-000099,-0.295790049721
ACH-000108,-0.207784367148
ACH-000113,-0.20328340830699998
ACH-000115,-0.43360193136999997
ACH-000116,-0.145327903224
ACH-000118,-0.277362617974
ACH-000120,-0.440291004899
ACH-000123,-0.3659419846
ACH-000127,-0.265379503212
ACH-000128,-0.22760329146299998
ACH-000132,-0.164233242002
ACH-000133,-0.134917840167
ACH-000137,-0.374587287993
ACH-000138,-0.154195349151
ACH-000142,-0.167820091541
ACH-000143,-0.16233145951
ACH-000146,-0.131422161595
ACH-000148,-0.0705941571922
ACH-000150,-0.0984047240212
ACH-000152,0.0502107819158
ACH-000153,-0.16397415115
ACH-000159,-0.0734229046513
ACH-000160,0.0682881149028
ACH-000163,-0.23080942553199998
ACH-000167,-0.272995742536
ACH-000168,-0.233488084851
ACH-000169,-0.16546555711400002
ACH-000178,-0.18614446921
ACH-000182,-0.140804787632
ACH-000183,-0.28087587354800003
ACH-000188,-0.365533512422
ACH-000189,-0.189641830035
ACH-000190,-0.20863291615200003
ACH-000198,0.04988028982940001
ACH-000204,-0.644030642829
ACH-000206,-0.256253867418
ACH-000207,-0.160685382821
ACH-000211,-0.310654963673
ACH-000215,-0.129483322938
ACH-000221,0.0510557135701
ACH-000222,-0.498354097214
ACH-000223,-0.17513251930399998
ACH-000226,-0.378684041341
ACH-000227,-0.224260666134
ACH-000228,-0.08971033925510001
ACH-000231,-0.145554150258
ACH-000232,-0.0744201446951
ACH-000233,-0.181098419373
ACH-000234,-0.4795067829
ACH-000235,-0.193322080845
ACH-000237,-0.037606651361800005
ACH-000238,-0.15299076299
ACH-000243,-0.225694738003
ACH-000244,0.0611083901998
ACH-000246,-0.277903884137
ACH-000248,-0.20416092548700002
ACH-000250,-0.192757587907
ACH-000251,-0.438527709818
ACH-000253,-0.20539095102000002
ACH-000255,-0.09702273500690001
ACH-000256,0.000569982836899
ACH-000257,0.0638314694107
ACH-000258,-0.114263262817
ACH-000259,-0.07606189685810001
ACH-000260,-0.519759819083
ACH-000261,-0.0837862472048
ACH-000262,-0.090875160518
ACH-000263,-0.026409784351200002
ACH-000264,-0.236157182746
ACH-000265,-0.0048577362041000004
ACH-000266,-0.148236237817
ACH-000272,-0.180901133204
ACH-000273,-0.0269205955009
ACH-000274,-0.160166944988
ACH-000277,-0.110003681544
ACH-000278,-0.142456130835
ACH-000279,-0.0946847023948
ACH-000280,-0.12169358957999998
ACH-000281,-1.2720861845000003e-05
ACH-000288,-0.0059272067851599995
ACH-000291,-0.279542632011
ACH-000293,-0.181815886064
ACH-000294,-0.501680577636
ACH-000295,-0.0362955941635
ACH-000296,-0.274706047462
ACH-000302,-0.294169298109
ACH-000304,-0.191846514825
ACH-000307,-0.170329373359
ACH-000308,-0.09663255805479999
ACH-000310,-0.171818158235
ACH-000311,-0.224757452246
ACH-000312,-0.257759509333
ACH-000315,-0.0882791119863
ACH-000316,0.127279721697
ACH-000317,-0.00494211530733
ACH-000318,-0.0437078749318
ACH-000319,-0.43405442963999996
ACH-000320,-0.027911467928200002
ACH-000322,-0.0723088314123
ACH-000323,-0.27159321630600003
ACH-000324,-0.26375523311500004
ACH-000329,-0.0421004200975
ACH-000330,-0.20024414842099997
ACH-000331,-0.210049159234
ACH-000332,-0.174645120707
ACH-000334,-0.258072192055
ACH-000335,-0.14526387784800002
ACH-000336,-0.0028777782716399997
ACH-000337,-0.358204623843
ACH-000339,-0.24090616539700002
ACH-000341,-0.463552029899
ACH-000348,-0.195660146462
ACH-000350,-0.0858673702898
ACH-000352,-0.168542696019
ACH-000356,-0.289147160338
ACH-000361,-0.6441152157810001
ACH-000362,-0.0842469917626
ACH-000363,-0.149680176272
ACH-000364,-0.18657841185600002
