,RPS6KC1 (26750)
ACH-000004,-0.22950858278
ACH-000007,-0.265782473409
ACH-000009,-0.514256804423
ACH-000011,-0.0160499110644
ACH-000012,-0.121516156316
ACH-000013,-0.19046149919799998
ACH-000014,0.0957071002672
ACH-000015,-0.162648924813
ACH-000017,-0.23837754932500002
ACH-000018,-0.0098340358142
ACH-000019,0.08676688479229999
ACH-000021,-0.1720460869
ACH-000022,-0.012982668157799998
ACH-000025,-0.18939103400899998
ACH-000028,-0.0391480996439
ACH-000030,-0.167493819515
ACH-000035,-0.10871943110200001
ACH-000036,-0.062283900328
ACH-000037,-0.04586794795390001
ACH-000039,-0.331210331465
ACH-000040,-0.0023667192125399997
ACH-000041,-0.0110534914753
ACH-000042,-0.141957087012
ACH-000045,-0.0636499902876
ACH-000047,-0.12292576938100001
ACH-000052,-0.10574814479399999
ACH-000053,-0.222409844394
ACH-000054,-0.0660166966893
ACH-000055,-0.211729440228
ACH-000060,0.0265531048856
ACH-000067,-0.114401310611
ACH-000070,-0.340319007415
ACH-000075,-0.0150891661372
ACH-000078,-0.33800815281400004
ACH-000082,0.039890063208199995
ACH-000085,0.07891474761719999
ACH-000086,-0.033016036858900005
ACH-000087,0.180358514848
ACH-000092,-0.23483687880600002
ACH-000095,-0.229746148719
ACH-000097,-0.10797299054300001
ACH-000098,-0.0948697320778
ACH-000099,-0.20678533844799998
ACH-000108,-0.106193226911
ACH-000113,-0.164316116027
ACH-000115,0.00750177428899
ACH-000116,-0.080347598094
ACH-000118,-0.241038138752
ACH-000120,-0.215539334205
ACH-000123,-0.143277599881
ACH-000127,-0.135779390601
ACH-000128,-0.106815690013
ACH-000132,-0.384111120876
ACH-000133,-0.14253514128
ACH-000137,-0.0730658549907
ACH-000138,-0.250726851363
ACH-000142,-0.131861030419
ACH-000143,-0.12591365428200002
ACH-000146,-0.12131193377
ACH-000148,-0.09388468797039999
ACH-000150,-0.103256647193
ACH-000152,-0.0413411096293
ACH-000153,-0.224228492803
ACH-000159,-0.244648452253
ACH-000160,-0.143708151042
ACH-000163,-0.170555883702
ACH-000167,-0.330177971361
ACH-000168,-0.22652895647100002
ACH-000169,-0.028717234544500002
ACH-000178,-0.0563596667269
ACH-000182,-0.171381839266
ACH-000183,-0.19435631061
ACH-000188,-0.27259886173500003
ACH-000189,-0.423934721045
ACH-000190,-0.174620711836
ACH-000198,-0.0860277079015
ACH-000204,-0.07862816229889999
ACH-000206,0.110595914492
ACH-000207,-0.187258275911
ACH-000211,-0.0832788242498
ACH-000215,-0.168695107604
ACH-000221,-0.0809974748783
ACH-000222,-0.0476931625784
ACH-000223,-0.11571226477299999
ACH-000226,-0.443366659727
ACH-000227,-0.229549500744
ACH-000228,-0.20151417362799998
ACH-000231,-0.103200472699
ACH-000232,-0.170968048394
ACH-000233,-0.261309250933
ACH-000234,-0.12534189154
ACH-000235,-0.17764843533500002
ACH-000237,-0.056718856326199996
ACH-000238,-0.217366320572
ACH-000243,-0.23921274666499998
ACH-000244,-0.215910092286
ACH-000246,-0.18486141699099998
ACH-000248,-0.200383150233
ACH-000250,-0.0282412684622
ACH-000251,-0.0737916438553
ACH-000253,-0.147083774072
ACH-000255,-0.141158717531
ACH-000256,-0.106204222321
ACH-000257,-0.42190014210999993
ACH-000258,-0.7308426696060001
