,PHOX2A (401)
ACH-000004,-0.0817834293772
ACH-000007,0.022083489332599997
ACH-000009,-0.0013126246877499998
ACH-000011,-0.29616759968
ACH-000012,-0.23398811804400002
ACH-000013,-0.148870025516
ACH-000014,-0.13887052326500002
ACH-000015,-0.11090651812100001
ACH-000017,-0.22206184890099998
ACH-000018,-0.08597941817949999
ACH-000019,-0.0910360561845
ACH-000021,-0.12468920635399999
ACH-000022,-0.0680148766129
ACH-000025,-0.0237350115663
ACH-000028,-0.38802238877899997
ACH-000030,-0.18936828769699998
ACH-000035,-0.113192344579
ACH-000036,-0.182978148207
ACH-000037,-0.261340850436
ACH-000039,-0.26322107357200003
ACH-000040,-0.15641684206700002
ACH-000041,-0.172761782323
ACH-000042,-0.221384756618
ACH-000045,-0.103949378564
ACH-000047,-0.20841995778499997
ACH-000052,-0.068314876003
ACH-000053,-0.180327520197
ACH-000054,-0.010504739076200002
ACH-000055,-0.568686327801
ACH-000060,-0.0824147908715
ACH-000067,0.166460643058
ACH-000070,-0.279482169927
ACH-000075,0.10639864837200001
ACH-000078,-0.754078863751
ACH-000082,-0.0841020148795
ACH-000085,-0.44349317500299995
ACH-000086,-0.23874885745000002
ACH-000087,0.0642062642054
ACH-000092,-0.0375553789684
ACH-000095,-0.022618939853599997
ACH-000097,-0.170841059492
ACH-000098,0.0116050590895
ACH-000099,-0.0900401914666
ACH-000108,-0.15885967291300002
ACH-000113,-0.231761928594
ACH-000115,-0.35830333182400004
ACH-000116,-0.388268958585
ACH-000118,-0.137636058999
ACH-000120,-0.166593934882
ACH-000123,-0.135349077297
ACH-000127,-0.0779431822103
ACH-000128,-0.28514340810100003
ACH-000132,-0.448604632213
ACH-000133,-0.302196654088
ACH-000137,-0.317796904694
ACH-000138,-0.27871805968400004
ACH-000142,-0.265738120305
ACH-000143,0.106470029234
ACH-000146,-0.253405425595
ACH-000148,-0.09567938887779999
ACH-000150,-0.329312456567
ACH-000152,-0.16973274570799998
ACH-000153,-0.123677805487
ACH-000159,-0.15827706192399998
ACH-000160,-0.438320196943
ACH-000163,-0.0926336436776
ACH-000167,-0.158490859105
ACH-000168,-0.0796114915336
ACH-000169,-0.147703095272
ACH-000178,-0.09188265223989998
ACH-000182,-0.22307555418400002
ACH-000183,-0.318131019861
ACH-000188,-0.387782105158
ACH-000189,-0.525757197121
ACH-000190,-0.159462620818
ACH-000198,-0.148379464465
ACH-000204,-0.0779877168674
ACH-000206,-0.24779051385099998
ACH-000207,-0.307410376132
ACH-000211,-0.0881638008332
ACH-000215,-0.13596461476
ACH-000221,-0.113443892216
ACH-000222,-0.0897127367853
ACH-000223,-0.118455131653
ACH-000226,-0.285532934988
ACH-000227,0.0547677829801
ACH-000228,-0.266567300939
ACH-000231,-0.21776260028900002
ACH-000232,-0.0386101482643
ACH-000233,-0.0817092585295
ACH-000234,-0.138737506335
ACH-000235,-0.22920959873000005
ACH-000237,-0.161560830877
ACH-000238,-0.166176611296
ACH-000243,-0.038234631796099997
ACH-000244,-0.190099462719
ACH-000246,-0.11195249498299999
ACH-000248,-0.11898919371300001
ACH-000250,-0.219121077007
ACH-000251,-0.27494616616900003
ACH-000253,-0.062294439136199996
ACH-000255,-0.195202272872
ACH-000256,-0.393352243638
ACH-000257,-0.0210671004666
ACH-000258,-0.195512174083
ACH-000259,-0.828821297715
ACH-000260,-0.349513425046
ACH-000261,-0.295944299438
ACH-000262,-0.123860130654
ACH-000263,-0.010618012999700001
ACH-000264,-0.21673053796300001
ACH-000265,-0.20912856258
ACH-000266,-0.207641572878
ACH-000272,0.05062202526319999
ACH-000273,-0.192919744172
ACH-000274,-0.0365688123209
ACH-000277,-0.228604397937
ACH-000278,-0.269898001763
ACH-000279,-0.129805063894
ACH-000280,-0.292953452171
ACH-000281,-0.19222684809300003
ACH-000288,-0.187132352211
ACH-000291,-0.12297966291899999
ACH-000293,-0.230694387069
ACH-000294,-0.329759094186
ACH-000295,-0.08302977771360001
ACH-000296,-0.226878992945
ACH-000302,-0.281444072566
ACH-000304,0.13131460479
ACH-000307,-0.107982260765
ACH-000308,-0.272414377004
ACH-000310,-0.313346278075
ACH-000311,-0.139284761837
ACH-000312,-0.520343070655
ACH-000315,-0.21415048691100003
ACH-000316,-0.290044821249
ACH-000317,-0.20161811301600002
ACH-000318,-0.121440593942
ACH-000319,-0.281493442611
ACH-000320,-0.00794989299947
ACH-000322,-0.11366331149
ACH-000323,-0.14014027324
ACH-000324,-0.148211177184
ACH-000329,-0.0506815475502
ACH-000330,-0.279910769191
ACH-000331,-0.302410654286
ACH-000332,-0.228504377805
ACH-000334,-0.010811752400799998
ACH-000335,-0.189014179515
ACH-000336,0.08124100149619999
ACH-000337,-0.14390812322000002
ACH-000339,-0.214092839188
ACH-000341,-0.34410384400399996
ACH-000348,0.022740260034799998
ACH-000350,-0.465213309178
ACH-000352,-0.0832218752309
ACH-000356,-0.114813092555
ACH-000361,-0.17235680215500002
ACH-000362,-0.145642034428
ACH-000363,-0.204442489933
ACH-000364,-0.366726388759
ACH-000365,-0.17323142499699998
ACH-000366,-0.8875208544850001
ACH-000368,-0.178359682704
ACH-000374,-0.24570178152199998
ACH-000375,-0.123824002263
ACH-000376,-0.273333826703
ACH-000381,-0.12587081535999997
ACH-000383,-0.266831549158
ACH-000387,-0.029786693887800003
ACH-000389,-0.0435910980881
ACH-000390,-0.268123947545
ACH-000393,-0.15977371534499998
ACH-000395,-0.29507761874099997
ACH-000397,-0.301423778245
ACH-000401,-0.163139937762
ACH-000402,-0.312771368824
ACH-000403,-0.08191041765030001
ACH-000404,0.212347932362
ACH-000406,-0.31939470128499997
ACH-000407,-0.42924407219599997
ACH-000408,-0.32875603911400003
ACH-000410,-0.12815258636600002
ACH-000411,-0.190443902053
ACH-000414,-0.11166956502999999
ACH-000415,-0.410196085024
ACH-000416,-0.129310117612
ACH-000420,-0.12036729567900001
ACH-000421,-0.22177508495700002
ACH-000424,0.00951758873832
ACH-000425,-0.235598625412
ACH-000426,-0.312462532832
ACH-000427,-0.29260823837600003
ACH-000433,-0.348495130907
ACH-000436,-0.16992683171700002
ACH-000444,-0.182129098955
ACH-000445,-0.025711793726400003
ACH-000448,-0.119859600907
ACH-000450,-0.248856823172
ACH-000452,-0.206753787496
ACH-000454,-0.052726081639099996
ACH-000458,-0.194971068294
ACH-000459,0.0653262261777
ACH-000460,-0.335126565557
ACH-000461,-0.6100712584319999
ACH-000463,-0.22300499574299998
ACH-000464,-0.340259581173
ACH-000466,-0.0858101296372
ACH-000467,-0.178497264186
ACH-000468,-0.11292867773
ACH-000469,-0.167441766217
ACH-000470,-0.278841512232
ACH-000471,-0.225228220288
ACH-000472,-0.223036170548
ACH-000473,-0.22623488687100002
ACH-000475,-0.06606498179669999
ACH-000476,-0.326594790556
ACH-000477,-0.196523643561
ACH-000480,0.0419960798111
ACH-000481,-0.120294426318
ACH-000483,-0.228171726189
ACH-000484,-0.07717560122669999
ACH-000485,0.00617199755093
ACH-000486,-0.149629192996
ACH-000487,-0.196824190587
ACH-000488,-0.17104826577100002
ACH-000490,-0.33769351805200004
ACH-000491,-0.357986424861
ACH-000495,-0.212323645629
ACH-000496,-0.207300649908
ACH-000499,-0.0259422554875
ACH-000500,-0.366640829019
ACH-000502,-0.169635326055
ACH-000503,-0.249973640124
ACH-000505,-0.23169256405000002
ACH-000507,-0.233870567204
ACH-000510,-0.0701355256088
ACH-000511,-0.169863459621
ACH-000512,-0.24810363928800003
ACH-000516,-0.23563355070300002
ACH-000517,-0.254796801858
ACH-000518,-0.269651501179
ACH-000520,-0.213173701692
ACH-000521,-0.177750515281
ACH-000522,-0.222178469586
ACH-000524,-0.243518755506
ACH-000527,-0.257931742352
ACH-000528,-0.16117495777000002
ACH-000537,-0.451221802986
ACH-000541,-0.36570809413500005
ACH-000542,-0.16939017769
ACH-000544,-0.470743552763
ACH-000545,-0.404875642295
ACH-000547,0.007242475256489999
ACH-000548,-0.615631664823
ACH-000549,-0.18560924482299998
ACH-000550,-0.188918413869
ACH-000552,-0.044052006551
ACH-000556,-0.367689819813
ACH-000557,-0.124972889769
ACH-000570,0.00193118803199
ACH-000571,-0.231849241426
ACH-000573,-0.181390454256
ACH-000576,-0.273686581436
ACH-000580,-0.11268182623600001
ACH-000584,-0.41841273902500004
