,SSU72 (29101)
ACH-000004,-1.30996793589
ACH-000007,-1.5880081776
ACH-000009,-1.57835316649
ACH-000011,-1.3946961203900001
ACH-000012,-1.4096159156099999
ACH-000013,-1.38464489387
ACH-000014,-1.44329147538
ACH-000015,-1.50050545201
ACH-000017,-1.45144347838
ACH-000018,-0.9923901944939999
ACH-000019,-1.3110143716
ACH-000021,-0.8418667170440001
ACH-000022,-1.8196136205700002
ACH-000025,-1.4331502140999999
ACH-000028,-0.9929828115880001
ACH-000030,-1.52566364136
ACH-000035,-1.3892368720800001
ACH-000036,-1.4646396102099999
ACH-000037,-1.53497660728
ACH-000039,-1.4931453798199998
ACH-000040,-1.29870290687
ACH-000041,-1.53992150503
ACH-000042,-1.27716514629
ACH-000045,-1.28915450551
ACH-000047,-1.2948835176200002
ACH-000052,-1.1244697234899999
ACH-000053,-1.29372888285
ACH-000054,-1.4057433794999998
ACH-000055,-1.24772189698
ACH-000060,-1.5346660359200002
ACH-000067,-1.02566445463
ACH-000070,-1.6469223891100002
ACH-000075,-1.5449865835699998
ACH-000078,-1.67561645226
ACH-000082,-1.18006494094
ACH-000085,-1.2385034453200001
ACH-000086,-1.25441873178
ACH-000087,-1.20606706217
ACH-000092,-1.37443328213
ACH-000095,-1.53015336145
ACH-000097,-1.4591499083000001
ACH-000098,-1.3869336910699999
ACH-000099,-1.55846249407
ACH-000108,-1.4484253517200003
ACH-000113,-1.44801469941
ACH-000115,-2.13137109958
ACH-000116,-1.34557008567
ACH-000118,-1.1416320387
ACH-000120,-1.28375672395
ACH-000123,-1.15703953872
ACH-000127,-1.39394255996
ACH-000128,-1.60065491188
ACH-000132,-1.4241761958399999
ACH-000133,-1.32654728989
ACH-000137,-1.26120255589
ACH-000138,-1.54339439319
ACH-000142,-1.3487441031099998
ACH-000143,-1.46350640826
ACH-000146,-1.64033005819
ACH-000148,-1.38476787255
ACH-000150,-1.5441686987999999
ACH-000152,-1.26257347326
ACH-000153,-1.32430159506
ACH-000159,-1.45145012802
ACH-000160,-1.48189935382
ACH-000163,-1.19098406819
ACH-000167,-1.7514387979700001
ACH-000168,-1.07354319719
ACH-000169,-1.5295198539700001
ACH-000178,-1.25904840655
ACH-000182,-1.3765355923700002
ACH-000183,-1.31118312243
ACH-000188,-1.41573066366
ACH-000189,-0.956705952402
ACH-000190,-0.933893034408
ACH-000198,-1.3196222662200001
ACH-000204,-1.11085995032
ACH-000206,-1.13366662989
ACH-000207,-0.9056458317139999
ACH-000211,-1.38475424067
ACH-000215,-1.5443704944499999
ACH-000221,-1.64476071183
ACH-000222,-1.44770803723
ACH-000223,-1.47845158064
ACH-000226,-1.3619466493399999
ACH-000227,-1.8841406607799998
ACH-000228,-0.7924869894769999
ACH-000231,-1.37426523709
ACH-000232,-1.45577400676
ACH-000233,-1.45973694949
ACH-000234,-1.5366886688999999
ACH-000235,-1.51025926586
ACH-000237,-1.46528569841
ACH-000238,-1.48463367849
ACH-000243,-1.37194476586
ACH-000244,-0.829393109259
ACH-000246,-1.3936321124700002
ACH-000248,-1.4176592636200003
ACH-000250,-1.32835036285
ACH-000251,-0.9702833152089999
ACH-000253,-1.39546891829
ACH-000255,-1.3103923743
ACH-000256,-1.5907833787799999
ACH-000257,-1.45820013083
ACH-000258,-1.42087595236
ACH-000259,-1.5156397474799999
ACH-000260,-1.2535949954799999
ACH-000261,-1.6311844522299999
ACH-000262,-1.37001588903
ACH-000263,-1.2353169393
ACH-000264,-1.4908846665399997
ACH-000265,-1.26510375756
ACH-000266,-1.19173071177
ACH-000272,-1.4681444737600002
ACH-000273,-1.27719430727
ACH-000274,-1.61519433435
ACH-000277,-1.5182845860299998
ACH-000278,-1.3842429751899998
ACH-000279,-1.6446865565200002
ACH-000280,-1.3354345672299999
ACH-000281,-1.13275560806
ACH-000288,-1.3468989606
ACH-000291,-1.33963682577
ACH-000293,-1.4612916265
ACH-000294,-1.2626429865100002
ACH-000295,-1.15476634701
ACH-000296,-1.55129965312
ACH-000302,-1.5265876225400001
ACH-000304,-1.44648489491
ACH-000307,-1.31229943088
