,CBX5 (23468)
ACH-000004,-0.07599226278
ACH-000007,-0.30403685596
ACH-000009,-0.27294222794100004
ACH-000011,-0.31168412896200004
ACH-000012,-0.204417373036
ACH-000013,-0.172111509941
ACH-000014,-0.0969545368492
ACH-000015,-0.317030445602
ACH-000017,-0.109418197491
ACH-000018,-0.243022717466
ACH-000019,-0.0396882359169
ACH-000021,-0.325172486933
ACH-000022,-0.135581952683
ACH-000025,-0.42470869037299996
ACH-000028,-0.255749465644
ACH-000030,-0.120983320529
ACH-000035,-0.16406705683800002
ACH-000036,0.135544605491
ACH-000037,-0.159627548786
ACH-000039,-0.030632129657299997
ACH-000040,-0.22140930581300003
ACH-000041,-0.309214292246
ACH-000042,-0.279639753812
ACH-000045,-0.380032546409
ACH-000047,-0.130561481654
ACH-000052,0.067394827285
ACH-000053,0.00148662891558
ACH-000054,-0.22565265716699998
ACH-000055,-0.480786571105
ACH-000060,-0.0581906349699
ACH-000067,-0.42086605564999996
ACH-000070,-0.467238976916
ACH-000075,-0.379799746163
ACH-000078,-0.21372198362
ACH-000082,-0.147597577447
ACH-000085,-0.22025771345400003
ACH-000086,-0.39536440329899997
ACH-000087,-0.127168762025
ACH-000092,-0.0843448968306
ACH-000095,-0.258018126555
ACH-000097,-0.25741647604699996
ACH-000098,-0.0388033867021
ACH-000099,-0.102098768609
ACH-000108,-0.09295590538239999
ACH-000113,-0.188875214571
ACH-000115,-0.13012426812300001
ACH-000116,-0.0631162098241
ACH-000118,-0.208268429133
ACH-000120,-0.00551327112641
ACH-000123,-0.441899012931
ACH-000127,0.031639903379
ACH-000128,-0.38052352816
ACH-000132,0.110689517236
ACH-000133,-0.327670319837
ACH-000137,-0.23781799006999998
ACH-000138,-0.277604728422
ACH-000142,0.0441984356725
ACH-000143,-0.172251563646
ACH-000146,-0.057164436302300004
ACH-000148,-0.31380678883900004
ACH-000150,-0.246849792779
ACH-000152,-0.267662958551
ACH-000153,-0.174718323808
ACH-000159,-0.06555151477490001
ACH-000160,-0.044580516600599994
ACH-000163,-0.00738621477494
ACH-000167,-0.052427960901
ACH-000168,-0.236402749041
ACH-000169,-0.137709515405
ACH-000178,-0.08153598339700001
ACH-000182,-0.30135907429000003
ACH-000183,-0.0470342659263
ACH-000188,-0.105978374231
ACH-000189,-0.143299550957
ACH-000190,0.137362140864
