,HOMEZ (57594)
ACH-000004,0.00791914881102
ACH-000007,-0.0155216935604
ACH-000009,-0.36089621316799997
ACH-000011,-0.0546730165821
ACH-000012,-0.23416047480500002
ACH-000013,-0.045670445154200004
ACH-000014,-0.0526520694491
ACH-000015,-0.275914006775
ACH-000017,-0.107225823387
ACH-000018,-0.21714466085099998
ACH-000019,-0.225936574094
ACH-000021,-0.139533682683
ACH-000022,-0.132234268148
ACH-000025,-0.165649190251
ACH-000028,0.11022791235400001
ACH-000030,-0.304024340942
ACH-000035,-0.27071273387899997
ACH-000036,0.0340407243188
ACH-000037,-0.00283780218509
ACH-000039,-0.198559498849
ACH-000040,-0.0005823864989990001
ACH-000041,-0.285118325923
ACH-000042,-0.205471443163
ACH-000045,-0.112871337655
ACH-000047,-0.117960921845
ACH-000052,-0.32987208581
ACH-000053,-0.140373642091
ACH-000054,-0.25129875265900004
ACH-000055,-0.162253307102
ACH-000060,-0.334332543232
ACH-000067,-0.204454299171
ACH-000070,-0.218661703777
ACH-000075,-0.181720917295
ACH-000078,-0.236238588985
ACH-000082,-0.157509225743
ACH-000085,-0.17760396019400002
ACH-000086,-0.130634211972
ACH-000087,-0.103436681279
ACH-000092,-0.135262178272
ACH-000095,-0.22017726870499998
ACH-000097,-0.293149807092
ACH-000098,-0.11320857903300001
ACH-000099,-0.119050925276
ACH-000108,-0.123043216203
ACH-000113,-0.178651484252
ACH-000115,-0.18023056874200002
ACH-000116,-0.08648004618909999
ACH-000118,-0.369923349278
ACH-000120,-0.13267845405
ACH-000123,-0.285086668948
ACH-000127,-0.296342785741
ACH-000128,-0.262398925674
ACH-000132,-0.018795707213
ACH-000133,-0.074199471255
ACH-000137,-0.13825530916
ACH-000138,-0.137617743092
ACH-000142,-0.0480542450511
ACH-000143,-0.053059670615800004
ACH-000146,-0.096942382732
ACH-000148,-0.107053581525
ACH-000150,0.169618915769
ACH-000152,-0.0657398585628
ACH-000153,-0.365887984528
ACH-000159,-0.282351962884
ACH-000160,-0.259804677288
ACH-000163,-0.133507936758
ACH-000167,-0.43961215306999996
ACH-000168,-0.226189211265
ACH-000169,-0.0747941688006
ACH-000178,-0.159419090427
ACH-000182,-0.0627115733983
ACH-000183,-0.39293381555
ACH-000188,-0.031870589345299995
ACH-000189,-0.254874138411
ACH-000190,-0.0615382841775
ACH-000198,-0.22044610588799998
ACH-000204,-0.00631029854398
ACH-000206,-0.222035921738
ACH-000207,0.158247284799
ACH-000211,-0.124831934308
ACH-000215,-0.251108720997
