,DOLK (22845)
ACH-000004,-1.02580849906
ACH-000007,-0.828243097802
ACH-000009,-1.00703195698
ACH-000011,-0.9694739457189999
ACH-000012,-0.613281856312
ACH-000013,-0.667754393492
ACH-000014,-1.0810097847
ACH-000015,-0.871431749513
ACH-000017,-0.558196845261
ACH-000018,-0.756984181556
ACH-000019,-0.142772159967
ACH-000021,-0.35243991418799997
ACH-000022,-0.722124826945
ACH-000025,-0.75066282518
ACH-000028,-0.39551985318300004
ACH-000030,-0.654328275112
ACH-000035,-0.906990529733
ACH-000036,-0.8456933298970001
ACH-000037,-0.388553496238
ACH-000039,-0.656895847096
ACH-000040,-0.912700280539
ACH-000041,-0.839948689707
ACH-000042,-1.0265948275299999
ACH-000045,-0.8507684497310001
ACH-000047,-0.544048150688
ACH-000052,-1.10527785351
ACH-000053,-0.41217747022699996
ACH-000054,-0.734001377351
ACH-000055,-0.8611681817929999
ACH-000060,-0.8021468252889999
ACH-000067,-0.45868038339199996
ACH-000070,-0.7874508141040001
ACH-000075,-0.740544761629
ACH-000078,-0.49355921799999997
ACH-000082,-0.456298399214
ACH-000085,-0.768707423098
ACH-000086,-0.793067100738
ACH-000087,-0.539837014916
ACH-000092,-0.579546225595
ACH-000095,-0.320142415433
ACH-000097,-0.644630317692
ACH-000098,-1.0647511211799998
ACH-000099,-0.813245654945
ACH-000108,-0.693427956466
ACH-000113,-0.557175790139
ACH-000115,-0.9846416739530001
ACH-000116,-0.9748378202689999
ACH-000118,-0.967441575014
ACH-000120,-0.662262105003
ACH-000123,-0.716766103923
ACH-000127,-0.7824869689830001
ACH-000128,-0.46910839800099996
ACH-000132,-0.860106949694
ACH-000133,-0.631820694749
ACH-000137,-0.851444444496
ACH-000138,-0.6579304758519999
ACH-000142,-0.939070546381
ACH-000143,-0.605228655527
ACH-000146,-0.395694342079
ACH-000148,-0.615219933783
ACH-000150,-0.8233291664740001
ACH-000152,-0.48205944450599997
ACH-000153,-1.30807592454
ACH-000159,-0.46797210088200003
ACH-000160,-0.294269240883
ACH-000163,-1.02728839011
ACH-000167,-0.866626721476
ACH-000168,-0.825208345996
ACH-000169,-1.009410379
ACH-000178,-0.7070209637780001
ACH-000182,-0.442159305035
ACH-000183,-0.992678408463
ACH-000188,-0.8964679614929999
ACH-000189,-1.0641911583399999
ACH-000190,-0.778801949763
ACH-000198,-0.482655399778
ACH-000204,-0.975010456604
ACH-000206,-0.892092275936
ACH-000207,-0.651927139961
ACH-000211,-0.30743701588000005
ACH-000215,-0.968723199891
ACH-000221,-0.5543256601309999
ACH-000222,-0.723628761206
ACH-000223,-0.288670629623
ACH-000226,-0.439785763466
ACH-000227,-1.0024015126
ACH-000228,-0.354402645194
ACH-000231,-0.611059564718
ACH-000232,-0.665544405901
ACH-000233,-0.557865224066
ACH-000234,-0.45882672476
ACH-000235,-0.637232607562
ACH-000237,-0.697595397864
ACH-000238,-1.19716822796
ACH-000243,-0.609638763055
ACH-000244,-0.6464987825899999
ACH-000246,-0.588943959245
ACH-000248,-0.792413752696
ACH-000250,-0.705876675366
ACH-000251,-0.594274795726
ACH-000253,-0.712489188379
ACH-000255,-1.0933662075900001
ACH-000256,-0.710936291875
ACH-000257,-0.780725036398
ACH-000258,-0.287635216332
ACH-000259,-0.711490333891
ACH-000260,-0.932633118917
ACH-000261,-0.9069174710619999
ACH-000262,-0.713882774487
ACH-000263,-0.298243195008
ACH-000264,-0.615818106234
ACH-000265,-0.909339871819
ACH-000266,-0.36253737359399996
ACH-000272,-0.8530347540530001
ACH-000273,-0.86345978116
ACH-000274,-0.388845281928
ACH-000277,-0.505255827317
ACH-000278,-0.6301306231580001
ACH-000279,-0.680460460411
ACH-000280,-0.9856485824510001
ACH-000281,-0.730414672415
ACH-000288,-0.687652025015
ACH-000291,-0.927179292959
ACH-000293,-0.59653951391
ACH-000294,-1.0522251647299998
ACH-000295,-1.06281339265
ACH-000296,-0.816412785714
ACH-000302,-0.246448333697
ACH-000304,-0.668739568665
ACH-000307,-0.946104753522
ACH-000308,-0.561055793249
ACH-000310,-0.32993381699200003
ACH-000311,-0.5463069737240001
ACH-000312,-0.667321850879
