,MSRB1 (51734)
ACH-000004,-0.232427200032
ACH-000007,-0.267634718453
ACH-000009,-0.33883979392499997
ACH-000011,-0.503164430269
ACH-000012,-0.377571773666
ACH-000013,-0.871854229579
ACH-000014,-0.291459511732
ACH-000015,-0.622471586947
ACH-000017,-0.41346686813600003
ACH-000018,-0.43869999030100004
ACH-000019,-0.479063847571
ACH-000021,-0.40395288517300004
ACH-000022,-0.605182362016
ACH-000025,-0.480216023117
ACH-000028,-0.50398540753
ACH-000030,-0.5312243252809999
ACH-000035,-0.36198298139799995
ACH-000036,-0.704678910037
ACH-000037,-0.167774097396
ACH-000039,-0.227208244359
ACH-000040,-0.426445717599
ACH-000041,-0.49758014537
ACH-000042,-0.365726862192
ACH-000045,-0.375525831226
ACH-000047,-0.567856457422
ACH-000052,-0.460563068552
ACH-000053,-0.594850480561
ACH-000054,-0.60605172422
ACH-000055,-0.404066897718
ACH-000060,-0.415954766715
ACH-000067,-0.491136147509
ACH-000070,-0.201725689261
ACH-000075,-0.561520610507
ACH-000078,-0.6729590045300001
ACH-000082,-0.350032819721
ACH-000085,-0.524841053044
ACH-000086,-0.287707086076
ACH-000087,-0.517558582692
ACH-000092,-0.41494656243600003
ACH-000095,-0.48716065708899997
ACH-000097,-0.656869907307
ACH-000098,-0.5085816429300001
ACH-000099,-0.7525061406810001
ACH-000108,-0.482459121034
ACH-000113,-0.371357617417
ACH-000115,-0.43071001568800005
ACH-000116,-0.459938904265
ACH-000118,-0.40630541452
ACH-000120,-0.34732691361199997
ACH-000123,-0.583934939278
ACH-000127,-0.382033148064
ACH-000128,-0.494219766064
ACH-000132,-0.394359920466
ACH-000133,-0.6175519407810001
ACH-000137,-0.263890183356
ACH-000138,-0.49060681413900004
ACH-000142,-0.480555291529
ACH-000143,-0.40531090783
ACH-000146,-0.524130054934
ACH-000148,-0.550115935164
ACH-000150,-0.369789829295
ACH-000152,-0.149757150609
ACH-000153,-0.480262392935
ACH-000159,-0.33592871086900006
ACH-000160,-0.39741623155199995
ACH-000163,-0.349272776527
ACH-000167,-0.416578609736
ACH-000168,-0.620098391688
ACH-000169,-0.447036485845
ACH-000178,-0.396732587289
ACH-000182,-0.428830872119
ACH-000183,-0.337953236036
ACH-000188,-0.478628276058
ACH-000189,-0.9843845819470001
ACH-000190,-0.341757286276
ACH-000198,-0.441074927156
ACH-000204,-0.47740972069
ACH-000206,-0.37934015382799996
ACH-000207,-0.512012686135
ACH-000211,-0.44466580779299997
ACH-000215,-0.431420733439
ACH-000221,-0.502931695523
ACH-000222,-0.47886305859399997
ACH-000223,-0.425983144443
ACH-000226,-0.419386185286
ACH-000227,-0.533302261144
ACH-000228,-0.23761514029800002
ACH-000231,-0.381930548488
ACH-000232,-0.459591563807
ACH-000233,-0.577449915887
ACH-000234,-0.8799800142659999
ACH-000235,-0.453703567871
ACH-000237,-0.569736943674
ACH-000238,-0.38550148378300003
ACH-000243,-0.304663637777
ACH-000244,-0.8152080361949999
ACH-000246,-0.491908760887
ACH-000248,-0.347031231774
ACH-000250,-0.633239512094
ACH-000251,-0.652015749772
ACH-000253,-0.39639168347599996
ACH-000255,-0.35850607593500006
